CRP,idx_confirm,idx_ref
AL010-645,1,OSM-n
AL010-795,1,OSM-r
AL014-040,1,OSM-n
AL014-300,1,OSM-r
AL014-320,1,OSM-r
AL014-330,1,OSM-r
AL014-710,1,OSM-r
AL015-010,1,OSM-n
AL015-096,1,OSM-r
AL015-138,1,OSM-r
AL015-140,1,OSM-r
AL015-330,1,OSM-r
AL015-340,1,OSM-r
AL017-000,1,OSM-n
AL017-030,1,OSM-r
AL017-065,1,OSM-r
AL017-085,1,OSM-r
AL017-200,8,OSM-nr
AL017-230,6,OSM-nr
AL017-900,1,OSM-n
AL018-840,1,OSM-n
AL020-040,1,OSM-r
AL020-050,2,OSM-nr
AL020-090,1,OSM-r
AL020-130,2,OSM-nr
AL020-150,1,OSM-r
AL020-200,1,OSM-r
AL020-320,1,OSM-n
AL020-330,2,OSM-n
AL020-350,1,OSM-r
AL020-380,1,OSM-n
AL020-410,1,OSM-r
AL020-440,1,OSM-n
AL020-600,2,OSM-nr
AL020-720,1,OSM-r
AL020-900,2,OSM-nr
AL020-902,1,OSM-r
AL020-905,1,OSM-r
AL020-914,1,OSM-r
AL020-918,1,OSM-n
AL020-921,1,OSM-n
AL020-970,1,OSM-r
AL022-100,1,OSM-r
AL022-160,2,OSM-r
AL022-170,1,OSM-r
AL022-610,1,OSM-r
AL025-000,1,OSM-n
AL025-250,1,OSM-r
AL025-480,1,OSM-r
AL025-510,1,OSM-r
AL025-772,1,OSM-r
AL025-860,1,OSM-r
AL025-890,1,OSM-n
AL025-971,1,OSM-r
AL030-000,1,OSM-r
AL030-075,1,OSM-r
AL030-105,1,OSM-r
AL030-170,5,OSM-r
AL031-530,1,OSM-r
AL035-000,3,OSM-nr
AL035-005,1,OSM-n
AL035-030,1,OSM-r
AL035-060,1,OSM-r
AL035-070,1,OSM-r
AL035-120,1,OSM-n
AL035-150,1,OSM-r
AL035-230,1,OSM-r
AL035-270,1,OSM-r
AL035-285,1,OSM-r
AL035-380,2,OSM-r
AL035-400,2,OSM-n
AL035-420,2,OSM-r
AL035-553,1,OSM-n
AL035-554,1,OSM-n
AL035-558,1,OSM-n
AL035-560,1,OSM-r
AL035-610,1,OSM-r
AL035-705,1,OSM-n
AL035-755,1,OSM-r
AL035-900,1,OSM-n
AL036-240,1,OSM-r
AL036-320,1,OSM-r
AL036-360,1,OSM-r
AL036-550,1,OSM-r
AL036-810,1,OSM-r
AL036-850,1,OSM-r
AL037-020,1,OSM-r
AL037-540,1,OSM-r
AL037-595,1,OSM-n
AL037-630,2,OSM-r
AL038-000,2,OSM-r
AL038-010,1,OSM-r
AL038-050,1,OSM-r
AL038-150,1,OSM-n
AL038-760,1,OSM-r
AL039-250,1,OSM-r
AL043-000,1,OSM-n
AL043-230,1,OSM-r
AL045-145,1,OSM-r
AL046-000,1,OSM-r
AL046-140,4,OSM-nr
AL046-295,1,OSM-n
AL046-350,1,OSM-n
AL046-840,1,OSM-n
AL048-360,1,OSM-r
AL050-000,1,OSM-n
AL050-900,2,OSM-r
AL051-000,1,OSM-r
AL051-140,1,OSM-r
AL051-180,1,OSM-r
AL051-340,1,OSM-r
AL051-400,1,OSM-n
AL051-500,1,OSM-n
AL051-510,2,OSM-nr
AL051-565,2,OSM-r
AL051-605,4,OSM-r
AL051-630,1,OSM-r
AL051-690,1,OSM-r
AL051-900,1,OSM-n
AL051-901,1,OSM-r
AL051-902,1,OSM-r
AL051-903,1,OSM-n
AL052-050,1,OSM-r
AL052-070,1,OSM-n
AL052-160,1,OSM-r
AL052-320,1,OSM-r
AL052-580,1,OSM-r
AL052-900,1,OSM-n
AL052-901,1,OSM-r
AL055-000,6,OSM-nrw
AL055-180,1,OSM-r
AL055-225,2,OSM-r
AL055-230,2,OSM-nr
AL055-565,1,OSM-r
AL055-901,1,OSM-r
AL055-902,1,OSM-r
AL055-903,1,OSM-r
AL055-905,1,OSM-r
AL055-970,1,OSM-n
AL057-460,1,OSM-r
AL060-972,1,OSM-r
AL061-000,3,OSM-r
AL062-280,1,OSM-n
AL062-570,2,OSM-r
AL063-250,1,OSM-r
AL071-330,1,OSM-r
AL072-740,1,OSM-r
AL073-470,1,OSM-r
AL080-000,1,OSM-r
AL081-000,1,OSM-r
AL081-285,1,OSM-r
AL081-385,1,OSM-r
AL081-510,1,OSM-r
AL082-160,2,OSM-nr
AL084-020,1,OSM-r
AL084-040,1,OSM-r
AL084-615,1,OSM-r
AL084-700,1,OSM-n
