CRP,idx_confirm,idx_ref
AM000-000,1,OSM-n
AM005-000,4,OSM-n
AM005-100,1,OSM-n
AM005-141,2,OSM-n
AM005-300,1,OSM-n
AM005-901,1,OSM-n
AM010-000,1,OSM-n
AM010-001,4,OSM-n
AM010-050,1,OSM-n
AM010-060,1,OSM-n
AM010-110,1,OSM-n
AM010-130,1,OSM-r
AM010-425,1,OSM-n
AM020-060,2,OSM-n
AM020-070,1,OSM-n
AM020-110,1,OSM-n
AM020-120,1,OSM-n
AM020-130,1,OSM-n
AM020-140,1,OSM-n
AM023-010,2,OSM-r
AM025-360,1,OSM-n
AM028-250,1,OSM-n
AM028-441,1,OSM-n
AM029-160,1,OSM-r
AM029-340,1,OSM-n
AM029-550,1,OSM-n
AM030-000,2,OSM-nr
AM033-000,1,OSM-n
AM033-100,1,OSM-n
AM033-200,1,OSM-n
AM033-680,1,OSM-r
AM036-110,1,OSM-n
AM036-605,1,OSM-r
AM040-000,1,OSM-n
AM040-080,1,OSM-r
AM040-260,1,OSM-n
AM040-280,1,OSM-n
AM040-440,1,OSM-r
AM040-580,1,OSM-r
AM045-000,2,OSM-nr
AM045-070,1,OSM-n
AM046-300,1,OSM-r
AM047-110,1,OSM-r
AM048-010,3,OSM-nr
AM049-140,1,OSM-n
AM049-190,1,OSM-r
AM050-001,2,OSM-n
AM050-010,7,OSM-nr
AM050-020,1,OSM-n
AM050-030,2,OSM-n
AM053-480,2,OSM-nr
AM053-630,1,OSM-n
AM054-595,1,OSM-n
AM055-011,1,OSM-n
AM055-035,1,OSM-n
AM055-300,1,OSM-n
AM055-330,1,OSM-n
AM055-430,1,OSM-n
AM057-001,1,OSM-n
AM057-050,1,OSM-n
AM058-030,1,OSM-r
AM058-180,1,OSM-n
AM058-290,2,OSM-r
AM058-330,1,OSM-r
AM058-420,1,OSM-n
AM058-795,1,OSM-r
AM058-810,1,OSM-n
AM058-830,1,OSM-r
AM059-360,1,OSM-n
AM063-510,1,OSM-n
AM065-001,1,OSM-r
AM065-130,1,OSM-r
AM067-375,1,OSM-r
AM068-010,1,OSM-n
AM068-160,1,OSM-n
AM068-200,1,OSM-n
AM070-100,1,OSM-n
AM070-250,1,OSM-r
AM072-065,1,OSM-n
AM072-210,1,OSM-n
AM073-184,1,OSM-r
AM075-000,2,OSM-nr
AM075-350,1,OSM-n
AM075-351,1,OSM-n
AM075-490,1,OSM-n
AM075-830,1,OSM-r
AM075-831,1,OSM-n
AM076-050,1,OSM-n
AM077-000,2,OSM-nr
AM078-000,1,OSM-n
AM080-500,1,OSM-n
AM085-000,6,OSM-nr
AM085-001,1,OSM-n
AM085-015,1,OSM-n
AM085-040,1,OSM-n
AM089-340,1,OSM-n
AM092-497,1,OSM-r
AM093-000,2,OSM-nr
AM093-132,4,OSM-n
AM093-153,1,OSM-n
AM093-415,2,OSM-r
AM093-475,2,OSM-r
AM093-532,1,OSM-n
AM094-270,1,OSM-n
AM097-035,2,OSM-n
AM097-305,2,OSM-n
AM098-165,2,OSM-n
AM099-096,1,OSM-n
AM099-195,1,OSM-n
AM099-213,1,OSM-n
AM099-242,1,OSM-n
AM757-520,1,OSM-n
