CRP,idx_confirm,idx_ref
BA0010-000,1,OSM-r
BA0010-010,1,OSM-n
BA0010-020,1,OSM-r
BA0010-160,1,OSM-n
BA0015-150,1,OSM-r
BA0020-000,3,OSM-rw
BA0020-010,1,OSM-r
BA0020-210,1,OSM-r
BA0020-280,1,OSM-r
BA0026-045,1,OSM-r
BA0040-550,1,OSM-r
BA0055-150,1,OSM-r
BA0060-001,1,OSM-r
BA0060-030,1,OSM-n
BA0060-055,1,OSM-r
BA0060-060,1,OSM-r
BA0060-240,1,OSM-r
BA0070-010,1,OSM-r
BA0080-001,3,OSM-nr
BA0080-002,1,OSM-n
BA0080-240,1,OSM-r
BA0080-241,1,OSM-r
BA0081-305,1,OSM-r
BA0100-000,1,OSM-r
BA0100-080,1,OSM-n
BA0110-010,2,OSM-r
BA0110-040,4,OSM-r
BA0110-060,1,OSM-r
BA0110-100,2,OSM-r
BA0110-150,6,OSM-r
BA0110-160,1,OSM-r
BA0110-170,4,OSM-nr
BA0110-903,2,OSM-r
BA0110-909,2,OSM-r
BA0130-000,1,OSM-n
BA0140-110,6,OSM-nr
BA0140-241,1,OSM-r
BA0140-333,1,OSM-r
BA0140-902,1,OSM-r
BA0150-122,1,OSM-r
BA0150-140,1,OSM-r
BA0155-020,2,OSM-r
BA0155-250,6,OSM-n
BA0170-000,1,OSM-r
BA0170-010,2,OSM-r
BA0170-080,1,OSM-n
BA0170-110,6,OSM-nr
BA0170-115,4,OSM-r
BA0170-180,1,OSM-r
BA0170-290,4,OSM-r
BA0210-300,2,OSM-r
BA0210-320,1,OSM-n
BA0210-340,2,OSM-nr
BA0210-630,3,OSM-nr
BA0210-730,1,OSM-r
BA0210-905,1,OSM-r
BA0210-908,2,OSM-r
BA0210-909,1,OSM-r
BA0210-971,1,OSM-n
BA0221-225,1,OSM-r
BA0230-731,1,OSM-n
BA0240-090,1,OSM-r
BA0255-060,1,OSM-n
BA0275-000,5,OSM-r
BA0276-140,1,OSM-n
BA0279-020,4,OSM-r
BA0279-420,4,OSM-r
BA0279-750,1,OSM-r
BA0280-000,1,OSM-r
BA0280-901,1,OSM-n
BA0285-000,4,OSM-r
BA0285-040,1,OSM-r
BA0301-015,2,OSM-r
BA0301-035,1,OSM-r
BA0301-155,1,OSM-n
BA0301-220,1,OSM-n
BA0301-280,1,OSM-n
BA0301-408,1,OSM-n
BA0301-510,1,OSM-n
BA0325-036,1,OSM-r
BA0354-135,1,OSM-r
BA0375-220,1,OSM-n
BA0390-750,1,OSM-r
BA0415-440,1,OSM-r
BA0425-060,1,OSM-r
BA0425-360,1,OSM-r
BA0430-200,1,OSM-n
BA0430-230,4,OSM-n
BA0430-233,1,OSM-n
BA0430-240,1,OSM-n
BA0430-500,1,OSM-n
BA0435-340,1,OSM-n
BA0680-050,1,OSM-r
BA0720-050,1,OSM-n
BA0726-100,1,OSM-n
BA1098-020,1,OSM-r
BA1098-030,1,OSM-r
BA1100-000,1,OSM-r
BA1110-170,1,OSM-r
BA1130-530,1,OSM-r
BA1180-015,7,OSM-r
BA1181-010,1,OSM-r
BA1181-025,2,OSM-n
BA1192-005,5,OSM-nr
BA1211-121,1,OSM-n
BA1213-000,1,OSM-r
BA1250-403,1,OSM-n
BA1250-439,1,OSM-r
BA1250-500,1,OSM-n
BA1250-520,1,OSM-n
BA1253-190,1,OSM-n
BA1301-110,2,OSM-nr
BA1330-050,1,OSM-r
BA1350-275,1,OSM-r
BA1490-350,1,OSM-r
BA1502-200,4,OSM-r
BA1502-203,6,OSM-r
BA1510-000,1,OSM-r
BA1600-000,4,OSM-n
BA1600-610,1,OSM-n
BA1610-011,1,OSM-n
BA1610-160,2,OSM-nr
BA1613-034,1,OSM-r
BA1630-700,1,OSM-n
BA1635-150,1,OSM-n
BA1650-010,1,OSM-r
BA1650-035,1,OSM-n
BA1650-066,1,OSM-n
BA1650-080,1,OSM-r
BA1650-195,1,OSM-r
BA1650-470,3,OSM-nr
BA1650-472,2,OSM-r
