CRP,idx_confirm,idx_ref
CE1600-004,1,OSM-r
CE1600-020,1,OSM-r
CE1600-040,1,OSM-r
CE1600-050,1,OSM-r
CE1600-080,1,OSM-r
CE1600-200,1,OSM-r
CE1602-080,1,OSM-r
CE1602-330,2,OSM-nr
CE1603-130,2,OSM-r
CE1604-210,1,OSM-r
CE1605-060,1,OSM-r
CE1605-140,1,OSM-r
CE1605-150,1,OSM-r
CE1605-372,4,OSM-r
CE1605-620,2,OSM-nr
CE1605-670,1,OSM-n
CE1607-030,2,OSM-r
CE1624-480,1,OSM-n
CE1635-030,4,OSM-r
CE1635-035,6,OSM-r
CE1635-040,4,OSM-r
CE1635-050,4,OSM-r
CE1635-060,8,OSM-r
CE1635-070,5,OSM-r
CE1635-080,6,OSM-r
CE1635-090,7,OSM-r
CE1635-100,8,OSM-r
CE1635-110,8,OSM-r
CE1635-120,7,OSM-r
CE1635-130,6,OSM-r
CE1635-140,8,OSM-r
CE1635-150,5,OSM-r
CE1635-160,4,OSM-r
CE1635-170,7,OSM-r
CE1635-180,6,OSM-r
CE1635-190,7,OSM-r
CE1635-200,5,OSM-r
CE1635-210,6,OSM-r
CE1635-220,5,OSM-r
CE1635-230,5,OSM-r
CE1635-240,5,OSM-r
CE1635-250,5,OSM-r
CE1635-260,6,OSM-r
CE1635-270,8,OSM-r
CE1635-290,7,OSM-r
CE1635-300,5,OSM-r
CE1635-310,5,OSM-r
CE1635-320,5,OSM-r
CE1635-330,6,OSM-r
CE1635-340,5,OSM-r
CE1635-350,6,OSM-r
CE1645-220,4,OSM-r
CE1645-260,1,OSM-r
CE1645-420,28,OSM-nr
CE1648-105,1,OSM-n
CE1650-030,1,OSM-r
CE1650-050,5,OSM-nr
CE1650-460,1,OSM-r
CE1652-580,1,OSM-n
CE1655-010,1,OSM-n
CE1658-020,1,OSM-r
CE1658-040,1,OSM-n
CE1658-050,2,OSM-r
CE1658-680,1,OSM-r
CE1658-720,1,OSM-n
CE1658-730,8,OSM-nr
CE1658-750,1,OSM-n
CE1659-240,1,OSM-n
