CRP,idx_confirm,idx_ref
CE0010-000,2,OSM-r
CE0010-260,1,OSM-r
CE0010-270,1,OSM-r
CE0010-280,2,OSM-nr
CE0010-281,10,OSM-nr
CE0010-690,1,OSM-r
CE0015-061,1,OSM-r
CE0020-030,1,OSM-r
CE0020-110,1,OSM-n
CE0020-180,1,OSM-r
CE0020-181,2,OSM-nr
CE0025-000,1,OSM-r
CE0025-130,1,OSM-n
CE0030-051,2,OSM-n
CE0040-000,1,OSM-n
CE0040-530,4,OSM-r
CE0040-531,9,OSM-nr
CE0050-101,1,OSM-r
CE0050-110,4,OSM-r
CE0050-130,3,OSM-nr
CE0055-304,1,OSM-r
CE0055-402,4,OSM-nrw
CE0060-120,1,OSM-r
CE0060-130,1,OSM-n
CE0060-170,1,OSM-n
CE0060-320,1,OSM-r
CE0060-510,2,OSM-n
CE0060-610,7,OSM-nr
CE0110-100,1,OSM-r
CE0110-140,2,OSM-r
CE0110-300,2,OSM-nr
CE0110-301,6,OSM-nr
CE0110-355,2,OSM-r
CE0110-440,1,OSM-n
CE0110-480,5,OSM-n
CE0115-010,1,OSM-n
CE0115-080,1,OSM-n
CE0115-081,1,OSM-r
CE0115-170,4,OSM-r
CE0115-171,1,OSM-r
CE0115-190,1,OSM-r
CE0115-220,9,OSM-nr
CE0115-221,4,OSM-r
CE0115-270,4,OSM-r
CE0115-280,2,OSM-n
CE0115-281,1,OSM-r
CE0120-000,9,OSM-nr
CE0120-001,1,OSM-w
CE0120-013,1,OSM-r
CE0120-020,2,OSM-r
CE0120-021,4,OSM-r
CE0120-024,2,OSM-nr
CE0120-075,1,OSM-r
CE0125-001,6,OSM-nr
CE0125-025,5,OSM-rw
CE0125-035,1,OSM-n
CE0125-050,4,OSM-r
CE0125-060,1,OSM-r
CE0125-070,3,OSM-nr
CE0125-100,4,OSM-r
CE0125-120,6,OSM-nr
CE0125-150,10,OSM-nr
CE0125-160,6,OSM-nr
CE0130-240,1,OSM-r
CE0130-271,1,OSM-n
CE0130-371,1,OSM-r
CE0135-040,1,OSM-r
CE0135-101,1,OSM-r
CE0135-102,2,OSM-nr
CE0135-130,1,OSM-n
CE0135-203,1,OSM-n
CE0135-237,1,OSM-n
CE0135-270,3,OSM-nr
CE0135-430,4,OSM-n
CE0135-460,1,OSM-n
CE0135-472,1,OSM-r
CE0140-060,1,OSM-n
CE0140-061,2,OSM-nr
CE0140-100,1,OSM-n
CE0140-120,3,OSM-nr
CE0140-155,2,OSM-r
CE0140-160,2,OSM-nw
CE0150-000,2,OSM-r
CE0150-060,1,OSM-r
CE0150-140,1,OSM-r
CE0150-161,11,OSM-nr
CE0150-165,2,OSM-n
CE0160-060,4,OSM-r
CE0160-070,9,OSM-nr
CE0160-080,8,OSM-r
CE0160-110,6,OSM-nr
CE0160-120,6,OSM-nr
CE0160-140,2,OSM-n
CE0160-150,1,OSM-n
CE0160-194,2,OSM-nr
CE0160-230,7,OSM-nr
CE0160-240,6,OSM-r
CE0160-250,1,OSM-r
CE0160-280,1,OSM-r
CE0165-010,8,OSM-nr
CE0165-050,3,OSM-nr
CE0165-065,1,OSM-r
CE0165-068,4,OSM-r
CE0165-070,6,OSM-nr
CE0165-075,5,OSM-r
CE0165-080,5,OSM-nr
CE0165-120,11,OSM-nr
CE0165-121,3,OSM-nr
CE0170-000,3,OSM-nr
CE0170-001,4,OSM-n
CE0170-020,1,OSM-n
CE0170-080,1,OSM-n
CE0170-190,1,OSM-w
CE0170-195,1,OSM-n
CE0170-300,1,OSM-r
CE0170-310,5,OSM-nr
CE0175-040,1,OSM-n
CE0175-047,2,OSM-r
CE0175-070,1,OSM-r
CE0177-250,1,OSM-n
CE0180-190,1,OSM-n
CE0182-025,1,OSM-n
CE0190-200,1,OSM-n
CE0190-600,1,OSM-r
CE0190-611,2,OSM-nr
CE0190-630,4,OSM-r
CE0192-240,1,OSM-n
CE0310-001,4,OSM-n
CE0310-052,1,OSM-n
CE0310-690,1,OSM-n
CE0320-350,1,OSM-n
CE0325-001,1,OSM-r
CE0325-002,2,OSM-r
CE0325-003,1,OSM-n
CE0325-004,3,OSM-nr
CE0325-610,2,OSM-r
CE0325-902,1,OSM-r
CE0330-520,1,OSM-n
CE0330-875,1,OSM-r
CE0330-878,1,OSM-r
CE0332-580,1,OSM-n
CE0335-195,2,OSM-nr
CE0335-360,2,OSM-n
CE0336-235,1,OSM-r
CE0345-000,1,OSM-n
CE0346-254,1,OSM-r
CE0347-440,1,OSM-r
CE0350-350,2,OSM-r
CE0351-360,1,OSM-r
CE0352-310,1,OSM-r
CE0352-320,4,OSM-r
CE0352-350,2,OSM-r
CE0352-390,1,OSM-r
CE0356-001,4,OSM-r
CE0356-002,1,OSM-r
CE0356-340,1,OSM-r
CE0356-675,1,OSM-r
CE0356-682,2,OSM-r
CE0356-770,1,OSM-r
CE0356-830,1,OSM-r
CE0360-332,1,OSM-r
CE0360-415,1,OSM-r
CE0360-561,1,OSM-r
CE0360-845,1,OSM-r
CE0361-010,1,OSM-r
CE0410-328,1,OSM-r
CE0410-455,4,OSM-r
CE0411-220,1,OSM-r
CE0411-260,2,OSM-nr
CE0411-270,2,OSM-n
CE0415-110,7,OSM-nr
CE0420-230,1,OSM-r
CE0420-280,2,OSM-nr
CE0420-750,1,OSM-n
CE0421-010,2,OSM-nr
CE0421-102,1,OSM-n
CE0421-410,2,OSM-nr
CE0425-351,1,OSM-n
CE0430-160,1,OSM-r
CE0431-006,1,OSM-r
CE0431-072,4,OSM-r
CE0440-261,1,OSM-n
CE0440-535,1,OSM-n
CE0440-775,1,OSM-n
CE0440-900,4,OSM-r
CE0442-108,1,OSM-r
CE0450-175,3,OSM-nr
