CRP,idx_confirm,idx_ref
DF0000-000,1,OSM-r
DF0002-900,2,OSM-r
DF0040-906,1,OSM-r
DF0042-900,1,OSM-r
DF0046-900,1,OSM-r
DF0058-900,1,OSM-n
DF0070-120,1,OSM-r
DF0070-600,4,OSM-r
DF0070-937,1,OSM-r
DF0070-940,4,OSM-r
DF0071-900,1,OSM-r
DF0074-900,1,OSM-r
DF0094-900,1,OSM-r
DF0200-002,2,OSM-r
DF0200-600,1,OSM-r
DF0200-610,1,OSM-r
DF0200-630,1,OSM-r
DF0232-010,1,OSM-n
DF0232-535,1,OSM-n
DF0233-510,1,OSM-r
DF0233-520,1,OSM-r
DF0233-530,1,OSM-r
DF0233-540,2,OSM-nr
DF0234-060,1,OSM-r
DF0234-510,1,OSM-r
DF0234-520,1,OSM-r
DF0234-530,1,OSM-r
DF0234-540,1,OSM-r
DF0236-010,1,OSM-r
DF0236-020,1,OSM-r
DF0236-030,1,OSM-r
DF0236-040,1,OSM-r
DF0236-050,1,OSM-r
DF0236-060,1,OSM-r
DF0236-070,1,OSM-r
DF0236-080,1,OSM-r
DF0236-090,1,OSM-r
DF0236-100,1,OSM-r
DF0236-110,1,OSM-r
DF0236-120,1,OSM-r
DF0236-130,1,OSM-r
DF0236-140,1,OSM-r
DF0236-150,1,OSM-r
DF0236-160,1,OSM-r
DF0236-170,1,OSM-r
DF0236-180,1,OSM-r
DF0236-190,1,OSM-r
DF0236-200,1,OSM-r
DF0238-010,1,OSM-r
DF0238-020,1,OSM-r
DF0238-030,1,OSM-r
DF0238-040,1,OSM-r
DF0238-050,1,OSM-r
DF0238-060,1,OSM-r
DF0238-070,1,OSM-r
DF0238-080,1,OSM-r
DF0238-090,1,OSM-r
DF0238-100,1,OSM-r
DF0238-110,1,OSM-r
DF0238-120,1,OSM-r
DF0238-130,1,OSM-r
DF0238-140,1,OSM-r
DF0238-150,1,OSM-r
DF0238-160,1,OSM-r
DF0238-170,1,OSM-r
DF0238-180,1,OSM-r
DF0238-190,1,OSM-r
DF0238-200,1,OSM-r
DF0239-510,1,OSM-n
DF0294-530,1,OSM-n
DF0297-400,16,OSM-nr
DF0307-902,2,OSM-nr
DF0308-200,1,OSM-r
DF0316-000,1,OSM-n
DF0317-900,1,OSM-n
DF0330-400,1,OSM-r
DF0333-900,1,OSM-r
DF0342-010,1,OSM-r
DF0342-020,1,OSM-r
DF0342-030,1,OSM-r
DF0342-040,1,OSM-r
DF0342-050,1,OSM-r
DF0342-060,1,OSM-r
DF0342-070,1,OSM-r
DF0342-080,1,OSM-r
DF0342-110,1,OSM-r
DF0347-090,1,OSM-r
DF0363-530,1,OSM-n
DF0385-510,3,OSM-nr
DF0385-520,1,OSM-r
DF0385-530,1,OSM-r
DF0385-540,1,OSM-r
DF0390-050,1,OSM-r
DF0390-100,1,OSM-n
DF0390-140,1,OSM-r
DF0390-150,2,OSM-nr
DF0390-900,1,OSM-n
DF0403-900,1,OSM-r
DF0404-900,1,OSM-r
DF0419-900,1,OSM-r
DF0422-900,1,OSM-r
DF0428-900,1,OSM-r
DF0448-900,1,OSM-r
DF0452-901,1,OSM-r
DF0610-100,4,OSM-r
DF0610-200,2,OSM-r
DF0610-410,1,OSM-n
DF0610-650,1,OSM-n
DF0610-904,1,OSM-r
DF0610-908,1,OSM-r
DF0620-000,1,OSM-r
DF0631-035,1,OSM-n
DF0631-970,1,OSM-r
DF0632-300,1,OSM-r
DF0640-009,1,OSM-r
DF0645-135,1,OSM-n
DF0645-145,1,OSM-n
DF0650-435,1,OSM-r
DF0658-258,1,OSM-n
DF0658-308,1,OSM-r
DF0658-471,1,OSM-r
DF0658-472,1,OSM-r
DF0660-014,1,OSM-r
DF0660-045,1,OSM-r
DF0660-081,1,OSM-r
DF0660-082,1,OSM-r
DF0660-083,1,OSM-r
DF0660-084,1,OSM-r
DF0660-085,1,OSM-r
DF0660-086,1,OSM-r
DF0670-405,1,OSM-r
DF0670-502,1,OSM-r
DF0670-532,1,OSM-n
DF0673-109,1,OSM-r
DF0673-207,1,OSM-r
DF0673-402,1,OSM-r
DF0673-416,1,OSM-n
DF0673-461,1,OSM-r
DF0673-502,1,OSM-r
DF0673-510,1,OSM-r
DF0673-511,1,OSM-r
DF0673-642,1,OSM-n
DF0675-302,1,OSM-r
DF0675-304,1,OSM-r
DF0675-426,1,OSM-r
DF0675-427,1,OSM-r
DF0675-822,1,OSM-r
DF0680-253,1,OSM-r
DF0680-350,1,OSM-n
DF0680-415,1,OSM-r
DF0680-650,1,OSM-r
DF0680-900,1,OSM-r
DF0684-831,1,OSM-r
DF0686-055,1,OSM-r
DF0686-065,1,OSM-r
DF0686-070,1,OSM-r
DF0686-075,1,OSM-r
DF0686-155,1,OSM-r
DF0686-180,1,OSM-r
DF0686-185,1,OSM-r
DF0686-190,1,OSM-r
DF0686-195,1,OSM-r
DF0686-405,1,OSM-r
DF0686-420,1,OSM-r
DF0686-440,1,OSM-r
DF0686-510,1,OSM-r
DF0686-525,1,OSM-r
DF0686-535,1,OSM-r
DF0686-550,1,OSM-r
DF0686-605,1,OSM-r
DF0686-610,1,OSM-r
DF0686-615,1,OSM-r
DF0686-620,1,OSM-r
DF0686-625,1,OSM-r
DF0686-710,1,OSM-r
DF0686-715,1,OSM-r
DF0686-720,1,OSM-r
DF0686-745,1,OSM-r
DF0686-750,1,OSM-r
DF0686-805,1,OSM-r
DF0686-815,1,OSM-r
DF0686-820,1,OSM-r
DF0687-110,1,OSM-r
DF0687-120,1,OSM-r
DF0687-135,1,OSM-r
DF0687-140,1,OSM-r
DF0687-145,1,OSM-r
DF0687-150,1,OSM-r
DF0687-210,1,OSM-r
DF0687-215,1,OSM-r
DF0687-230,1,OSM-r
DF0687-245,1,OSM-r
DF0687-305,1,OSM-r
DF0687-310,1,OSM-r
DF0687-315,1,OSM-r
DF0687-320,1,OSM-r
DF0687-325,1,OSM-r
DF0687-330,1,OSM-r
DF0688-820,1,OSM-r
DF0701-000,2,OSM-nr
DF0701-010,1,OSM-r
DF0701-040,1,OSM-r
DF0711-000,1,OSM-r
DF0711-900,1,OSM-r
DF0711-902,1,OSM-n
DF0715-900,1,OSM-n
DF0716-900,1,OSM-r
DF0716-901,1,OSM-n
DF0720-670,2,OSM-nr
DF0722-510,1,OSM-r
DF0722-520,2,OSM-nr
DF0722-530,1,OSM-r
DF0722-540,1,OSM-r
DF0730-300,1,OSM-r
DF0730-555,1,OSM-n
DF0730-701,1,OSM-r
DF0730-730,1,OSM-r
DF0740-513,1,OSM-n
DF0740-761,1,OSM-r
DF0740-762,1,OSM-r
DF0740-764,1,OSM-r
DF0740-776,1,OSM-r
DF0740-777,1,OSM-r
DF0744-020,1,OSM-r
DF0747-060,1,OSM-r
DF0747-070,1,OSM-r
DF0747-110,1,OSM-r
DF0750-640,1,OSM-n
DF0752-060,1,OSM-r
DF0752-510,1,OSM-r
DF0752-520,1,OSM-r
DF0752-530,1,OSM-r
DF0752-540,1,OSM-r
DF0753-040,1,OSM-n
DF0754-510,1,OSM-r
DF0754-520,1,OSM-r
DF0754-530,2,OSM-nr
DF0754-540,1,OSM-r
DF0755-550,1,OSM-n
DF0756-010,1,OSM-r
DF0756-510,2,OSM-nr
DF0756-520,2,OSM-nr
DF0756-530,1,OSM-r
DF0756-540,1,OSM-r
DF0756-550,1,OSM-r
DF0757-040,1,OSM-r
