CRP,idx_confirm,idx_ref
ES190-000,6,OSM-nr
ES190-058,2,OSM-nr
ES190-062,1,OSM-n
ES190-072,1,OSM-n
ES190-162,1,OSM-r
ES190-390,1,OSM-r
ES190-400,2,OSM-r
ES190-736,1,OSM-r
ES190-757,1,OSM-r
ES192-024,1,OSM-n
ES192-066,1,OSM-r
ES192-088,1,OSM-n
ES192-154,1,OSM-n
ES193-000,4,OSM-n
ES193-010,1,OSM-n
ES193-339,2,OSM-n
ES194-000,1,OSM-n
ES194-006,1,OSM-n
ES194-210,1,OSM-r
ES194-518,1,OSM-r
ES194-910,1,OSM-n
ES195-000,4,OSM-n
ES195-135,2,OSM-nr
ES195-421,2,OSM-n
ES196-000,4,OSM-n
ES196-028,1,OSM-n
ES197-000,1,OSM-n
ES197-105,1,OSM-n
ES197-539,1,OSM-n
ES197-556,1,OSM-n
ES198-000,2,OSM-n
ES198-013,1,OSM-n
ES198-254,1,OSM-n
ES198-348,1,OSM-n
ES199-000,2,OSM-n
ES199-027,1,OSM-r
ES199-144,6,OSM-nr
