CRP,idx_confirm,idx_ref
ES209-780,1,OSM-n
ES297-000,1,OSM-n
ES300-000,12,OSM-nr
ES300-010,3,OSM-nr
ES300-040,1,OSM-r
ES300-070,1,OSM-n
ES300-090,2,OSM-n
ES300-100,2,OSM-nr
ES300-150,1,OSM-r
ES300-160,1,OSM-n
ES300-210,1,OSM-n
ES300-250,1,OSM-n
ES300-300,2,OSM-nr
ES300-400,1,OSM-n
ES300-550,2,OSM-n
ES300-590,1,OSM-n
ES300-765,1,OSM-n
ES300-784,1,OSM-n
ES300-970,2,OSM-n
ES300-981,2,OSM-n
ES301-020,1,OSM-n
ES301-080,1,OSM-n
ES301-200,1,OSM-n
ES301-280,1,OSM-n
ES301-455,1,OSM-n
ES301-470,1,OSM-n
ES301-816,1,OSM-n
ES301-822,1,OSM-n
ES302-050,1,OSM-n
ES302-190,1,OSM-n
ES302-580,1,OSM-n
ES302-820,1,OSM-n
ES302-848,1,OSM-n
ES302-890,1,OSM-n
ES302-980,1,OSM-n
ES303-040,2,OSM-n
ES303-080,1,OSM-r
ES303-270,1,OSM-n
ES303-290,1,OSM-r
ES303-340,2,OSM-nr
ES304-060,1,OSM-n
ES304-420,1,OSM-n
ES304-540,1,OSM-n
ES304-785,1,OSM-n
ES304-910,1,OSM-r
ES305-030,1,OSM-n
ES305-160,2,OSM-n
ES305-200,1,OSM-n
ES305-420,1,OSM-n
ES305-440,2,OSM-n
ES305-456,1,OSM-n
ES305-470,1,OSM-n
ES305-700,1,OSM-n
ES306-210,1,OSM-n
ES306-220,1,OSM-n
ES306-240,1,OSM-n
ES306-320,3,OSM-nr
ES306-350,1,OSM-n
ES306-500,3,OSM-nr
ES306-505,2,OSM-n
ES306-729,1,OSM-n
ES307-014,1,OSM-n
ES307-015,1,OSM-n
ES307-230,1,OSM-n
ES307-300,1,OSM-n
ES307-430,1,OSM-n
ES307-530,1,OSM-n
ES308-014,2,OSM-n
ES308-055,1,OSM-r
ES308-070,1,OSM-n
ES308-102,1,OSM-n
ES308-210,4,OSM-n
ES309-100,1,OSM-n
ES309-350,1,OSM-n
ES309-357,1,OSM-n
ES309-362,1,OSM-n
ES309-560,1,OSM-n
ES309-705,1,OSM-n
ES310-270,1,OSM-n
ES310-340,1,OSM-n
ES310-355,1,OSM-n
ES310-540,1,OSM-n
ES311-127,1,OSM-n
ES311-130,1,OSM-n
ES311-240,1,OSM-n
ES311-350,1,OSM-n
ES311-736,1,OSM-n
ES312-035,1,OSM-n
ES312-200,1,OSM-r
ES312-209,1,OSM-r
ES312-220,1,OSM-n
ES312-240,1,OSM-n
ES312-527,1,OSM-n
ES313-100,1,OSM-n
ES313-210,1,OSM-n
ES313-324,1,OSM-n
ES313-500,1,OSM-n
ES313-520,1,OSM-n
ES313-690,1,OSM-n
ES313-780,1,OSM-n
ES314-240,1,OSM-r
ES314-650,2,OSM-n
ES315-010,4,OSM-n
ES315-040,1,OSM-n
ES315-314,1,OSM-n
ES315-480,1,OSM-r
ES315-745,1,OSM-n
ES315-835,1,OSM-n
ES317-485,1,OSM-n
ES321-000,2,OSM-n
ES321-190,1,OSM-n
ES323-000,5,OSM-n
ES325-000,5,OSM-nr
ES326-000,2,OSM-n
ES327-000,4,OSM-n
ES328-000,2,OSM-nr
ES329-000,2,OSM-n
