CRP,idx_confirm,idx_ref
ES100-000,9,OSM-nr
ES140-000,4,OSM-r
ES140-040,2,OSM-n
ES140-070,1,OSM-n
ES140-130,1,OSM-n
ES140-230,1,OSM-n
ES140-261,2,OSM-n
ES140-280,1,OSM-n
ES140-300,1,OSM-n
ES140-390,1,OSM-n
ES140-440,1,OSM-n
ES140-490,2,OSM-n
ES140-503,1,OSM-r
ES140-641,1,OSM-n
ES140-669,2,OSM-nr
ES140-740,1,OSM-n
ES140-822,1,OSM-n
ES140-830,2,OSM-n
ES140-840,2,OSM-nr
ES140-844,1,OSM-n
ES141-010,1,OSM-n
ES141-020,1,OSM-n
ES141-032,1,OSM-n
ES141-056,1,OSM-n
ES141-235,1,OSM-n
ES141-240,1,OSM-n
ES141-241,1,OSM-n
ES141-260,1,OSM-n
ES141-305,1,OSM-n
ES141-517,1,OSM-n
ES141-550,1,OSM-n
ES141-580,1,OSM-n
ES141-600,1,OSM-n
ES141-665,1,OSM-n
ES141-687,1,OSM-n
ES141-752,1,OSM-r
ES141-859,1,OSM-n
ES141-863,1,OSM-n
ES141-887,3,OSM-nr
ES141-990,1,OSM-n
ES142-044,1,OSM-r
ES142-090,1,OSM-n
ES142-100,1,OSM-n
ES142-296,1,OSM-n
ES142-440,1,OSM-n
ES142-535,1,OSM-n
ES142-623,1,OSM-n
ES142-670,2,OSM-n
ES142-733,1,OSM-n
ES142-741,1,OSM-r
ES142-859,2,OSM-nr
ES142-866,1,OSM-n
ES143-002,1,OSM-n
ES143-210,1,OSM-n
ES143-236,1,OSM-n
ES143-320,2,OSM-n
ES143-325,1,OSM-n
ES143-362,1,OSM-n
ES143-490,1,OSM-n
ES143-685,1,OSM-r
ES143-800,1,OSM-n
ES144-013,1,OSM-n
ES144-030,1,OSM-n
ES144-120,4,OSM-n
ES144-190,2,OSM-nr
ES144-270,1,OSM-n
ES144-418,1,OSM-n
ES144-742,1,OSM-n
ES144-774,1,OSM-n
ES144-825,1,OSM-n
ES144-828,2,OSM-n
ES145-010,2,OSM-n
ES145-210,1,OSM-n
ES145-220,3,OSM-nr
ES145-403,1,OSM-n
ES145-405,1,OSM-n
ES145-414,1,OSM-n
ES145-438,1,OSM-n
ES145-450,1,OSM-r
ES145-620,1,OSM-n
ES145-760,1,OSM-n
ES145-831,1,OSM-n
ES145-901,1,OSM-r
ES146-015,1,OSM-n
ES146-040,2,OSM-n
ES146-050,2,OSM-n
ES146-070,1,OSM-n
ES146-090,1,OSM-n
ES146-140,1,OSM-r
ES146-165,1,OSM-r
ES146-190,1,OSM-n
ES146-200,4,OSM-n
ES146-201,2,OSM-n
ES146-206,1,OSM-n
ES146-240,1,OSM-n
