CRP,idx_confirm,idx_ref
ES700-000,12,OSM-nr
ES700-010,5,OSM-nr
ES700-050,1,OSM-n
ES700-060,5,OSM-nr
ES700-080,1,OSM-n
ES700-090,1,OSM-n
ES700-140,1,OSM-n
ES700-220,1,OSM-n
ES700-455,1,OSM-n
ES700-460,1,OSM-n
ES700-550,1,OSM-n
ES700-603,1,OSM-n
ES700-778,2,OSM-n
ES700-970,2,OSM-n
ES701-050,1,OSM-n
ES701-230,2,OSM-n
ES701-280,2,OSM-n
ES701-400,1,OSM-n
ES701-440,1,OSM-n
ES701-680,1,OSM-n
ES701-741,2,OSM-n
ES702-040,2,OSM-n
ES702-130,2,OSM-r
ES702-170,1,OSM-n
ES702-200,1,OSM-n
ES702-210,2,OSM-n
ES702-360,1,OSM-r
ES702-440,1,OSM-n
ES702-570,1,OSM-n
ES702-600,1,OSM-n
ES702-757,2,OSM-n
ES702-765,1,OSM-n
ES703-010,1,OSM-n
ES703-100,1,OSM-n
ES703-140,1,OSM-n
ES703-240,1,OSM-n
ES703-480,1,OSM-n
ES703-638,1,OSM-n
ES703-750,1,OSM-n
ES703-810,1,OSM-n
ES703-900,1,OSM-r
ES703-910,1,OSM-n
ES704-011,1,OSM-n
ES704-020,1,OSM-n
ES704-260,1,OSM-n
ES704-630,1,OSM-n
ES704-670,1,OSM-n
ES705-011,1,OSM-n
ES705-080,1,OSM-n
ES705-100,4,OSM-n
ES705-135,1,OSM-n
ES705-200,4,OSM-n
ES705-555,1,OSM-n
ES706-060,1,OSM-n
ES706-447,1,OSM-n
ES706-807,1,OSM-n
ES707-100,1,OSM-r
ES707-120,1,OSM-n
ES707-130,4,OSM-n
ES707-150,1,OSM-n
ES708-110,1,OSM-n
ES709-321,1,OSM-n
ES709-340,1,OSM-n
ES709-910,1,OSM-n
ES710-000,2,OSM-n
ES710-062,1,OSM-n
ES712-000,4,OSM-n
ES714-000,7,OSM-nr
ES714-035,2,OSM-n
ES714-990,2,OSM-n
ES716-000,4,OSM-n
ES716-030,1,OSM-n
ES716-990,1,OSM-r
ES718-000,5,OSM-n
ES719-435,2,OSM-n
ES750-000,1,OSM-n
