CRP,idx_confirm,idx_ref
ES000-000,2,OSM-n
ES100-010,2,OSM-r
ES200-000,12,OSM-nr
ES200-010,5,OSM-r
ES200-043,1,OSM-r
ES200-060,1,OSM-r
ES200-120,6,OSM-nr
ES200-180,2,OSM-nr
ES200-190,1,OSM-r
ES200-240,5,OSM-r
ES200-260,8,OSM-nr
ES200-360,5,OSM-nr
ES200-370,1,OSM-r
ES200-420,1,OSM-n
ES200-430,2,OSM-r
ES200-730,1,OSM-r
ES200-740,1,OSM-r
ES200-750,2,OSM-nr
ES201-020,1,OSM-r
ES201-070,4,OSM-r
ES201-240,1,OSM-r
ES202-020,1,OSM-r
ES202-470,2,OSM-r
ES202-490,1,OSM-r
ES203-000,1,OSM-n
ES203-230,1,OSM-r
ES203-380,1,OSM-r
ES203-400,1,OSM-r
ES206-210,1,OSM-r
ES206-270,2,OSM-r
ES208-180,1,OSM-r
ES208-470,1,OSM-r
ES210-000,2,OSM-r
ES210-020,1,OSM-r
ES210-060,1,OSM-r
ES210-110,8,OSM-nr
ES210-160,1,OSM-r
ES210-170,1,OSM-r
ES210-190,8,OSM-nr
ES210-210,1,OSM-r
ES210-260,1,OSM-r
ES210-350,1,OSM-r
ES211-000,1,OSM-r
ES211-045,2,OSM-nr
ES211-230,1,OSM-r
ES211-990,1,OSM-r
ES212-001,1,OSM-r
ES213-010,1,OSM-r
ES213-070,2,OSM-n
ES213-090,1,OSM-r
ES214-005,6,OSM-nr
ES214-015,2,OSM-r
ES214-100,1,OSM-r
ES214-300,1,OSM-r
ES214-990,1,OSM-r
ES215-002,8,OSM-nr
ES215-005,2,OSM-n
ES215-020,5,OSM-nr
ES215-030,1,OSM-n
ES215-090,2,OSM-r
ES215-230,1,OSM-r
ES215-260,1,OSM-r
ES215-450,1,OSM-r
ES216-000,1,OSM-r
ES216-010,1,OSM-r
ES216-045,1,OSM-r
ES216-047,2,OSM-rw
ES216-065,1,OSM-r
ES216-080,2,OSM-r
ES216-090,2,OSM-r
ES216-390,1,OSM-r
ES216-570,1,OSM-r
ES216-580,1,OSM-r
ES216-600,5,OSM-nr
ES216-705,1,OSM-r
ES216-720,1,OSM-r
ES220-060,1,OSM-r
ES220-400,2,OSM-r
ES220-525,1,OSM-r
ES221-000,2,OSM-r
ES221-055,1,OSM-r
ES221-105,1,OSM-n
ES222-000,1,OSM-r
ES223-010,1,OSM-r
ES227-265,1,OSM-r
