CRP,idx_confirm,idx_ref
ES090-030,1,OSM-r
ES725-000,1,OSM-n
ES900-000,11,OSM-nr
ES900-010,3,OSM-nr
ES900-027,1,OSM-r
ES900-060,1,OSM-r
ES900-070,1,OSM-n
ES900-130,1,OSM-n
ES900-170,6,OSM-n
ES900-210,2,OSM-n
ES900-396,1,OSM-r
ES900-430,1,OSM-n
ES900-440,1,OSM-r
ES900-485,1,OSM-n
ES900-490,1,OSM-n
ES900-495,1,OSM-n
ES900-510,1,OSM-n
ES900-530,4,OSM-n
ES900-590,1,OSM-n
ES900-595,2,OSM-nr
ES900-720,1,OSM-r
ES900-800,1,OSM-r
ES900-902,4,OSM-r
ES900-970,2,OSM-n
ES900-983,1,OSM-n
ES900-996,1,OSM-n
ES901-000,1,OSM-r
ES901-150,2,OSM-r
ES901-160,2,OSM-nr
ES901-240,1,OSM-n
ES901-290,1,OSM-n
ES901-291,1,OSM-n
ES901-295,1,OSM-r
ES901-350,1,OSM-n
ES901-392,1,OSM-n
ES901-396,1,OSM-n
ES901-420,1,OSM-n
ES901-480,1,OSM-r
ES901-510,2,OSM-r
ES901-520,1,OSM-n
ES901-910,1,OSM-n
ES902-060,1,OSM-n
ES902-110,2,OSM-n
ES902-120,1,OSM-r
ES902-890,1,OSM-n
ES903-010,1,OSM-n
ES903-050,2,OSM-nr
ES903-059,1,OSM-r
ES903-170,1,OSM-n
ES903-200,1,OSM-n
ES903-212,1,OSM-n
ES903-450,1,OSM-n
ES903-470,1,OSM-n
ES903-510,3,OSM-nr
ES904-140,1,OSM-n
ES904-340,1,OSM-n
ES904-355,1,OSM-n
ES904-870,1,OSM-n
ES904-890,1,OSM-n
ES905-110,7,OSM-n
ES905-360,1,OSM-n
ES905-655,1,OSM-w
ES905-983,2,OSM-n
ES906-170,1,OSM-n
ES906-630,1,OSM-r
ES906-885,1,OSM-n
ES906-991,1,OSM-n
ES907-210,1,OSM-n
ES907-560,2,OSM-n
ES908-030,1,OSM-n
ES908-360,1,OSM-n
ES908-635,1,OSM-r
ES909-250,1,OSM-n
ES909-260,2,OSM-n
ES910-000,1,OSM-n
ES914-980,1,OSM-n
ES915-000,4,OSM-n
ES915-115,1,OSM-n
ES915-118,1,OSM-n
ES915-510,1,OSM-n
ES916-000,5,OSM-n
ES916-560,1,OSM-n
ES918-000,6,OSM-n
ES918-918,1,OSM-n
ES927-000,1,OSM-n
