CRP,idx_confirm,idx_ref
ES460-000,1,OSM-r
ES830-000,1,OSM-n
ES930-000,17,OSM-nr
ES930-010,2,OSM-nr
ES930-015,1,OSM-r
ES930-040,1,OSM-r
ES930-050,1,OSM-r
ES930-245,1,OSM-r
ES930-270,1,OSM-r
ES930-295,1,OSM-r
ES930-360,2,OSM-n
ES930-934,1,OSM-n
ES931-150,1,OSM-r
ES931-220,1,OSM-w
ES931-730,1,OSM-n
ES932-560,1,OSM-r
ES933-030,1,OSM-n
ES933-520,1,OSM-r
ES933-530,1,OSM-r
ES933-540,1,OSM-n
ES933-640,1,OSM-n
ES934-700,1,OSM-n
ES936-340,1,OSM-n
ES936-450,1,OSM-r
ES936-620,1,OSM-n
ES936-702,1,OSM-r
ES937-300,1,OSM-n
ES937-380,1,OSM-r
ES937-415,1,OSM-r
ES937-450,1,OSM-r
ES937-900,1,OSM-n
ES938-010,1,OSM-r
ES938-015,3,OSM-nr
ES938-360,1,OSM-n
ES941-090,1,OSM-n
ES941-400,1,OSM-n
ES941-620,1,OSM-n
ES942-000,1,OSM-n
ES942-788,1,OSM-n
ES943-600,1,OSM-n
ES949-040,1,OSM-r
ES950-000,2,OSM-n
