CRP,idx_confirm,idx_ref
ES160-000,2,OSM-nr
ES160-013,1,OSM-r
ES160-020,1,OSM-n
ES160-061,1,OSM-n
ES160-120,2,OSM-n
ES160-180,1,OSM-n
ES160-390,1,OSM-n
ES160-400,1,OSM-r
ES160-420,1,OSM-n
ES160-970,1,OSM-n
ES161-103,1,OSM-n
ES161-107,1,OSM-n
ES161-109,3,OSM-nr
ES161-220,1,OSM-r
ES161-260,2,OSM-r
ES161-490,1,OSM-n
ES161-520,2,OSM-nr
ES161-536,2,OSM-nr
ES161-567,1,OSM-r
ES161-580,1,OSM-r
ES161-700,1,OSM-n
ES161-758,1,OSM-r
ES161-777,1,OSM-n
ES161-790,1,OSM-n
ES161-828,1,OSM-n
ES161-837,1,OSM-r
ES161-851,1,OSM-n
ES162-010,1,OSM-n
ES162-017,1,OSM-n
ES162-018,2,OSM-nr
ES162-040,1,OSM-r
ES162-042,1,OSM-r
ES162-140,1,OSM-r
ES162-160,1,OSM-n
ES162-500,1,OSM-r
ES162-661,1,OSM-r
ES162-825,2,OSM-nr
ES163-275,1,OSM-n
ES163-331,2,OSM-n
ES163-340,1,OSM-r
ES163-343,2,OSM-r
ES163-345,1,OSM-r
ES163-364,1,OSM-n
ES163-453,1,OSM-r
ES163-468,1,OSM-r
ES163-480,1,OSM-n
ES163-490,1,OSM-n
ES163-503,1,OSM-r
ES163-540,1,OSM-r
ES163-553,1,OSM-r
ES163-610,1,OSM-r
ES164-018,1,OSM-r
ES164-044,1,OSM-n
ES164-050,2,OSM-nr
ES164-064,1,OSM-n
ES164-120,1,OSM-r
ES164-200,1,OSM-n
ES164-220,1,OSM-r
ES164-265,1,OSM-r
ES164-360,1,OSM-r
ES164-380,2,OSM-nr
ES164-450,1,OSM-r
ES164-630,1,OSM-r
ES164-817,1,OSM-r
ES164-865,1,OSM-n
ES165-032,2,OSM-nr
ES165-100,1,OSM-n
ES165-120,1,OSM-r
ES165-130,1,OSM-n
ES165-157,1,OSM-r
ES165-170,1,OSM-n
ES165-350,1,OSM-n
ES165-610,1,OSM-r
ES165-680,5,OSM-nr
ES165-791,3,OSM-nr
ES165-810,1,OSM-r
ES166-027,1,OSM-n
ES166-200,2,OSM-nr
ES166-210,1,OSM-n
ES166-300,1,OSM-n
ES166-400,1,OSM-n
ES166-828,1,OSM-r
ES166-860,1,OSM-r
ES166-940,5,OSM-r
ES167-029,1,OSM-r
ES167-647,2,OSM-r
ES168-063,1,OSM-n
ES168-096,1,OSM-r
ES168-190,1,OSM-r
ES168-308,1,OSM-r
ES168-385,1,OSM-r
ES168-600,2,OSM-r
ES169-250,1,OSM-n
ES169-400,1,OSM-n
ES169-703,1,OSM-r
ES169-830,2,OSM-r
ES170-038,1,OSM-r
ES170-166,1,OSM-r
ES170-197,1,OSM-r
ES170-210,1,OSM-r
ES170-229,1,OSM-r
ES170-390,1,OSM-r
ES170-600,1,OSM-r
ES170-813,1,OSM-r
ES171-214,1,OSM-n
ES171-217,1,OSM-r
ES171-227,2,OSM-r
ES171-233,1,OSM-r
ES171-237,1,OSM-r
ES171-551,1,OSM-n
