CRP,idx_confirm,idx_ref
ES010-040,1,OSM-n
ES011-065,1,OSM-r
ES045-321,1,OSM-r
ES070-200,1,OSM-n
ES100-000,1,OSM-r
ES100-010,3,OSM-nr
ES100-011,2,OSM-nr
ES100-012,2,OSM-nr
ES100-020,4,OSM-r
ES100-021,1,OSM-r
ES100-041,3,OSM-nr
ES100-080,2,OSM-nr
ES100-170,1,OSM-r
ES100-200,6,OSM-nr
ES100-201,1,OSM-r
ES100-203,1,OSM-n
ES100-231,1,OSM-r
ES100-250,2,OSM-n
ES100-260,1,OSM-n
ES100-261,1,OSM-r
ES100-300,2,OSM-nr
ES100-320,4,OSM-n
ES100-350,1,OSM-n
ES100-430,1,OSM-n
ES100-540,1,OSM-n
ES100-920,1,OSM-r
ES101-000,1,OSM-n
ES101-010,2,OSM-nr
ES101-011,2,OSM-n
ES101-020,4,OSM-n
ES101-030,5,OSM-nr
ES101-045,2,OSM-nr
ES101-091,2,OSM-r
ES101-120,3,OSM-nr
ES101-130,1,OSM-n
ES101-210,2,OSM-n
ES101-220,2,OSM-n
ES101-240,1,OSM-n
ES101-250,1,OSM-n
ES101-280,4,OSM-n
ES101-285,1,OSM-n
ES101-287,1,OSM-n
ES101-290,1,OSM-n
ES101-308,1,OSM-n
ES101-310,2,OSM-nr
ES101-330,1,OSM-r
ES101-350,1,OSM-n
ES101-370,1,OSM-n
ES101-390,1,OSM-r
ES101-400,4,OSM-n
ES101-420,1,OSM-n
ES101-480,1,OSM-r
ES101-500,4,OSM-n
ES101-520,1,OSM-r
ES101-545,1,OSM-n
ES101-605,1,OSM-n
ES101-620,2,OSM-nr
ES101-641,1,OSM-n
ES101-650,1,OSM-n
ES101-670,1,OSM-r
ES101-700,1,OSM-n
ES101-715,1,OSM-r
ES101-738,1,OSM-n
ES101-800,2,OSM-nr
ES101-948,1,OSM-r
ES101-950,1,OSM-n
ES102-000,1,OSM-n
ES102-003,1,OSM-n
ES102-010,1,OSM-r
ES102-011,1,OSM-r
ES102-020,5,OSM-nr
ES102-040,10,OSM-nr
ES102-041,4,OSM-n
ES102-160,1,OSM-n
ES102-170,1,OSM-n
ES102-190,1,OSM-r
ES102-195,1,OSM-r
ES102-200,1,OSM-n
ES102-207,1,OSM-r
ES102-220,1,OSM-n
ES102-240,1,OSM-r
ES102-330,1,OSM-n
ES102-360,1,OSM-n
ES102-385,4,OSM-n
ES102-571,1,OSM-r
ES102-574,1,OSM-n
ES102-606,1,OSM-n
ES102-625,1,OSM-n
ES102-640,3,OSM-nr
ES102-650,1,OSM-n
ES102-740,1,OSM-r
ES102-770,2,OSM-r
ES102-900,1,OSM-r
ES102-902,2,OSM-r
ES102-903,1,OSM-r
ES102-915,7,OSM-nr
ES103-000,1,OSM-r
ES103-017,1,OSM-r
ES103-025,1,OSM-n
ES103-091,1,OSM-r
ES103-120,1,OSM-r
ES103-130,1,OSM-n
ES103-600,1,OSM-r
ES103-720,1,OSM-r
ES103-800,1,OSM-n
ES103-837,1,OSM-n
ES104-021,1,OSM-r
ES104-100,1,OSM-r
ES104-110,1,OSM-n
ES104-150,1,OSM-r
ES104-200,1,OSM-n
ES104-226,1,OSM-n
ES104-350,1,OSM-n
ES104-475,1,OSM-n
ES104-496,1,OSM-n
ES104-610,1,OSM-n
ES104-650,1,OSM-r
ES104-730,1,OSM-r
ES104-740,1,OSM-r
ES104-745,1,OSM-r
ES105-020,1,OSM-n
ES105-110,1,OSM-r
ES105-170,1,OSM-r
ES105-180,1,OSM-r
ES105-200,2,OSM-n
ES105-210,1,OSM-r
ES105-230,1,OSM-r
ES105-250,2,OSM-n
ES105-400,1,OSM-n
ES105-770,1,OSM-n
ES106-010,6,OSM-nr
ES106-020,1,OSM-n
ES106-025,1,OSM-n
ES106-050,1,OSM-n
ES106-100,1,OSM-n
ES106-110,1,OSM-n
ES106-220,1,OSM-r
ES106-240,2,OSM-n
ES106-570,2,OSM-nr
ES106-670,1,OSM-r
ES106-700,1,OSM-r
ES107-034,1,OSM-n
ES107-040,1,OSM-n
ES107-215,3,OSM-nr
