CRP,idx_confirm,idx_ref
ES000-000,2,OSM-r
ES010-001,1,OSM-n
ES010-340,1,OSM-n
ES010-365,1,OSM-n
ES010-906,5,OSM-nr
ES010-922,1,OSM-n
ES015-030,1,OSM-r
ES015-110,1,OSM-r
ES015-130,1,OSM-n
ES015-160,1,OSM-r
ES015-200,1,OSM-r
ES017-022,1,OSM-n
ES017-090,1,OSM-r
ES017-950,6,OSM-r
ES018-120,1,OSM-n
ES018-180,2,OSM-nr
ES018-906,1,OSM-n
ES020-030,1,OSM-n
ES020-345,1,OSM-r
ES020-430,4,OSM-r
ES020-680,1,OSM-r
ES025-000,1,OSM-r
ES025-080,1,OSM-r
ES025-280,1,OSM-r
ES025-670,1,OSM-r
ES026-010,1,OSM-n
ES026-080,2,OSM-r
ES027-215,1,OSM-r
ES030-027,1,OSM-r
ES031-670,1,OSM-n
ES032-115,2,OSM-n
ES040-712,1,OSM-n
ES041-265,2,OSM-r
ES041-630,1,OSM-n
ES042-715,2,OSM-nr
ES043-020,1,OSM-n
ES043-036,1,OSM-n
ES043-260,1,OSM-r
ES045-110,1,OSM-n
ES045-402,6,OSM-nr
ES045-415,1,OSM-r
ES045-530,1,OSM-r
ES045-650,1,OSM-n
ES046-160,1,OSM-n
ES047-530,1,OSM-r
ES047-550,1,OSM-n
ES047-850,1,OSM-n
ES047-930,1,OSM-r
ES050-225,3,OSM-nr
ES050-450,1,OSM-n
ES050-555,1,OSM-r
ES050-560,1,OSM-w
ES050-580,2,OSM-r
ES050-680,1,OSM-n
ES050-685,2,OSM-r
ES050-705,5,OSM-nr
ES050-720,1,OSM-r
ES050-790,2,OSM-r
ES050-902,1,OSM-n
ES050-911,1,OSM-n
ES051-210,1,OSM-n
ES051-250,1,OSM-n
ES052-155,2,OSM-r
ES053-245,1,OSM-n
ES055-090,1,OSM-n
ES055-131,1,OSM-r
ES055-280,1,OSM-n
ES055-290,1,OSM-r
ES055-310,1,OSM-n
ES055-360,2,OSM-r
ES055-420,1,OSM-r
ES055-460,1,OSM-r
ES055-642,1,OSM-r
ES056-250,2,OSM-nr
ES056-930,1,OSM-r
ES057-530,1,OSM-n
ES060-030,1,OSM-r
ES060-050,1,OSM-r
ES060-235,1,OSM-n
ES060-390,1,OSM-n
ES060-670,6,OSM-nr
ES066-380,1,OSM-n
ES070-010,1,OSM-r
ES070-267,1,OSM-r
ES070-815,1,OSM-n
ES075-035,1,OSM-n
ES075-080,1,OSM-r
ES075-910,1,OSM-r
ES090-230,1,OSM-w
ES090-350,1,OSM-n
ES090-600,1,OSM-n
ES090-640,1,OSM-r
ES090-800,2,OSM-r
ES160-551,1,OSM-n
ES160-630,1,OSM-r
ES160-771,1,OSM-r
ES160-781,2,OSM-nr
ES160-790,1,OSM-n
ES160-915,1,OSM-r
