CRP,idx_confirm,idx_ref
GO4905-970,4,OSM-r
GO4905-971,1,OSM-n
GO4912-651,1,OSM-r
GO4912-653,2,OSM-r
GO4914-350,1,OSM-r
GO4922-290,1,OSM-n
GO4932-970,2,OSM-nr
GO4936-370,1,OSM-r
GO4936-600,1,OSM-r
GO4950-185,2,OSM-r
GO4952-170,2,OSM-w
GO4952-280,1,OSM-w
GO4952-350,1,OSM-w
GO4952-480,1,OSM-w
GO4954-015,1,OSM-w
GO4954-190,1,OSM-r
GO4954-210,1,OSM-w
GO4960-300,1,OSM-w
GO4962-350,1,OSM-r
GO4962-487,1,OSM-w
GO4963-100,1,OSM-r
GO4963-690,1,OSM-r
GO4965-370,1,OSM-r
GO4965-600,1,OSM-r
GO4968-320,1,OSM-w
GO4968-970,2,OSM-nr
GO4971-225,1,OSM-w
GO4975-123,1,OSM-r
GO4980-180,1,OSM-w
GO4985-116,4,OSM-w
GO4988-040,1,OSM-n
GO4988-850,1,OSM-r
