CRP,idx_confirm,idx_ref
GO4000-000,5,OSM-n
GO4013-010,1,OSM-n
GO4020-010,1,OSM-n
GO4025-972,1,OSM-r
GO4043-010,1,OSM-n
GO4045-155,1,OSM-r
GO4055-045,1,OSM-n
GO4055-120,1,OSM-r
GO4063-050,1,OSM-r
GO4063-400,1,OSM-n
GO4070-970,1,OSM-n
GO4075-100,1,OSM-n
GO4080-010,1,OSM-n
GO4083-105,1,OSM-n
GO4085-060,1,OSM-n
GO4085-130,1,OSM-n
GO4085-240,1,OSM-n
GO4110-030,2,OSM-n
GO4110-060,1,OSM-r
GO4115-030,2,OSM-n
GO4120-020,1,OSM-n
GO4120-030,1,OSM-r
GO4120-070,2,OSM-n
GO4125-904,1,OSM-n
GO4140-040,1,OSM-n
GO4150-972,1,OSM-r
GO4160-010,2,OSM-r
GO4170-030,1,OSM-n
GO4175-120,1,OSM-n
GO4180-050,1,OSM-r
GO4210-030,1,OSM-n
GO4215-020,2,OSM-n
GO4215-040,1,OSM-n
GO4223-050,1,OSM-r
GO4223-055,1,OSM-r
GO4230-030,1,OSM-n
GO4250-130,1,OSM-n
GO4250-320,1,OSM-n
GO4270-050,1,OSM-n
GO4280-060,1,OSM-n
GO4280-160,3,OSM-n
GO4323-100,1,OSM-n
GO4325-100,1,OSM-r
GO4330-971,1,OSM-r
GO4343-580,1,OSM-n
GO4350-560,1,OSM-r
GO4360-210,1,OSM-n
GO4425-020,1,OSM-n
GO4425-030,1,OSM-r
GO4435-970,1,OSM-r
GO4453-180,1,OSM-r
GO4455-227,1,OSM-r
GO4460-970,1,OSM-r
GO4465-210,1,OSM-r
GO4470-534,1,OSM-r
GO4475-160,1,OSM-r
GO4475-804,1,OSM-n
GO4492-185,1,OSM-n
GO4493-970,1,OSM-r
GO4495-070,4,OSM-n
GO4505-011,1,OSM-n
GO4525-060,1,OSM-n
GO4530-020,1,OSM-r
GO4533-050,1,OSM-n
GO4535-970,1,OSM-r
GO4565-100,1,OSM-r
GO4565-971,1,OSM-r
GO4594-085,1,OSM-r
GO4605-080,1,OSM-r
GO4610-155,1,OSM-r
GO4630-320,1,OSM-n
GO4633-140,1,OSM-n
GO4645-210,1,OSM-r
GO4650-060,1,OSM-r
GO4650-100,1,OSM-r
GO4650-120,2,OSM-r
GO4650-360,1,OSM-r
GO4653-900,1,OSM-r
GO4665-390,1,OSM-r
GO4665-510,2,OSM-r
GO4670-040,1,OSM-r
GO4670-430,1,OSM-n
GO4670-970,1,OSM-r
GO4685-715,1,OSM-r
GO4690-040,1,OSM-n
GO4690-900,9,OSM-r
GO4691-210,1,OSM-r
GO4775-005,2,OSM-n
GO4805-020,1,OSM-n
GO4810-030,1,OSM-r
GO4820-300,2,OSM-n
GO4823-020,1,OSM-n
GO4823-110,1,OSM-r
GO4823-420,1,OSM-n
GO4823-440,2,OSM-n
GO4823-450,4,OSM-r
GO4823-470,2,OSM-r
GO4830-130,1,OSM-n
GO4860-270,1,OSM-n
GO4885-715,4,OSM-r
