CRP,idx_confirm,idx_ref
MG0110-014,1,OSM-n
MG0110-031,1,OSM-r
MG0110-032,1,OSM-n
MG0110-035,1,OSM-n
MG0110-062,1,OSM-r
MG0110-064,1,OSM-r
MG0110-080,1,OSM-r
MG0110-928,1,OSM-r
MG0111-040,1,OSM-r
MG0112-000,1,OSM-n
MG0112-010,1,OSM-r
MG0112-011,1,OSM-n
MG0112-020,2,OSM-nr
MG0120-020,1,OSM-r
MG0120-040,1,OSM-n
MG0120-060,1,OSM-n
MG0130-004,1,OSM-r
MG0130-090,1,OSM-n
MG0130-100,1,OSM-r
MG0130-130,1,OSM-n
MG0130-140,2,OSM-r
MG0130-151,1,OSM-r
MG0130-160,2,OSM-n
MG0130-170,5,OSM-nr
MG0130-171,2,OSM-n
MG0130-180,8,OSM-nr
MG0130-905,1,OSM-r
MG0140-000,2,OSM-n
MG0140-001,1,OSM-n
MG0140-010,7,OSM-nr
MG0140-062,1,OSM-r
MG0140-072,1,OSM-r
MG0140-073,4,OSM-r
MG0140-092,1,OSM-r
MG0140-093,1,OSM-r
MG0140-120,6,OSM-nr
MG0140-130,1,OSM-n
MG0140-131,1,OSM-r
MG0140-170,1,OSM-n
MG0150-090,1,OSM-r
MG0150-101,1,OSM-r
MG0150-150,1,OSM-r
MG0150-228,1,OSM-n
MG0150-240,5,OSM-n
MG0150-270,1,OSM-n
MG0150-290,2,OSM-n
MG0150-330,1,OSM-n
MG0160-000,3,OSM-nr
MG0160-011,3,OSM-nr
MG0160-012,1,OSM-r
MG0160-017,2,OSM-r
MG0160-038,1,OSM-r
MG0160-041,2,OSM-nr
MG0160-906,1,OSM-n
MG0160-907,1,OSM-n
MG0170-008,1,OSM-n
MG0170-011,1,OSM-n
MG0170-041,4,OSM-r
MG0170-110,1,OSM-n
MG0170-120,1,OSM-n
MG0170-121,2,OSM-nr
MG0170-122,1,OSM-n
MG0170-131,4,OSM-n
MG0180-001,1,OSM-n
MG0180-070,1,OSM-r
MG0180-080,1,OSM-r
MG0180-090,5,OSM-nr
MG0180-100,4,OSM-n
MG0180-101,2,OSM-r
MG0180-111,1,OSM-r
MG0180-910,1,OSM-r
MG0190-002,1,OSM-r
MG0190-081,1,OSM-n
MG0190-130,1,OSM-r
MG0190-131,1,OSM-n
MG0190-915,1,OSM-r
MG0210-550,1,OSM-n
MG0220-000,1,OSM-r
MG0240-130,1,OSM-n
MG0260-270,7,OSM-nr
MG0285-010,1,OSM-r
MG0285-110,1,OSM-n
MG0310-080,1,OSM-n
MG0310-140,1,OSM-r
MG0310-150,1,OSM-r
MG0310-160,1,OSM-r
MG0310-530,1,OSM-r
MG0310-560,1,OSM-n
MG0315-382,1,OSM-n
MG0315-600,1,OSM-n
MG0320-380,1,OSM-n
MG0320-900,1,OSM-r
MG0330-000,1,OSM-r
MG0330-012,1,OSM-n
MG0330-050,2,OSM-n
MG0330-080,1,OSM-n
MG0330-160,1,OSM-r
MG0330-240,2,OSM-r
MG0350-180,1,OSM-n
MG0350-213,1,OSM-r
MG0350-540,3,OSM-nr
MG0360-070,1,OSM-n
MG0360-740,1,OSM-r
MG0380-002,5,OSM-nr
MG0380-090,2,OSM-nr
MG0380-103,3,OSM-nr
MG0380-350,4,OSM-r
