CRP,idx_confirm,idx_ref
MG5143-000,1,OSM-n
MG5160-000,1,OSM-n
MG5160-002,2,OSM-nr
MG5160-003,2,OSM-r
MG5160-004,1,OSM-r
MG5160-011,1,OSM-r
MG5160-184,1,OSM-n
MG5160-192,1,OSM-r
MG5160-212,1,OSM-n
MG5162-036,1,OSM-n
MG5162-038,1,OSM-n
MG5162-042,1,OSM-n
MG5162-081,1,OSM-n
MG5162-082,1,OSM-n
MG5162-106,1,OSM-n
MG5162-113,2,OSM-n
MG5162-143,1,OSM-n
MG5162-154,1,OSM-r
MG5162-360,1,OSM-n
MG5162-369,1,OSM-r
MG5162-399,1,OSM-n
MG5164-056,1,OSM-r
MG5164-182,1,OSM-r
MG5164-213,1,OSM-n
MG5164-251,1,OSM-r
MG5164-300,1,OSM-r
MG5164-779,1,OSM-r
