CRP,idx_confirm,idx_ref
MG6010-003,1,OSM-r
MG6010-110,1,OSM-r
MG6010-410,1,OSM-r
MG6013-210,1,OSM-r
MG6013-260,1,OSM-r
MG6015-001,1,OSM-r
MG6015-360,1,OSM-n
MG6015-370,2,OSM-r
MG6015-420,1,OSM-n
MG6015-460,1,OSM-n
MG6015-510,1,OSM-r
MG6016-000,1,OSM-n
MG6016-210,1,OSM-r
MG6016-311,1,OSM-r
MG6016-320,3,OSM-nr
MG6016-321,1,OSM-n
MG6016-330,1,OSM-r
MG6016-380,1,OSM-n
MG6016-904,1,OSM-r
MG6021-630,2,OSM-nr
MG6025-020,2,OSM-nr
MG6025-275,1,OSM-r
MG6025-290,1,OSM-r
MG6033-003,1,OSM-n
MG6033-100,1,OSM-r
MG6033-318,1,OSM-n
MG6033-340,6,OSM-nr
MG6035-210,1,OSM-n
MG6036-220,1,OSM-n
MG6036-240,1,OSM-r
MG6036-330,1,OSM-n
MG6036-560,1,OSM-n
MG6037-000,1,OSM-n
MG6037-490,1,OSM-n
MG6037-500,1,OSM-n
MG6037-510,1,OSM-n
MG6037-515,2,OSM-n
MG6037-812,1,OSM-n
MG6038-130,1,OSM-r
MG6039-000,1,OSM-n
MG6046-130,1,OSM-n
MG6048-110,1,OSM-r
MG6052-500,2,OSM-r
MG6060-010,2,OSM-nr
MG6060-140,1,OSM-r
MG6062-250,1,OSM-r
MG6062-410,1,OSM-r
MG6080-000,1,OSM-r
MG6080-060,2,OSM-nr
MG6080-120,1,OSM-n
MG6080-220,1,OSM-r
MG6081-230,1,OSM-n
MG6083-070,1,OSM-r
MG6083-770,1,OSM-n
MG6085-040,1,OSM-n
MG6090-320,1,OSM-n
