CRP,idx_confirm,idx_ref
MG8400-030,1,OSM-r
MG8400-053,6,OSM-nr
MG8400-074,1,OSM-n
MG8400-076,8,OSM-nr
MG8400-086,1,OSM-n
MG8400-097,5,OSM-nr
MG8400-108,1,OSM-r
MG8400-112,1,OSM-n
MG8400-124,2,OSM-r
MG8400-126,1,OSM-n
MG8400-128,1,OSM-r
MG8400-130,6,OSM-nr
MG8400-134,5,OSM-nr
MG8400-148,1,OSM-n
MG8400-150,1,OSM-r
MG8400-162,6,OSM-nr
MG8400-170,4,OSM-r
MG8400-178,2,OSM-r
MG8400-186,1,OSM-n
MG8400-220,2,OSM-r
MG8400-235,5,OSM-nr
MG8400-237,4,OSM-r
MG8400-328,1,OSM-n
MG8400-336,1,OSM-n
MG8400-358,1,OSM-n
MG8400-624,1,OSM-r
MG8400-662,1,OSM-n
MG8400-712,2,OSM-n
MG8400-722,4,OSM-n
MG8400-734,1,OSM-n
MG8401-104,1,OSM-n
MG8401-430,1,OSM-n
MG8402-180,1,OSM-n
MG8402-347,1,OSM-n
MG8405-002,1,OSM-n
MG8405-024,2,OSM-n
MG8405-040,1,OSM-r
MG8405-042,2,OSM-r
MG8405-048,4,OSM-r
MG8405-086,3,OSM-nr
MG8405-102,2,OSM-n
MG8405-112,1,OSM-r
MG8405-167,1,OSM-n
MG8408-016,1,OSM-n
MG8408-032,1,OSM-r
MG8408-064,1,OSM-r
MG8408-066,1,OSM-r
MG8408-092,2,OSM-r
MG8408-098,1,OSM-n
MG8408-100,1,OSM-n
MG8408-102,9,OSM-r
MG8408-106,1,OSM-r
MG8408-128,1,OSM-n
MG8408-136,4,OSM-r
MG8408-144,1,OSM-r
MG8408-166,1,OSM-n
MG8408-168,8,OSM-nr
MG8408-170,16,OSM-nr
MG8408-176,14,OSM-nrw
MG8408-184,1,OSM-n
MG8408-194,2,OSM-n
MG8408-196,6,OSM-r
MG8408-198,1,OSM-r
MG8408-200,2,OSM-r
MG8408-204,2,OSM-r
MG8408-206,7,OSM-nr
MG8408-210,11,OSM-nr
MG8408-212,6,OSM-r
MG8408-214,5,OSM-r
MG8408-216,7,OSM-r
MG8408-218,7,OSM-r
MG8408-220,9,OSM-nr
MG8408-222,1,OSM-r
MG8408-224,11,OSM-r
MG8408-226,15,OSM-nr
MG8408-261,2,OSM-n
MG8408-263,5,OSM-nr
MG8408-288,1,OSM-r
MG8408-290,12,OSM-nr
MG8408-404,1,OSM-n
MG8410-236,1,OSM-r
MG8410-268,1,OSM-r
MG8410-420,1,OSM-r
MG8410-904,1,OSM-r
MG8411-076,1,OSM-r
MG8411-159,1,OSM-r
MG8411-598,1,OSM-r
MG8412-104,1,OSM-n
MG8412-602,1,OSM-n
MG8412-877,1,OSM-n
MG8414-126,1,OSM-r
MG8415-420,2,OSM-nr
MG8415-426,1,OSM-n
MG8425-605,1,OSM-n
MG8490-058,1,OSM-r
