CRP,idx_confirm,idx_ref
DF0002-021,1,OSM-n
MS002-000,7,OSM-nr
MS002-001,2,OSM-n
MS002-003,2,OSM-n
MS002-005,4,OSM-n
MS002-060,2,OSM-n
MS002-070,4,OSM-n
MS002-071,2,OSM-n
MS002-073,2,OSM-n
MS002-081,3,OSM-nr
MS002-121,4,OSM-n
MS002-140,4,OSM-n
MS002-141,2,OSM-nr
MS002-170,5,OSM-n
MS002-175,4,OSM-n
MS002-185,2,OSM-r
MS002-212,1,OSM-n
MS002-230,2,OSM-nr
MS002-352,1,OSM-n
MS002-371,2,OSM-n
MS002-380,1,OSM-n
MS002-490,1,OSM-r
MS002-900,2,OSM-nr
MS002-923,2,OSM-nr
MS002-970,1,OSM-n
MS002-973,1,OSM-n
MS002-976,1,OSM-r
MS002-982,1,OSM-r
MS003-900,1,OSM-r
MS004-310,3,OSM-nr
MS004-311,1,OSM-r
MS004-340,1,OSM-r
MS004-382,2,OSM-n
MS004-972,1,OSM-n
MS005-020,1,OSM-r
MS005-050,2,OSM-n
MS006-560,2,OSM-nr
MS006-970,1,OSM-r
MS006-971,1,OSM-n
MS008-070,2,OSM-r
MS008-411,1,OSM-r
MS008-970,1,OSM-r
MS009-970,1,OSM-n
MS010-190,1,OSM-r
MS010-220,1,OSM-n
MS010-500,1,OSM-n
MS010-971,1,OSM-n
MS013-695,1,OSM-n
MS013-820,1,OSM-r
MS013-821,1,OSM-r
MS020-010,1,OSM-n
MS020-907,1,OSM-r
MS020-970,1,OSM-n
MS020-971,1,OSM-n
MS021-002,1,OSM-r
MS022-300,1,OSM-r
MS022-970,1,OSM-r
MS031-908,1,OSM-r
MS031-971,1,OSM-n
MS031-972,1,OSM-n
MS033-281,1,OSM-n
MS033-970,1,OSM-r
MS034-000,1,OSM-n
MS034-600,1,OSM-n
MS035-970,1,OSM-n
MS037-100,1,OSM-r
MS037-970,1,OSM-n
MS040-040,1,OSM-n
MS040-660,1,OSM-n
MS040-670,1,OSM-n
MS040-860,1,OSM-n
MS041-971,1,OSM-n
MS043-250,1,OSM-r
MS044-350,1,OSM-r
MS050-010,1,OSM-r
MS050-900,1,OSM-r
MS051-902,1,OSM-n
MS052-030,2,OSM-r
MS052-420,2,OSM-r
MS060-070,1,OSM-n
MS063-970,1,OSM-n
MS065-021,1,OSM-n
MS065-970,1,OSM-r
MS070-140,1,OSM-r
MS070-170,1,OSM-r
MS070-900,1,OSM-r
MS072-900,1,OSM-n
MS075-260,1,OSM-n
MS080-790,1,OSM-r
MS080-973,1,OSM-n
MS081-270,1,OSM-n
MS081-650,1,OSM-r
MS084-122,1,OSM-n
MS092-340,1,OSM-n
MS096-230,1,OSM-n
MS097-150,1,OSM-n
MS097-230,1,OSM-n
MS100-000,1,OSM-n
MS100-010,4,OSM-r
MS100-190,2,OSM-n
MS100-400,1,OSM-r
MS100-430,1,OSM-n
MS100-450,1,OSM-n
MS100-510,1,OSM-r
MS100-900,1,OSM-r
MS101-970,2,OSM-nr
MS108-550,4,OSM-n
MS110-000,1,OSM-n
MS110-080,1,OSM-n
MS112-010,1,OSM-r
MS112-190,2,OSM-nr
MS112-250,1,OSM-n
MS113-000,1,OSM-r
MS116-492,1,OSM-n
MS117-970,1,OSM-n
MS125-970,1,OSM-n
