CRP,idx_confirm,idx_ref
MT005-030,2,OSM-r
MT005-100,3,OSM-r
MT005-200,1,OSM-r
MT005-560,1,OSM-r
MT005-970,1,OSM-r
MT008-973,1,OSM-n
MT010-200,1,OSM-r
MT010-500,1,OSM-r
MT010-970,1,OSM-r
MT015-050,6,OSM-r
MT015-300,1,OSM-n
MT015-650,1,OSM-n
MT015-970,1,OSM-n
MT020-300,1,OSM-r
MT020-800,1,OSM-r
MT020-801,1,OSM-r
MT020-970,1,OSM-r
MT020-973,1,OSM-n
MT025-190,1,OSM-n
MT025-700,1,OSM-n
MT030-005,1,OSM-n
MT030-210,1,OSM-r
MT030-970,1,OSM-r
MT032-035,1,OSM-r
MT040-200,1,OSM-r
MT040-500,1,OSM-r
MT040-600,1,OSM-r
MT040-700,1,OSM-r
MT040-783,1,OSM-r
MT040-825,1,OSM-n
MT043-300,4,OSM-n
MT043-400,1,OSM-r
MT043-580,1,OSM-r
MT045-070,1,OSM-r
MT045-140,1,OSM-r
MT045-220,1,OSM-r
MT045-310,1,OSM-r
MT045-326,1,OSM-r
MT045-360,1,OSM-r
MT045-400,2,OSM-r
MT045-420,1,OSM-n
MT045-440,1,OSM-r
MT045-770,1,OSM-r
MT045-840,4,OSM-r
MT048-000,1,OSM-r
MT048-405,1,OSM-r
MT048-590,1,OSM-r
MT048-700,1,OSM-r
MT048-970,1,OSM-n
MT049-901,1,OSM-r
MT049-909,1,OSM-r
MT050-000,3,OSM-r
MT050-010,1,OSM-n
MT050-070,1,OSM-r
MT050-090,2,OSM-r
MT050-250,2,OSM-r
MT050-560,2,OSM-nr
MT050-700,1,OSM-r
MT050-923,1,OSM-r
MT050-973,1,OSM-n
MT050-975,1,OSM-n
MT055-125,1,OSM-r
MT055-488,1,OSM-r
MT055-799,1,OSM-r
MT055-970,1,OSM-n
MT056-606,1,OSM-n
MT058-442,1,OSM-n
MT058-743,1,OSM-n
MT060-000,1,OSM-r
MT060-601,2,OSM-r
MT060-618,1,OSM-r
MT060-624,1,OSM-r
MT060-628,1,OSM-r
MT060-746,1,OSM-n
MT060-900,1,OSM-r
MT065-170,1,OSM-n
MT065-198,1,OSM-n
MT068-000,1,OSM-r
MT070-000,1,OSM-r
MT070-100,1,OSM-r
MT070-970,1,OSM-r
MT075-850,1,OSM-r
MT080-000,1,OSM-r
MT080-535,1,OSM-r
MT080-970,1,OSM-r
MT088-505,1,OSM-r
MT089-748,1,OSM-r
MT093-970,1,OSM-r
MT098-250,1,OSM-r
MT098-290,1,OSM-r
MT098-683,1,OSM-r
MT098-970,1,OSM-n
MT098-971,1,OSM-r
MT099-972,1,OSM-n
MT104-970,1,OSM-n
MT195-000,1,OSM-r
MT403-409,1,OSM-r
