CRP,idx_confirm,idx_ref
PA6000-000,1,OSM-r
PA6015-200,1,OSM-r
PA6017-904,1,OSM-n
PA6020-290,1,OSM-r
PA6020-470,1,OSM-n
PA6025-160,2,OSM-nr
PA6025-230,5,OSM-nr
PA6025-610,1,OSM-n
PA6033-110,2,OSM-n
PA6033-172,1,OSM-r
PA6033-331,6,OSM-nr
PA6033-442,4,OSM-n
PA6033-454,4,OSM-n
PA6033-718,5,OSM-nr
PA6033-720,11,OSM-nr
PA6033-722,4,OSM-n
PA6033-726,5,OSM-n
PA6033-728,1,OSM-n
PA6033-770,9,OSM-nr
PA6033-815,1,OSM-n
PA6035-045,4,OSM-n
PA6035-065,1,OSM-r
PA6035-080,1,OSM-n
PA6035-100,1,OSM-n
PA6035-125,2,OSM-r
PA6035-170,1,OSM-n
PA6035-220,1,OSM-r
PA6035-265,1,OSM-n
PA6035-350,1,OSM-r
PA6035-400,1,OSM-n
PA6035-405,1,OSM-n
PA6040-903,1,OSM-r
PA6045-200,1,OSM-n
PA6050-000,1,OSM-r
PA6050-110,9,OSM-nr
PA6050-540,2,OSM-nr
PA6053-260,1,OSM-n
PA6055-000,2,OSM-n
PA6055-030,1,OSM-n
PA6055-190,7,OSM-nr
PA6055-200,1,OSM-r
PA6060-585,1,OSM-n
PA6063-223,1,OSM-r
PA6063-230,2,OSM-n
PA6075-000,1,OSM-r
PA6075-045,1,OSM-n
PA6075-110,1,OSM-r
PA6075-900,1,OSM-n
PA6077-830,4,OSM-n
PA6083-106,1,OSM-r
PA6083-120,1,OSM-n
PA6085-170,1,OSM-n
PA6087-000,1,OSM-n
PA6090-363,1,OSM-n
PA6093-040,5,OSM-nr
PA6093-345,4,OSM-r
PA6095-050,2,OSM-n
PA6095-105,1,OSM-n
PA6095-128,1,OSM-n
PA6095-750,1,OSM-n
PA6095-770,1,OSM-r
PA6115-221,1,OSM-n
PA6128-680,1,OSM-r
PA6610-770,1,OSM-r
PA6610-840,1,OSM-r
PA6613-130,1,OSM-n
PA6615-030,1,OSM-n
PA6615-055,1,OSM-n
PA6623-770,1,OSM-r
PA6650-000,8,OSM-nr
PA6650-010,2,OSM-n
PA6650-020,4,OSM-r
PA6650-080,1,OSM-n
PA6810-100,4,OSM-n
PA6810-970,1,OSM-n
PA6812-490,1,OSM-n
PA6820-000,2,OSM-rw
PA6820-020,6,OSM-r
PA6820-062,7,OSM-r
PA6820-063,7,OSM-r
PA6820-064,7,OSM-r
PA6820-066,7,OSM-r
PA6820-068,7,OSM-r
PA6820-071,7,OSM-r
PA6820-072,7,OSM-r
PA6820-073,7,OSM-r
PA6820-074,7,OSM-r
PA6820-076,7,OSM-r
PA6820-077,7,OSM-r
PA6820-160,7,OSM-r
PA6820-600,1,OSM-n
PA6820-706,7,OSM-r
PA6820-707,8,OSM-r
PA6820-708,7,OSM-r
PA6820-711,7,OSM-r
PA6820-713,7,OSM-r
PA6820-716,7,OSM-r
PA6820-717,7,OSM-r
PA6820-800,9,OSM-r
PA6820-801,9,OSM-r
PA6820-802,9,OSM-r
PA6820-803,7,OSM-r
PA6820-804,7,OSM-r
PA6820-805,9,OSM-r
PA6820-806,9,OSM-r
PA6820-807,9,OSM-r
PA6820-808,7,OSM-r
PA6845-360,1,OSM-n
PA7120-527,1,OSM-n
