CRP,idx_confirm,idx_ref
PB011-000,1,OSM-r
PB013-080,1,OSM-n
PB013-130,1,OSM-r
PB013-131,1,OSM-n
PB013-420,1,OSM-n
PB015-020,1,OSM-n
PB015-280,2,OSM-nw
PB015-435,1,OSM-r
PB015-510,8,OSM-nr
PB025-000,1,OSM-n
PB030-001,1,OSM-n
PB030-330,1,OSM-n
PB035-070,2,OSM-r
PB035-170,1,OSM-r
PB036-002,1,OSM-r
PB036-440,1,OSM-n
PB036-460,1,OSM-r
PB036-570,1,OSM-r
PB036-605,2,OSM-nr
PB037-000,1,OSM-r
PB038-102,1,OSM-n
PB038-230,1,OSM-r
PB038-342,1,OSM-r
PB039-021,6,OSM-r
PB039-081,6,OSM-r
PB039-101,5,OSM-r
PB039-120,1,OSM-n
PB039-151,1,OSM-r
PB039-160,1,OSM-n
PB039-170,7,OSM-nr
PB039-181,3,OSM-nr
PB039-190,6,OSM-r
PB039-210,7,OSM-nr
PB039-230,6,OSM-r
PB039-250,6,OSM-r
PB040-000,1,OSM-r
PB040-022,1,OSM-r
PB040-080,1,OSM-n
PB040-330,1,OSM-n
PB040-530,4,OSM-r
PB040-720,1,OSM-n
PB040-915,1,OSM-r
PB041-000,1,OSM-n
PB041-020,1,OSM-r
PB042-006,1,OSM-n
PB042-060,4,OSM-r
PB043-270,1,OSM-r
PB045-010,7,OSM-nr
PB046-115,1,OSM-r
PB051-110,1,OSM-r
PB052-170,3,OSM-r
PB053-045,1,OSM-r
PB062-284,1,OSM-n
PB062-286,1,OSM-n
PB062-305,1,OSM-r
PB065-081,1,OSM-r
PB073-066,5,OSM-rw
PB077-174,1,OSM-n
