CRP,idx_confirm,idx_ref
PE0970-100,1,OSM-w
PE0970-120,1,OSM-w
PE0970-130,1,OSM-w
PE0970-430,1,OSM-w
PE2171-221,1,OSM-w
PE4705-560,1,OSM-w
PE4753-000,8,OSM-nrw
PE4753-090,1,OSM-w
PE4753-110,1,OSM-w
PE4753-120,1,OSM-w
PE4753-130,1,OSM-w
PE4753-140,1,OSM-w
PE4753-220,1,OSM-r
PE4753-280,1,OSM-w
PE4753-440,1,OSM-w
PE4753-580,1,OSM-w
PE4753-581,1,OSM-w
PE4753-582,1,OSM-w
PE4753-583,1,OSM-w
PE4753-590,1,OSM-w
PE4753-605,1,OSM-w
PE4753-715,1,OSM-w
PE4753-774,1,OSM-w
PE4753-776,1,OSM-w
PE4753-778,1,OSM-w
PE4756-000,1,OSM-w
PE4756-275,1,OSM-w
PE4756-735,1,OSM-w
PE4759-115,1,OSM-w
PE4759-116,1,OSM-w
PE4759-125,1,OSM-r
PE4759-215,1,OSM-w
PE4759-235,1,OSM-w
PE4759-245,2,OSM-w
PE4759-246,1,OSM-w
PE4759-255,1,OSM-w
PE4759-503,1,OSM-w
PE4759-645,1,OSM-r
PE4759-648,1,OSM-w
PE4759-745,1,OSM-w
PE4762-003,3,OSM-rw
PE4762-115,1,OSM-w
PE4762-145,1,OSM-w
PE4762-165,4,OSM-w
PE4762-285,1,OSM-w
PE4762-303,1,OSM-r
PE4762-335,1,OSM-w
PE4762-338,1,OSM-w
PE4762-405,2,OSM-w
PE4762-415,1,OSM-w
PE4762-425,1,OSM-w
PE4762-435,1,OSM-w
PE4762-455,1,OSM-w
PE4762-475,1,OSM-w
PE4762-495,1,OSM-w
PE4762-585,1,OSM-w
PE4762-720,1,OSM-r
PE4762-787,2,OSM-w
PE4762-798,1,OSM-w
PE4762-802,1,OSM-w
PE4765-435,1,OSM-w
PE4768-000,1,OSM-r
PE4768-662,3,OSM-rw
PE4777-010,1,OSM-w
PE4777-100,1,OSM-w
PE4777-200,6,OSM-rw
PE4777-220,1,OSM-w
PE4777-380,1,OSM-w
PE4777-452,2,OSM-rw
PE4777-510,1,OSM-w
PE4777-715,1,OSM-w
PE4777-720,6,OSM-rw
PE4780-010,1,OSM-w
PE4780-080,2,OSM-w
PE4780-081,2,OSM-w
PE4780-090,1,OSM-w
PE4780-225,1,OSM-w
PE4780-410,1,OSM-w
PE4780-435,1,OSM-w
PE4783-180,2,OSM-w
PE4786-510,1,OSM-w
PE4789-030,1,OSM-w
PE4789-180,1,OSM-w
PE4789-258,4,OSM-w
PE4789-530,4,OSM-w
PE4792-520,1,OSM-w
PE4792-525,1,OSM-w
