CRP,idx_confirm,idx_ref
PE1300-440,1,OSM-r
PE4080-310,1,OSM-r
PE4270-150,2,OSM-n
PE4280-530,1,OSM-r
PE4310-310,2,OSM-nr
PE4310-335,1,OSM-r
PE4315-010,2,OSM-r
PE4315-071,1,OSM-n
PE4315-570,4,OSM-r
PE4325-000,2,OSM-nr
PE4325-012,8,OSM-rw
PE4325-628,2,OSM-nr
PE4330-027,1,OSM-n
PE4330-530,1,OSM-w
PE4335-090,2,OSM-r
PE4335-160,1,OSM-w
PE4340-740,4,OSM-r
PE4345-160,2,OSM-r
PE4352-000,1,OSM-w
PE4352-090,1,OSM-w
PE4352-255,1,OSM-w
PE4352-270,1,OSM-w
PE4352-435,1,OSM-w
PE4360-160,4,OSM-n
PE4400-090,5,OSM-w
PE4410-010,7,OSM-nr
PE4410-100,4,OSM-r
PE4410-240,1,OSM-n
PE4410-310,1,OSM-r
PE4420-130,2,OSM-n
PE4430-250,1,OSM-n
PE4440-410,1,OSM-n
PE4460-590,2,OSM-n
PE4470-270,3,OSM-n
PE4490-180,4,OSM-n
PE4495-185,2,OSM-n
PE5470-030,1,OSM-n
