CRP,idx_confirm,idx_ref
PE2041-730,1,OSM-n
PE3010-150,1,OSM-w
PE3010-450,1,OSM-w
PE3020-080,2,OSM-r
PE3020-140,1,OSM-n
PE3020-190,2,OSM-r
PE3020-460,1,OSM-n
PE3030-010,4,OSM-n
PE3030-150,1,OSM-n
PE3040-000,2,OSM-n
PE3040-010,1,OSM-n
PE3040-085,1,OSM-n
PE3040-110,2,OSM-nr
PE3040-150,1,OSM-n
PE3050-090,1,OSM-n
PE3050-440,1,OSM-r
PE3070-000,1,OSM-n
PE3070-040,1,OSM-n
PE3070-191,1,OSM-n
PE3070-400,4,OSM-n
PE3080-490,1,OSM-n
PE3110-110,1,OSM-n
PE3110-710,1,OSM-n
PE3111-970,1,OSM-n
PE3120-060,1,OSM-n
PE3120-090,1,OSM-r
PE3120-390,1,OSM-r
PE3130-150,5,OSM-nr
PE3130-410,6,OSM-nr
PE3130-530,2,OSM-nr
PE3130-545,2,OSM-r
PE3130-555,2,OSM-nr
PE3140-080,2,OSM-n
PE3140-140,1,OSM-r
PE3150-000,4,OSM-n
PE3150-470,1,OSM-n
PE3150-580,1,OSM-n
PE3200-300,1,OSM-n
PE3240-150,1,OSM-n
PE3290-070,1,OSM-n
PE3350-005,1,OSM-n
PE3370-460,2,OSM-r
PE3370-491,2,OSM-nr
PE3441-601,1,OSM-n
PE5602-150,1,OSM-n
