CRP,idx_confirm,idx_ref
PE0010-000,1,OSM-r
PE0010-010,1,OSM-r
PE0010-040,4,OSM-r
PE0010-050,1,OSM-r
PE0010-070,4,OSM-r
PE0010-230,1,OSM-r
PE0010-240,7,OSM-r
PE0010-300,4,OSM-r
PE0010-310,5,OSM-r
PE0010-350,1,OSM-r
PE0010-360,4,OSM-r
PE0010-470,1,OSM-r
PE0010-911,5,OSM-r
PE0010-932,1,OSM-r
PE0010-970,1,OSM-r
PE0020-360,5,OSM-nr
PE0020-560,1,OSM-r
PE0020-570,1,OSM-r
PE0030-000,5,OSM-nr
PE0030-030,1,OSM-n
PE0030-110,1,OSM-r
PE0030-150,2,OSM-nr
PE0030-210,1,OSM-n
PE0030-230,9,OSM-nr
PE0030-240,4,OSM-r
PE0030-350,1,OSM-n
PE0030-360,2,OSM-r
PE0030-390,1,OSM-r
PE0030-902,1,OSM-n
PE0030-903,4,OSM-r
PE0050-000,4,OSM-r
PE0050-070,1,OSM-r
PE0050-090,4,OSM-r
PE0050-200,1,OSM-r
PE0050-215,1,OSM-r
PE0050-290,2,OSM-nr
PE0050-385,1,OSM-r
PE0050-590,4,OSM-r
PE0060-000,1,OSM-r
PE0070-010,2,OSM-r
PE0070-040,1,OSM-r
PE0070-050,1,OSM-n
PE0070-070,4,OSM-r
PE0070-140,1,OSM-n
PE0070-160,2,OSM-r
PE0070-170,1,OSM-n
PE0070-200,1,OSM-r
PE0070-230,4,OSM-r
PE0070-270,1,OSM-r
PE0070-430,1,OSM-r
PE0070-460,1,OSM-r
PE0070-480,1,OSM-r
PE0070-490,2,OSM-nr
PE0070-520,2,OSM-nr
PE0070-550,2,OSM-r
PE0080-800,1,OSM-r
PE0090-140,1,OSM-n
PE0100-010,1,OSM-r
PE0100-060,1,OSM-r
PE0110-900,5,OSM-nr
PE0610-000,1,OSM-r
PE0610-090,1,OSM-r
PE0610-160,8,OSM-nr
PE0610-280,3,OSM-nr
PE0610-340,1,OSM-n
PE0610-380,1,OSM-r
PE0630-400,1,OSM-r
PE0670-000,3,OSM-nr
PE0670-170,1,OSM-n
PE0670-420,1,OSM-r
PE0670-421,1,OSM-r
PE0670-500,1,OSM-r
PE0680-000,2,OSM-r
PE0680-150,1,OSM-r
PE0690-900,1,OSM-n
PE0710-010,1,OSM-r
PE0710-380,1,OSM-r
PE0710-390,1,OSM-n
PE0710-435,1,OSM-n
PE0711-000,1,OSM-r
PE0720-001,2,OSM-r
PE0720-100,1,OSM-n
PE0720-110,1,OSM-r
PE0720-180,1,OSM-n
PE0720-280,1,OSM-r
PE0720-545,1,OSM-n
PE0720-575,1,OSM-r
PE0720-970,1,OSM-r
PE0730-120,1,OSM-r
PE0731-000,1,OSM-r
PE0740-030,1,OSM-r
PE0741-110,1,OSM-r
PE0741-150,1,OSM-r
PE0741-490,1,OSM-r
PE0761-000,1,OSM-r
PE0761-070,1,OSM-r
PE0770-110,10,OSM-nr
PE0770-120,12,OSM-nr
PE0781-350,1,OSM-n
PE0781-600,1,OSM-r
PE0790-000,4,OSM-r
PE0790-060,1,OSM-r
PE0791-110,1,OSM-n
PE0800-030,2,OSM-w
PE0800-040,2,OSM-w
PE0800-220,1,OSM-n
PE0860-000,1,OSM-r
PE0865-030,1,OSM-r
PE0900-560,1,OSM-n
PE0920-525,1,OSM-r
PE0930-010,1,OSM-r
PE0960-330,2,OSM-w
PE0960-340,1,OSM-w
PE0960-350,1,OSM-w
PE0960-360,1,OSM-w
PE0960-420,2,OSM-w
PE0960-450,1,OSM-w
PE0960-470,1,OSM-w
PE0960-530,1,OSM-w
PE0970-410,1,OSM-w
PE0980-010,1,OSM-w
PE0980-015,1,OSM-w
PE0980-427,6,OSM-nrw
PE0980-580,1,OSM-r
PE1011-000,1,OSM-n
PE1011-030,1,OSM-r
PE1011-040,1,OSM-n
PE1011-050,2,OSM-r
