CRP,idx_confirm,idx_ref
PI000-000,2,OSM-r
PI000-020,6,OSM-nr
PI000-040,3,OSM-nr
PI000-080,1,OSM-n
PI000-200,1,OSM-r
PI000-250,2,OSM-r
PI000-810,1,OSM-r
PI000-830,2,OSM-r
PI000-917,1,OSM-n
PI001-040,1,OSM-r
PI001-300,1,OSM-n
PI002-150,1,OSM-n
PI002-190,1,OSM-r
PI002-475,1,OSM-r
PI003-000,1,OSM-r
PI003-200,1,OSM-r
PI003-600,1,OSM-n
PI007-500,1,OSM-r
PI010-350,2,OSM-n
PI010-590,2,OSM-n
PI014-220,1,OSM-r
PI017-560,1,OSM-r
PI022-245,1,OSM-r
PI023-400,1,OSM-n
PI025-220,1,OSM-n
PI038-250,1,OSM-n
PI046-902,1,OSM-r
PI049-010,1,OSM-r
PI049-190,1,OSM-r
PI049-550,1,OSM-r
PI049-740,1,OSM-n
PI053-010,5,OSM-nr
PI053-040,2,OSM-r
PI053-240,3,OSM-nr
PI053-390,1,OSM-r
PI055-330,1,OSM-r
PI056-065,1,OSM-r
PI058-180,1,OSM-r
PI078-650,2,OSM-nr
