CRP,idx_confirm,idx_ref
PR5800-000,1,OSM-n
PR5801-000,5,OSM-nr
PR5801-010,2,OSM-nr
PR5801-020,4,OSM-r
PR5801-030,1,OSM-r
PR5801-080,1,OSM-r
PR5801-100,1,OSM-r
PR5801-110,1,OSM-r
PR5801-160,1,OSM-r
PR5802-020,1,OSM-r
PR5802-070,1,OSM-n
PR5802-130,1,OSM-r
PR5802-160,1,OSM-r
PR5802-170,2,OSM-r
PR5803-000,4,OSM-n
PR5803-030,3,OSM-nr
PR5803-150,1,OSM-r
PR5803-170,1,OSM-r
PR5803-290,1,OSM-r
PR5803-650,1,OSM-r
PR5805-070,1,OSM-r
PR5805-240,1,OSM-r
PR5805-410,1,OSM-r
PR5806-000,1,OSM-n
PR5806-080,1,OSM-r
PR5806-470,1,OSM-r
PR5807-050,4,OSM-r
PR5807-660,1,OSM-r
PR5810-001,1,OSM-r
PR5810-010,3,OSM-nr
PR5810-021,1,OSM-r
PR5810-130,1,OSM-r
PR5810-190,1,OSM-r
PR5810-855,1,OSM-n
PR5811-030,1,OSM-r
PR5812-001,1,OSM-r
PR5812-010,1,OSM-n
PR5812-011,1,OSM-r
PR5812-310,1,OSM-n
PR5813-170,1,OSM-r
PR5813-710,2,OSM-n
PR5814-617,1,OSM-r
PR5814-760,1,OSM-r
PR5814-780,1,OSM-r
PR5814-800,1,OSM-r
PR5815-073,2,OSM-r
PR5815-250,1,OSM-r
PR5816-100,1,OSM-r
PR5816-290,2,OSM-r
PR5818-210,1,OSM-r
PR5818-260,1,OSM-r
PR5818-560,2,OSM-nr
PR5819-000,1,OSM-r
PR5819-110,2,OSM-nr
PR5819-160,1,OSM-r
PR5819-170,5,OSM-r
PR5819-350,4,OSM-r
PR5819-351,8,OSM-nr
PR5819-710,4,OSM-n
SC9819-170,4,OSM-r
