CRP,idx_confirm,idx_ref
MG2882-129,1,OSM-r
PR0002-900,1,OSM-r
PR0010-010,1,OSM-n
PR0010-030,1,OSM-r
PR0010-080,3,OSM-nr
PR0010-110,2,OSM-n
PR0010-160,2,OSM-r
PR0010-190,1,OSM-n
PR0010-200,3,OSM-nr
PR0010-912,1,OSM-n
PR0020-030,1,OSM-n
PR0020-060,1,OSM-n
PR0020-110,5,OSM-nr
PR0020-150,1,OSM-n
PR0020-170,7,OSM-nr
PR0020-180,7,OSM-nr
PR0020-220,2,OSM-n
PR0020-250,4,OSM-n
PR0020-280,4,OSM-n
PR0020-310,3,OSM-nr
PR0020-320,2,OSM-n
PR0020-901,1,OSM-r
PR0030-010,2,OSM-r
PR0030-030,2,OSM-n
PR0030-070,2,OSM-nr
PR0030-080,2,OSM-n
PR0030-150,1,OSM-n
PR0030-340,2,OSM-r
PR0035-010,2,OSM-r
PR0035-020,2,OSM-r
PR0035-049,1,OSM-n
PR0035-060,1,OSM-n
PR0040-130,1,OSM-r
PR0040-140,1,OSM-n
PR0040-310,2,OSM-n
PR0045-260,2,OSM-nr
PR0045-330,1,OSM-r
PR0045-340,1,OSM-r
PR0045-380,2,OSM-n
PR0050-152,3,OSM-nr
PR0050-250,4,OSM-r
PR0050-350,3,OSM-nr
PR0050-360,5,OSM-r
PR0050-370,2,OSM-r
PR0050-380,4,OSM-r
PR0050-450,2,OSM-nr
PR0050-470,6,OSM-nr
PR0050-480,2,OSM-nr
PR0050-490,1,OSM-r
PR0050-510,3,OSM-nr
PR0050-520,1,OSM-r
PR0050-540,1,OSM-n
PR0050-981,1,OSM-n
PR0060-000,6,OSM-nr
PR0060-010,1,OSM-n
PR0060-020,1,OSM-n
PR0060-050,1,OSM-n
PR0060-070,2,OSM-r
PR0060-100,5,OSM-n
PR0060-110,1,OSM-n
PR0060-130,2,OSM-n
PR0060-150,1,OSM-n
PR0060-195,1,OSM-n
PR0060-205,1,OSM-n
PR0060-230,1,OSM-n
PR0210-020,2,OSM-nr
PR0210-060,2,OSM-n
PR0210-131,1,OSM-r
PR0210-170,1,OSM-r
PR0210-260,1,OSM-r
PR0215-090,7,OSM-nr
PR0215-180,1,OSM-r
PR0215-270,3,OSM-nr
PR0215-432,1,OSM-r
PR0220-000,1,OSM-n
PR0220-030,1,OSM-r
PR0220-180,3,OSM-nr
PR0220-181,1,OSM-r
PR0220-290,1,OSM-r
PR0220-902,4,OSM-r
PR0230-000,2,OSM-nr
PR0230-010,1,OSM-r
PR0230-090,1,OSM-n
PR0230-100,1,OSM-n
PR0230-110,1,OSM-r
PR0230-130,1,OSM-r
PR0230-150,1,OSM-n
PR0240-000,2,OSM-n
PR0240-021,1,OSM-n
PR0240-031,1,OSM-n
PR0240-041,2,OSM-nr
PR0240-110,2,OSM-nr
PR0240-210,1,OSM-r
PR0240-240,1,OSM-w
PR0250-000,1,OSM-n
PR0250-070,1,OSM-r
PR0250-130,2,OSM-nr
PR0250-160,1,OSM-r
PR0250-190,1,OSM-n
PR0250-210,2,OSM-n
PR0310-010,3,OSM-nr
PR0310-100,1,OSM-r
PR0310-110,1,OSM-n
PR0310-130,2,OSM-nr
PR0310-140,6,OSM-nr
PR0310-200,4,OSM-nr
PR0310-230,5,OSM-nw
PR0310-310,2,OSM-nr
PR0310-410,3,OSM-nr
PR0310-420,4,OSM-r
PR0310-430,4,OSM-r
PR0320-030,1,OSM-r
PR0320-040,1,OSM-r
PR0320-070,3,OSM-nr
PR0320-290,2,OSM-nr
PR0320-300,10,OSM-nr
PR0410-000,4,OSM-r
PR0410-001,3,OSM-nr
PR0410-020,1,OSM-n
PR0410-060,3,OSM-nr
PR0410-100,3,OSM-nr
PR0410-140,3,OSM-n
PR0410-170,1,OSM-n
PR0410-180,2,OSM-n
PR0410-201,1,OSM-n
PR0410-230,3,OSM-nr
PR0420-000,7,OSM-nr
PR0420-010,2,OSM-r
PR0420-011,1,OSM-n
PR0420-060,2,OSM-nr
PR0420-080,2,OSM-nr
PR0420-120,5,OSM-nr
PR0420-160,1,OSM-n
PR0420-210,1,OSM-r
PR0430-000,1,OSM-r
PR0430-030,1,OSM-r
PR0430-040,2,OSM-n
PR0430-060,1,OSM-n
PR0430-140,1,OSM-n
PR0430-160,4,OSM-n
PR0430-180,2,OSM-n
PR0430-190,1,OSM-n
PR0430-210,1,OSM-n
PR0440-020,1,OSM-r
PR0510-000,5,OSM-n
PR0510-020,1,OSM-r
PR0510-030,1,OSM-n
PR0510-040,2,OSM-n
PR0510-070,4,OSM-n
PR0510-190,6,OSM-nr
PR0510-240,2,OSM-nw
PR0520-010,2,OSM-n
PR0520-100,1,OSM-n
PR0520-170,1,OSM-n
PR0520-174,1,OSM-r
PR0520-176,2,OSM-r
PR0520-250,1,OSM-r
PR0520-260,1,OSM-r
PR0530-000,8,OSM-nr
PR0530-010,5,OSM-n
PR0530-020,1,OSM-r
PR0530-050,2,OSM-n
PR0530-060,6,OSM-nr
PR0530-290,1,OSM-n
PR0530-908,1,OSM-n
PR0530-909,1,OSM-r
PR0530-910,1,OSM-r
PR0530-912,1,OSM-r
PR0540-180,1,OSM-n
PR0540-280,1,OSM-n
PR0540-340,1,OSM-r
PR0610-240,1,OSM-r
PR0610-260,1,OSM-n
PR0610-290,1,OSM-r
PR0610-905,3,OSM-n
PR0620-000,1,OSM-r
PR0620-010,1,OSM-n
PR0620-030,5,OSM-nr
PR0620-100,1,OSM-n
PR0620-200,1,OSM-n
PR0620-230,1,OSM-n
PR0620-400,1,OSM-n
PR0630-150,2,OSM-nr
PR0630-220,3,OSM-nr
PR0710-000,4,OSM-n
PR0710-570,1,OSM-r
PR0730-000,7,OSM-nr
PR0730-030,2,OSM-nr
PR0730-040,1,OSM-n
PR0730-290,1,OSM-r
PR0730-330,2,OSM-nr
PR0730-420,2,OSM-r
PR0740-000,4,OSM-n
PR0740-050,1,OSM-n
PR0810-000,2,OSM-r
PR0810-040,1,OSM-n
PR0810-070,1,OSM-r
PR0810-090,1,OSM-r
PR0810-120,1,OSM-r
PR0810-130,2,OSM-nr
PR0810-900,1,OSM-r
PR1010-001,1,OSM-r
PR1010-060,1,OSM-n
PR1020-010,1,OSM-r
PR1020-430,1,OSM-r
PR1030-030,2,OSM-nr
PR1030-330,1,OSM-n
PR1030-400,1,OSM-n
PR1030-410,1,OSM-n
PR1050-000,1,OSM-r
PR1050-080,1,OSM-n
PR1050-200,1,OSM-n
PR1050-380,1,OSM-n
PR1050-430,1,OSM-n
PR1050-450,1,OSM-r
PR1070-000,1,OSM-r
PR1070-900,2,OSM-rw
PR1110-070,2,OSM-r
PR1110-100,1,OSM-n
PR1130-005,1,OSM-n
PR1130-060,1,OSM-n
PR1130-070,1,OSM-n
PR1130-110,1,OSM-n
PR1130-290,1,OSM-n
PR1150-180,1,OSM-r
PR1200-100,4,OSM-r
PR1200-110,1,OSM-n
PR1200-200,4,OSM-n
PR1200-230,1,OSM-n
PR1200-240,1,OSM-n
PR1200-526,1,OSM-n
PR1210-040,1,OSM-r
PR1230-162,1,OSM-r
PR1230-174,1,OSM-n
PR1250-460,2,OSM-n
PR1270-010,1,OSM-n
PR1270-050,1,OSM-n
PR1270-330,1,OSM-r
PR1270-730,1,OSM-r
PR1280-270,1,OSM-n
PR1280-330,1,OSM-n
PR1280-350,1,OSM-r
PR1310-900,1,OSM-n
PR1320-000,1,OSM-r
PR1320-390,1,OSM-n
PR1330-170,1,OSM-r
PR1330-300,2,OSM-nr
PR1330-400,2,OSM-r
PR1330-430,1,OSM-r
PR1350-000,2,OSM-nr
PR1350-900,1,OSM-r
PR1450-110,2,OSM-nr
PR1450-360,1,OSM-r
PR1460-275,1,OSM-n
PR1490-030,4,OSM-r
PR1510-001,1,OSM-r
PR1510-040,1,OSM-r
PR1520-260,1,OSM-r
PR1530-000,5,OSM-nr
PR1530-001,1,OSM-n
PR1530-020,2,OSM-n
PR1530-100,2,OSM-r
PR1530-150,2,OSM-nr
PR1530-250,3,OSM-nr
PR1530-270,1,OSM-r
PR1530-310,2,OSM-nr
PR1530-434,2,OSM-nr
PR1531-900,1,OSM-n
PR1531-970,1,OSM-r
PR1531-980,1,OSM-r
PR1540-130,1,OSM-n
PR1540-150,1,OSM-r
PR1540-440,1,OSM-n
PR1550-220,1,OSM-r
