CRP,idx_confirm,idx_ref
PR5851-000,3,OSM-nr
PR5851-010,2,OSM-nr
PR5851-030,5,OSM-nr
PR5851-110,2,OSM-r
PR5851-150,2,OSM-nr
PR5851-170,1,OSM-r
PR5851-200,2,OSM-nr
PR5851-220,1,OSM-r
PR5851-230,1,OSM-n
PR5851-300,1,OSM-r
PR5851-310,1,OSM-r
PR5851-320,1,OSM-r
PR5853-000,5,OSM-nr
PR5853-130,1,OSM-n
PR5853-430,1,OSM-n
PR5856-375,1,OSM-n
PR5860-290,1,OSM-r
PR5860-460,1,OSM-n
PR5861-380,1,OSM-n
PR5863-720,1,OSM-r
PR5863-766,1,OSM-n
PR5864-000,2,OSM-nr
PR5865-050,1,OSM-r
PR5865-228,1,OSM-n
PR5866-000,1,OSM-r
PR5866-010,1,OSM-n
PR5867-633,1,OSM-r
PR5867-900,2,OSM-nr
PR5867-970,2,OSM-r
PR5869-150,1,OSM-r
PR5869-528,1,OSM-r
PR5870-901,1,OSM-r
