CRP,idx_confirm,idx_ref
PR6000-001,1,OSM-r
PR6010-000,1,OSM-r
PR6010-150,4,OSM-r
PR6010-160,6,OSM-nr
PR6010-180,7,OSM-nr
PR6010-190,1,OSM-r
PR6010-200,2,OSM-r
PR6010-400,2,OSM-nr
PR6010-410,2,OSM-r
PR6010-450,5,OSM-nr
PR6010-460,4,OSM-r
PR6010-470,1,OSM-r
PR6010-490,5,OSM-r
PR6010-510,2,OSM-nr
PR6010-610,1,OSM-r
PR6010-840,2,OSM-r
PR6010-905,3,OSM-nr
PR6010-916,1,OSM-r
PR6010-919,1,OSM-r
PR6010-927,1,OSM-r
PR6015-000,1,OSM-n
PR6015-010,1,OSM-n
PR6015-020,1,OSM-r
PR6015-430,1,OSM-r
PR6015-490,1,OSM-r
PR6015-800,1,OSM-n
PR6015-900,1,OSM-r
PR6020-000,2,OSM-r
PR6020-030,1,OSM-n
PR6020-040,2,OSM-r
PR6020-041,1,OSM-r
PR6020-050,2,OSM-r
PR6020-061,2,OSM-n
PR6020-080,8,OSM-nr
PR6020-100,4,OSM-r
PR6020-110,1,OSM-r
PR6020-111,1,OSM-r
PR6020-120,1,OSM-r
PR6020-150,2,OSM-r
PR6020-230,1,OSM-r
PR6020-360,2,OSM-r
PR6020-380,1,OSM-r
PR6020-381,1,OSM-n
PR6020-420,1,OSM-r
PR6020-440,1,OSM-r
PR6025-000,4,OSM-r
PR6025-080,1,OSM-r
PR6025-100,1,OSM-r
PR6025-720,1,OSM-r
PR6026-010,1,OSM-r
PR6026-110,1,OSM-r
PR6027-020,1,OSM-r
PR6027-040,1,OSM-r
PR6027-750,1,OSM-r
PR6030-030,4,OSM-r
PR6030-280,2,OSM-r
PR6030-532,1,OSM-w
PR6031-770,2,OSM-n
PR6036-370,1,OSM-r
PR6038-000,5,OSM-nr
PR6038-350,3,OSM-nr
PR6039-090,1,OSM-r
PR6039-160,1,OSM-r
PR6039-460,4,OSM-r
PR6041-271,2,OSM-r
PR6042-095,1,OSM-r
PR6044-734,2,OSM-r
PR6046-050,4,OSM-r
PR6046-610,1,OSM-r
PR6046-690,2,OSM-r
PR6047-040,1,OSM-n
PR6047-320,2,OSM-r
PR6047-360,5,OSM-r
PR6047-500,2,OSM-nr
PR6047-580,1,OSM-n
PR6047-610,6,OSM-r
PR6050-020,2,OSM-n
PR6050-270,3,OSM-n
PR6050-460,8,OSM-r
PR6055-240,1,OSM-r
PR6055-450,2,OSM-r
PR6055-630,4,OSM-r
PR6055-645,4,OSM-r
PR6055-670,2,OSM-w
PR6055-701,1,OSM-r
PR6055-742,1,OSM-r
PR6055-774,2,OSM-r
PR6057-042,1,OSM-r
PR6057-080,1,OSM-n
PR6057-970,1,OSM-r
PR6058-100,2,OSM-r
PR6058-108,1,OSM-w
PR6060-000,4,OSM-r
PR6060-020,1,OSM-n
PR6060-238,1,OSM-r
PR6065-420,1,OSM-n
PR6070-000,4,OSM-r
PR6070-520,1,OSM-r
PR6070-545,1,OSM-r
PR6071-000,2,OSM-r
PR6071-230,1,OSM-r
PR6071-260,2,OSM-r
PR6071-720,2,OSM-r
PR6071-790,4,OSM-r
PR6073-250,1,OSM-n
PR6078-020,1,OSM-r
PR6080-460,1,OSM-r
PR6080-520,1,OSM-r
PR6080-830,1,OSM-n
PR6082-000,4,OSM-r
PR6082-701,3,OSM-rw
PR6084-016,1,OSM-n
PR6085-256,1,OSM-n
PR6086-070,4,OSM-r
PR6087-555,1,OSM-r
PR6088-130,1,OSM-r
PR6106-000,1,OSM-n
