CRP,idx_confirm,idx_ref
PR7010-460,1,OSM-r
PR7013-060,4,OSM-r
PR7013-230,1,OSM-n
PR7013-260,1,OSM-r
PR7013-270,1,OSM-r
PR7014-110,1,OSM-r
PR7015-000,1,OSM-r
PR7015-180,1,OSM-r
PR7015-310,1,OSM-n
PR7015-320,1,OSM-n
PR7015-440,4,OSM-r
PR7020-010,1,OSM-n
PR7020-015,2,OSM-nr
PR7020-035,2,OSM-n
PR7020-160,1,OSM-n
PR7020-220,1,OSM-n
PR7020-900,1,OSM-r
PR7023-200,1,OSM-n
PR7023-480,1,OSM-r
PR7023-570,1,OSM-r
PR7025-210,1,OSM-n
PR7030-010,1,OSM-n
PR7030-070,1,OSM-r
PR7030-080,1,OSM-r
PR7030-260,1,OSM-r
PR7040-360,1,OSM-r
PR7045-000,1,OSM-r
PR7045-020,4,OSM-r
PR7050-130,4,OSM-r
PR7050-465,1,OSM-n
PR7050-900,1,OSM-n
PR7053-240,1,OSM-r
PR7060-000,2,OSM-r
PR7060-305,1,OSM-n
PR7065-240,1,OSM-r
PR7070-030,1,OSM-r
PR7070-130,1,OSM-r
PR7075-850,5,OSM-r
PR7075-851,1,OSM-r
PR7080-563,1,OSM-n
PR7080-590,1,OSM-r
