CRP,idx_confirm,idx_ref
PR4001-970,8,OSM-n
PR4010-010,1,OSM-n
PR4010-050,2,OSM-n
PR4010-240,1,OSM-n
PR4010-610,1,OSM-n
PR4015-050,1,OSM-n
PR4015-070,1,OSM-n
PR4015-140,1,OSM-n
PR4015-150,1,OSM-n
PR4015-810,1,OSM-n
PR4016-000,1,OSM-n
PR4016-210,1,OSM-r
PR4016-480,1,OSM-n
PR4016-590,1,OSM-n
PR4016-630,1,OSM-n
PR4020-010,1,OSM-n
PR4020-050,1,OSM-n
PR4020-240,1,OSM-n
PR4020-320,1,OSM-n
PR4020-360,1,OSM-n
PR4020-380,1,OSM-n
PR4020-520,1,OSM-r
PR4020-770,1,OSM-r
PR4025-000,4,OSM-n
PR4025-490,1,OSM-n
PR4026-360,1,OSM-n
PR4026-400,2,OSM-r
PR4030-000,1,OSM-n
PR4030-040,1,OSM-n
PR4030-060,1,OSM-n
PR4030-430,1,OSM-n
PR4030-510,1,OSM-n
PR4031-120,2,OSM-n
PR4031-150,1,OSM-n
PR4031-510,1,OSM-n
PR4032-000,1,OSM-n
PR4032-320,1,OSM-n
PR4033-000,1,OSM-n
PR4035-060,1,OSM-n
PR4035-300,2,OSM-nr
PR4035-490,1,OSM-n
PR4036-150,1,OSM-n
PR4040-160,1,OSM-n
PR4045-000,1,OSM-n
PR4045-340,1,OSM-n
PR4045-350,1,OSM-n
PR4045-540,2,OSM-n
PR4046-015,2,OSM-n
PR4046-130,1,OSM-n
PR4046-290,1,OSM-n
PR4050-000,2,OSM-n
PR4050-540,1,OSM-n
PR4050-550,1,OSM-n
PR4051-000,1,OSM-n
PR4051-090,1,OSM-n
PR4051-260,1,OSM-n
PR4051-370,1,OSM-n
PR4051-530,1,OSM-n
PR4052-440,1,OSM-n
PR4053-000,1,OSM-r
PR4053-320,1,OSM-n
PR4060-020,1,OSM-n
PR4061-000,1,OSM-n
PR4061-370,2,OSM-n
PR4062-040,1,OSM-n
PR4062-170,1,OSM-n
PR4062-400,1,OSM-n
PR4063-080,1,OSM-n
PR4063-310,1,OSM-n
PR4064-030,2,OSM-n
PR4064-530,1,OSM-n
PR4070-040,1,OSM-n
PR4070-220,1,OSM-n
PR4070-270,1,OSM-n
PR4070-430,1,OSM-n
PR4070-490,1,OSM-n
PR4071-120,1,OSM-n
PR4071-220,2,OSM-n
PR4072-090,1,OSM-n
PR4072-160,1,OSM-n
PR4073-110,1,OSM-n
