CRP,idx_confirm,idx_ref
PR0020-000,1,OSM-r
PR0045-125,1,OSM-n
PR3005-000,8,OSM-nr
PR3005-010,3,OSM-nr
PR3005-030,1,OSM-n
PR3005-090,1,OSM-n
PR3005-160,1,OSM-n
PR3005-180,1,OSM-r
PR3005-280,1,OSM-r
PR3005-340,5,OSM-nr
PR3005-350,1,OSM-n
PR3005-360,1,OSM-n
PR3005-420,4,OSM-n
PR3005-430,1,OSM-n
PR3005-450,1,OSM-n
PR3010-420,1,OSM-r
PR3010-620,1,OSM-r
PR3015-140,2,OSM-nr
PR3015-210,1,OSM-n
PR3015-270,1,OSM-r
PR3015-290,1,OSM-n
PR3015-716,1,OSM-r
PR3020-000,5,OSM-nr
PR3020-200,1,OSM-n
PR3020-250,2,OSM-n
PR3020-260,4,OSM-nrw
PR3030-640,2,OSM-r
PR3035-460,1,OSM-r
PR3040-200,1,OSM-n
PR3040-210,7,OSM-nr
PR3040-550,1,OSM-r
PR3045-060,1,OSM-r
PR3045-170,1,OSM-r
PR3045-210,2,OSM-n
PR3045-290,1,OSM-r
PR3045-470,1,OSM-r
PR3045-670,1,OSM-r
PR3055-320,1,OSM-n
PR3060-460,1,OSM-r
PR3065-260,1,OSM-r
PR3075-180,1,OSM-n
PR3085-290,1,OSM-r
PR3085-460,1,OSM-r
PR3331-330,2,OSM-nr
