CRP,idx_confirm,idx_ref
PR6875-023,1,OSM-r
PR7500-000,4,OSM-r
PR7501-000,4,OSM-r
PR7501-020,1,OSM-r
PR7501-030,5,OSM-nr
PR7501-130,2,OSM-r
PR7501-170,5,OSM-nr
PR7501-180,2,OSM-rw
PR7501-230,1,OSM-n
PR7501-240,1,OSM-r
PR7501-255,1,OSM-r
PR7501-310,3,OSM-nr
PR7501-330,2,OSM-r
PR7501-360,1,OSM-r
PR7501-378,4,OSM-r
PR7501-560,1,OSM-r
PR7502-000,1,OSM-r
PR7502-010,1,OSM-r
PR7502-050,1,OSM-n
PR7502-080,3,OSM-nr
PR7502-160,1,OSM-r
PR7502-200,1,OSM-r
PR7502-240,4,OSM-r
PR7502-250,1,OSM-r
PR7503-200,1,OSM-r
PR7503-370,1,OSM-n
PR7503-420,1,OSM-r
PR7503-650,1,OSM-r
PR7503-690,2,OSM-nr
PR7504-040,2,OSM-r
PR7504-190,1,OSM-r
PR7504-280,1,OSM-r
PR7504-385,1,OSM-r
PR7505-000,1,OSM-r
PR7505-090,4,OSM-r
PR7506-000,2,OSM-rw
PR7506-020,1,OSM-w
PR7506-110,1,OSM-r
PR7506-120,2,OSM-r
PR7506-122,7,OSM-nr
PR7506-230,1,OSM-r
PR7506-370,1,OSM-r
PR7507-000,2,OSM-nr
PR7507-013,1,OSM-r
PR7507-050,1,OSM-n
