CRP,idx_confirm,idx_ref
RJ5010-009,2,OSM-nr
RJ5010-010,1,OSM-r
RJ5010-060,1,OSM-n
RJ5015-101,1,OSM-n
RJ5020-010,1,OSM-n
RJ5035-000,2,OSM-r
RJ5035-755,2,OSM-r
RJ5036-485,2,OSM-r
RJ5040-610,1,OSM-r
RJ5050-110,1,OSM-n
RJ5050-580,2,OSM-n
RJ5050-630,1,OSM-r
RJ5051-230,1,OSM-r
RJ5056-250,1,OSM-n
RJ5065-100,1,OSM-r
RJ5065-175,1,OSM-n
RJ5065-240,1,OSM-n
RJ5070-050,1,OSM-n
RJ5071-182,1,OSM-n
RJ5075-030,1,OSM-n
RJ5080-700,1,OSM-n
RJ5213-005,2,OSM-nr
RJ5245-020,1,OSM-n
RJ5245-240,2,OSM-nr
RJ5253-550,1,OSM-r
RJ5253-610,1,OSM-n
RJ5265-008,1,OSM-r
RJ5270-000,1,OSM-r
RJ5270-320,1,OSM-r
