CRP,idx_confirm,idx_ref
RJ7910-060,2,OSM-n
RJ7910-190,4,OSM-n
RJ7910-200,2,OSM-n
RJ7910-210,5,OSM-n
RJ7910-230,4,OSM-n
RJ7910-290,2,OSM-n
RJ7910-310,4,OSM-n
RJ7910-340,4,OSM-n
RJ7910-360,4,OSM-n
RJ7913-110,1,OSM-n
RJ7913-160,1,OSM-n
RJ7913-190,2,OSM-n
RJ7913-300,2,OSM-n
RJ7913-360,1,OSM-n
RJ7915-010,1,OSM-n
RJ7915-040,2,OSM-n
RJ7916-020,1,OSM-n
RJ7916-100,1,OSM-n
RJ7916-130,2,OSM-n
RJ7916-212,1,OSM-n
RJ7920-230,5,OSM-n
RJ7920-240,2,OSM-n
RJ7920-250,4,OSM-n
RJ7920-390,1,OSM-n
RJ7925-290,3,OSM-nr
RJ7930-045,2,OSM-nr
RJ7930-070,6,OSM-nr
RJ7930-090,1,OSM-n
RJ7930-120,1,OSM-n
RJ7930-480,1,OSM-r
RJ7931-042,1,OSM-r
RJ7933-160,2,OSM-r
RJ7933-420,1,OSM-n
RJ7935-310,1,OSM-r
RJ7936-100,1,OSM-r
RJ7936-480,1,OSM-r
RJ7937-010,2,OSM-r
RJ7937-020,1,OSM-n
RJ7937-221,1,OSM-n
RJ7937-290,1,OSM-r
RJ7940-290,4,OSM-n
RJ7940-420,1,OSM-n
RJ7944-741,1,OSM-w
RJ7947-285,4,OSM-n
RJ7963-520,1,OSM-n
RJ7963-840,1,OSM-r
