CRP,idx_confirm,idx_ref
RJ4020-000,1,OSM-r
RJ4020-042,1,OSM-r
RJ4020-084,5,OSM-nw
RJ4020-085,3,OSM-nw
RJ4020-086,3,OSM-nw
RJ4020-087,3,OSM-nw
RJ4020-091,3,OSM-nr
RJ4020-112,1,OSM-r
RJ4020-206,1,OSM-n
RJ4020-320,1,OSM-r
RJ4030-060,1,OSM-r
RJ4030-106,3,OSM-nw
RJ4030-107,2,OSM-n
RJ4030-127,2,OSM-n
RJ4030-128,3,OSM-nw
RJ4030-130,1,OSM-n
RJ4030-210,1,OSM-r
RJ4030-211,1,OSM-r
RJ4030-215,2,OSM-r
RJ4030-220,1,OSM-r
RJ4030-230,1,OSM-r
RJ4033-900,1,OSM-r
RJ4060-008,1,OSM-r
RJ4060-037,4,OSM-r
RJ4100-070,1,OSM-w
RJ4110-000,1,OSM-n
RJ4110-002,1,OSM-n
RJ4110-075,1,OSM-r
RJ4110-116,2,OSM-r
RJ4110-160,2,OSM-r
RJ4110-206,1,OSM-r
RJ4110-230,4,OSM-r
RJ4110-250,1,OSM-r
RJ4110-256,4,OSM-r
RJ4110-260,3,OSM-nr
RJ4110-310,2,OSM-nr
RJ4110-340,1,OSM-n
RJ4110-350,1,OSM-n
RJ4110-540,1,OSM-n
RJ4110-650,1,OSM-r
RJ4110-680,1,OSM-r
RJ4110-690,1,OSM-r
RJ4111-650,1,OSM-r
RJ4120-191,2,OSM-nr
RJ4120-210,1,OSM-r
RJ4120-250,1,OSM-r
RJ4130-005,1,OSM-r
RJ4130-470,4,OSM-nrw
RJ4130-610,1,OSM-r
RJ4130-616,2,OSM-nr
RJ4130-678,6,OSM-nr
RJ4140-150,2,OSM-nr
RJ4141-330,2,OSM-nr
RJ4210-110,2,OSM-r
RJ4210-150,1,OSM-r
RJ4210-240,1,OSM-r
RJ4210-271,1,OSM-n
RJ4210-325,1,OSM-r
RJ4210-346,2,OSM-r
RJ4210-360,1,OSM-r
RJ4210-390,1,OSM-r
RJ4210-470,3,OSM-nr
RJ4220-008,2,OSM-r
RJ4220-031,5,OSM-n
RJ4220-041,1,OSM-r
RJ4220-045,5,OSM-n
RJ4220-090,2,OSM-n
RJ4220-091,1,OSM-n
RJ4220-120,1,OSM-r
RJ4220-121,1,OSM-n
RJ4220-260,2,OSM-n
RJ4220-261,5,OSM-nr
RJ4220-300,3,OSM-nr
RJ4220-301,4,OSM-r
RJ4220-330,1,OSM-n
RJ4220-331,1,OSM-n
RJ4220-400,1,OSM-r
RJ4220-401,1,OSM-r
RJ4220-480,1,OSM-r
RJ4230-000,3,OSM-nr
RJ4230-052,2,OSM-nr
RJ4230-090,1,OSM-n
RJ4230-091,2,OSM-n
RJ4230-101,2,OSM-n
RJ4230-150,1,OSM-r
RJ4230-153,1,OSM-r
RJ4230-161,1,OSM-r
RJ4230-190,2,OSM-nr
RJ4230-251,3,OSM-nr
RJ4230-390,1,OSM-r
RJ4230-540,2,OSM-nw
RJ4240-000,2,OSM-r
RJ4240-030,4,OSM-r
RJ4240-181,1,OSM-r
RJ4240-225,1,OSM-r
RJ4241-000,1,OSM-r
RJ4241-140,1,OSM-r
RJ4315-000,2,OSM-n
RJ4315-190,1,OSM-r
RJ4315-340,1,OSM-n
RJ4315-370,1,OSM-r
RJ4320-280,1,OSM-n
RJ4320-570,1,OSM-r
RJ4324-270,1,OSM-n
RJ4340-090,1,OSM-n
RJ4340-160,1,OSM-n
RJ4346-030,1,OSM-n
RJ4346-040,1,OSM-n
RJ4350-065,1,OSM-n
RJ4350-080,1,OSM-r
RJ4350-210,2,OSM-r
RJ4350-401,1,OSM-n
RJ4358-000,1,OSM-r
RJ4360-022,1,OSM-r
RJ4360-060,1,OSM-n
RJ4360-100,1,OSM-n
RJ4360-970,1,OSM-n
RJ4370-195,1,OSM-r
RJ4410-000,1,OSM-r
RJ4425-500,1,OSM-r
RJ4753-500,1,OSM-n
RJ4756-660,2,OSM-nr
