CRP,idx_confirm,idx_ref
RJ8600-000,3,OSM-r
RJ8605-220,2,OSM-nr
RJ8605-310,1,OSM-n
RJ8610-010,1,OSM-r
RJ8610-050,2,OSM-nr
RJ8610-140,1,OSM-r
RJ8610-160,5,OSM-nr
RJ8610-175,1,OSM-r
RJ8610-180,1,OSM-n
RJ8610-190,1,OSM-n
RJ8610-230,1,OSM-n
RJ8610-971,1,OSM-r
RJ8613-000,2,OSM-nr
RJ8613-001,1,OSM-r
RJ8613-210,2,OSM-n
RJ8616-130,1,OSM-n
RJ8616-142,1,OSM-n
RJ8620-050,2,OSM-r
RJ8625-010,1,OSM-r
RJ8625-490,5,OSM-nr
RJ8625-500,1,OSM-r
RJ8625-530,2,OSM-r
RJ8625-535,1,OSM-r
RJ8625-630,7,OSM-nr
RJ8630-000,1,OSM-r
RJ8630-085,1,OSM-n
RJ8630-310,1,OSM-n
RJ8633-010,1,OSM-r
RJ8633-540,2,OSM-nr
RJ8635-000,1,OSM-r
RJ8635-450,1,OSM-r
RJ8635-460,7,OSM-nr
RJ8635-470,1,OSM-r
RJ8635-495,1,OSM-r
