CRP,idx_confirm,idx_ref
RJ6020-740,1,OSM-r
RJ6022-202,1,OSM-r
RJ6022-281,1,OSM-r
RJ6030-380,1,OSM-r
RJ6064-060,1,OSM-r
RJ6210-000,2,OSM-nr
RJ6210-060,1,OSM-r
RJ6210-190,1,OSM-r
RJ6210-302,1,OSM-r
RJ6216-130,1,OSM-w
RJ6250-010,1,OSM-n
RJ6260-045,2,OSM-r
RJ6260-050,3,OSM-nrw
RJ6275-580,1,OSM-r
RJ6277-160,1,OSM-w
RJ6278-615,1,OSM-n
RJ6280-000,1,OSM-r
RJ6280-480,1,OSM-n
RJ6285-060,1,OSM-r
RJ6285-320,2,OSM-r
RJ6290-819,1,OSM-n
RJ6291-389,1,OSM-r
RJ6292-471,5,OSM-nw
RJ6292-723,2,OSM-n
RJ6293-387,1,OSM-n
RJ6293-420,1,OSM-n
RJ6293-423,5,OSM-nr
RJ6395-000,1,OSM-n
