CRP,idx_confirm,idx_ref
SP5700-074,1,OSM-r
RJ0010-000,4,OSM-r
RJ0010-010,6,OSM-nr
RJ0010-020,8,OSM-nr
RJ0010-090,4,OSM-r
RJ0010-150,1,OSM-r
RJ0010-170,1,OSM-n
RJ0011-030,1,OSM-n
RJ0011-040,1,OSM-n
RJ0012-150,4,OSM-r
RJ0020-000,2,OSM-nr
RJ0020-010,5,OSM-nr
RJ0020-080,9,OSM-nr
RJ0020-906,1,OSM-n
RJ0021-000,1,OSM-r
RJ0021-020,2,OSM-r
RJ0021-040,1,OSM-r
RJ0021-120,1,OSM-n
RJ0021-130,1,OSM-r
RJ0021-140,4,OSM-r
RJ0021-170,2,OSM-n
RJ0021-180,3,OSM-nr
RJ0021-200,2,OSM-nr
RJ0021-290,1,OSM-n
RJ0021-330,1,OSM-r
RJ0021-340,2,OSM-r
RJ0021-370,1,OSM-r
RJ0030-020,1,OSM-r
RJ0030-021,1,OSM-n
RJ0030-040,1,OSM-r
RJ0031-004,1,OSM-n
RJ0031-005,1,OSM-n
RJ0031-010,1,OSM-n
RJ0031-040,1,OSM-n
RJ0031-044,1,OSM-n
RJ0031-050,2,OSM-r
RJ0031-130,1,OSM-r
RJ0031-142,1,OSM-n
RJ0031-144,1,OSM-n
RJ0031-170,5,OSM-nr
RJ0031-917,1,OSM-r
RJ0031-921,2,OSM-n
RJ0040-000,4,OSM-n
RJ0040-001,1,OSM-r
RJ0040-006,1,OSM-n
RJ0040-008,2,OSM-r
RJ0040-009,1,OSM-r
RJ0040-030,7,OSM-nr
RJ0040-040,5,OSM-n
RJ0040-917,1,OSM-r
RJ0041-002,1,OSM-n
RJ0043-900,3,OSM-nr
RJ0050-005,2,OSM-n
RJ0050-006,2,OSM-n
RJ0050-009,1,OSM-r
RJ0050-020,1,OSM-r
RJ0050-030,5,OSM-n
RJ0050-072,1,OSM-r
RJ0050-092,1,OSM-n
RJ0051-020,1,OSM-r
RJ0051-040,7,OSM-nr
RJ0051-050,1,OSM-r
RJ0051-070,1,OSM-r
RJ0060-000,1,OSM-n
RJ0060-010,5,OSM-n
RJ0060-040,1,OSM-n
RJ0060-050,1,OSM-r
RJ0060-060,4,OSM-r
RJ0060-070,2,OSM-nr
RJ0061-003,2,OSM-r
RJ0061-021,2,OSM-nr
RJ0070-000,1,OSM-r
RJ0070-030,1,OSM-n
RJ0071-001,4,OSM-r
RJ0071-004,1,OSM-r
RJ0080-002,1,OSM-n
RJ0081-010,2,OSM-n
RJ0081-250,2,OSM-r
RJ0081-262,1,OSM-r
RJ0081-311,1,OSM-r
RJ0081-312,5,OSM-nr
RJ0090-000,1,OSM-n
RJ0090-004,1,OSM-n
RJ0090-020,1,OSM-n
RJ0090-030,1,OSM-r
RJ0090-080,1,OSM-n
RJ0091-901,1,OSM-r
RJ0210-030,1,OSM-r
RJ0211-005,4,OSM-n
RJ0211-010,6,OSM-nr
RJ0211-015,1,OSM-n
RJ0211-030,9,OSM-nrw
RJ0211-040,1,OSM-n
RJ0211-110,2,OSM-nr
RJ0211-140,1,OSM-r
RJ0211-340,3,OSM-nr
RJ0211-350,6,OSM-nr
RJ0211-351,5,OSM-nr
RJ0216-005,1,OSM-r
RJ0220-310,1,OSM-r
RJ0220-360,1,OSM-r
RJ0221-250,1,OSM-n
RJ0221-901,1,OSM-r
RJ0230-010,5,OSM-nr
RJ0230-011,7,OSM-nr
RJ0230-012,2,OSM-n
RJ0230-013,4,OSM-n
RJ0230-014,2,OSM-nr
RJ0230-015,4,OSM-n
