CRP,idx_confirm,idx_ref
RJ4110-230,2,OSM-r
RJ4110-690,1,OSM-r
RJ4130-678,1,OSM-n
RJ4410-240,1,OSM-r
RJ4410-350,1,OSM-r
RJ4410-485,1,OSM-n
RJ4410-535,4,OSM-n
RJ4412-000,1,OSM-r
RJ4412-310,1,OSM-n
RJ4416-010,1,OSM-n
RJ4420-006,1,OSM-r
RJ4421-300,1,OSM-r
RJ4425-005,1,OSM-r
RJ4426-270,1,OSM-r
RJ4426-470,4,OSM-r
RJ4430-000,4,OSM-r
RJ4431-005,1,OSM-r
RJ4431-150,1,OSM-r
RJ4431-366,1,OSM-r
RJ4435-000,2,OSM-r
RJ4435-001,6,OSM-nr
RJ4435-135,2,OSM-nw
RJ4435-260,1,OSM-r
RJ4435-410,3,OSM-nr
RJ4435-500,1,OSM-r
RJ4435-660,1,OSM-r
RJ4436-310,1,OSM-r
RJ4436-750,1,OSM-n
RJ4436-800,1,OSM-r
RJ4440-400,1,OSM-n
RJ4440-440,1,OSM-n
RJ4445-000,5,OSM-nr
RJ4445-360,1,OSM-r
RJ4445-686,1,OSM-r
RJ4451-540,1,OSM-n
RJ4451-715,1,OSM-r
RJ4452-001,3,OSM-nr
RJ4452-005,1,OSM-r
RJ4452-150,1,OSM-r
RJ4456-000,1,OSM-n
RJ4456-422,1,OSM-r
RJ4457-010,1,OSM-r
RJ4465-355,1,OSM-r
RJ4465-531,1,OSM-r
RJ4466-140,1,OSM-r
RJ4466-220,1,OSM-r
RJ4466-315,2,OSM-r
RJ4475-000,1,OSM-r
RJ4710-480,1,OSM-r
RJ4710-635,1,OSM-r
RJ4722-590,1,OSM-r
RJ4732-480,1,OSM-r
RJ4744-520,1,OSM-n
RJ4744-680,1,OSM-r
RJ4752-091,2,OSM-n
RJ4753-660,1,OSM-n
RJ4754-090,2,OSM-nr
RJ4756-660,1,OSM-n
