CRP,idx_confirm,idx_ref
RN010-700,1,OSM-r
RN010-775,2,OSM-nr
RN012-200,1,OSM-r
RN012-300,1,OSM-n
RN012-310,1,OSM-n
RN012-330,4,OSM-n
RN014-020,2,OSM-nr
RN014-165,1,OSM-r
RN014-540,2,OSM-nr
RN014-615,1,OSM-r
RN015-000,1,OSM-r
RN015-001,1,OSM-r
RN015-145,1,OSM-r
RN015-300,1,OSM-r
RN020-035,1,OSM-n
RN020-065,1,OSM-n
RN020-090,1,OSM-r
RN020-110,1,OSM-n
RN020-120,2,OSM-r
RN020-130,2,OSM-nr
RN020-150,2,OSM-r
RN020-160,1,OSM-n
RN020-200,1,OSM-n
RN020-265,1,OSM-r
RN020-380,1,OSM-r
RN020-400,1,OSM-r
RN020-600,1,OSM-r
RN022-390,1,OSM-n
RN022-640,1,OSM-n
RN025-003,1,OSM-r
RN025-030,1,OSM-n
RN025-270,1,OSM-r
RN025-300,1,OSM-r
RN025-600,1,OSM-r
RN030-350,1,OSM-n
RN031-150,2,OSM-nr
RN031-500,1,OSM-n
RN032-060,1,OSM-r
RN032-201,1,OSM-r
RN032-380,2,OSM-r
RN032-410,1,OSM-r
RN032-550,6,OSM-r
RN035-000,1,OSM-r
RN035-027,1,OSM-n
RN035-070,1,OSM-r
RN037-170,1,OSM-r
RN037-190,1,OSM-r
RN040-000,4,OSM-n
RN040-150,1,OSM-n
RN040-200,1,OSM-n
RN052-065,1,OSM-r
RN052-200,1,OSM-r
RN052-700,4,OSM-r
RN054-590,2,OSM-nr
RN054-600,1,OSM-n
RN054-630,1,OSM-r
RN054-680,2,OSM-r
RN056-000,1,OSM-r
RN056-180,1,OSM-r
RN056-700,1,OSM-r
RN060-160,1,OSM-r
RN060-400,2,OSM-r
RN060-460,1,OSM-n
RN062-600,1,OSM-r
RN063-160,1,OSM-r
RN063-400,2,OSM-nr
RN064-100,5,OSM-nr
RN064-250,2,OSM-n
RN064-440,2,OSM-n
RN064-460,1,OSM-n
RN064-625,1,OSM-r
RN064-900,1,OSM-r
RN065-180,1,OSM-n
RN066-180,4,OSM-r
RN066-230,1,OSM-r
RN066-360,1,OSM-n
RN066-370,1,OSM-r
RN067-280,2,OSM-r
RN067-290,4,OSM-r
RN067-320,2,OSM-r
RN067-410,1,OSM-r
RN067-420,1,OSM-r
RN067-480,2,OSM-nr
RN067-500,6,OSM-n
RN067-510,7,OSM-n
RN067-520,7,OSM-n
RN067-530,7,OSM-n
RN067-540,7,OSM-n
RN067-550,7,OSM-n
RN067-560,9,OSM-nw
RN067-570,8,OSM-n
RN067-580,8,OSM-n
RN067-600,1,OSM-r
RN067-640,1,OSM-r
RN067-720,1,OSM-n
RN068-010,4,OSM-r
RN068-020,3,OSM-nr
RN068-030,1,OSM-r
RN068-040,4,OSM-r
RN068-170,1,OSM-n
RN068-410,2,OSM-nr
RN068-820,1,OSM-r
RN070-030,1,OSM-r
RN070-100,1,OSM-r
RN070-200,1,OSM-n
RN071-110,1,OSM-n
RN071-160,1,OSM-n
RN074-350,1,OSM-r
RN075-000,1,OSM-r
RN075-050,1,OSM-r
RN075-210,2,OSM-r
RN075-380,1,OSM-r
RN075-450,1,OSM-r
RN076-400,1,OSM-r
RN078-500,1,OSM-n
RN080-101,1,OSM-r
RN080-230,1,OSM-r
RN080-560,1,OSM-r
RN082-080,1,OSM-r
RN082-110,1,OSM-n
RN082-180,1,OSM-r
RN082-290,1,OSM-n
RN082-430,1,OSM-r
RN084-200,1,OSM-r
RN084-330,1,OSM-n
RN086-005,1,OSM-n
RN086-200,1,OSM-r
RN086-647,1,OSM-r
RN088-750,1,OSM-r
RN090-040,2,OSM-r
RN090-080,2,OSM-r
RN090-170,1,OSM-n
RN090-190,2,OSM-nr
RN092-220,1,OSM-n
RN092-440,1,OSM-n
RN108-500,1,OSM-n
RN110-390,1,OSM-n
RN112-490,1,OSM-r
RN114-275,1,OSM-n
RN115-000,1,OSM-n
RN120-430,1,OSM-w
RN122-200,2,OSM-nr
RN122-475,1,OSM-w
RN133-560,1,OSM-r
RN135-500,2,OSM-n
RN136-245,1,OSM-r
