CRP,idx_confirm,idx_ref
RS4801-970,5,OSM-nr
RS4810-000,11,OSM-nr
RS4810-001,10,OSM-nr
RS4810-002,8,OSM-nr
RS4810-041,1,OSM-r
RS4810-050,1,OSM-r
RS4810-060,1,OSM-r
RS4810-090,1,OSM-r
RS4810-110,1,OSM-r
RS4810-240,1,OSM-r
RS4810-380,1,OSM-r
RS4810-390,2,OSM-r
RS4810-450,2,OSM-r
RS4810-470,2,OSM-r
RS4810-570,1,OSM-n
RS4810-740,1,OSM-r
RS4814-000,2,OSM-r
RS4814-060,1,OSM-n
RS4814-100,4,OSM-r
RS4814-110,8,OSM-rw
RS4814-120,2,OSM-r
RS4814-160,12,OSM-rw
RS4814-270,2,OSM-r
RS4814-290,1,OSM-r
RS4814-334,1,OSM-r
RS4814-400,9,OSM-nrw
RS4814-460,4,OSM-r
RS4814-510,1,OSM-r
RS4814-530,2,OSM-r
RS4814-600,7,OSM-nrw
RS4814-650,1,OSM-r
RS4818-000,1,OSM-r
RS4818-190,1,OSM-r
RS4818-200,2,OSM-r
RS4818-310,1,OSM-r
RS4818-410,1,OSM-r
RS4820-000,1,OSM-r
RS4820-050,1,OSM-r
RS4820-090,6,OSM-nr
RS4820-340,1,OSM-r
RS4820-400,1,OSM-n
RS4820-410,1,OSM-r
RS4820-480,2,OSM-r
RS4824-000,1,OSM-r
RS4824-150,1,OSM-r
RS4824-700,1,OSM-r
RS4828-060,1,OSM-r
RS4828-120,1,OSM-r
RS4828-321,1,OSM-r
RS4828-390,4,OSM-r
RS4834-660,2,OSM-r
RS4834-670,1,OSM-r
RS4836-000,4,OSM-r
RS4836-260,2,OSM-r
RS4838-370,1,OSM-r
RS4838-440,1,OSM-r
RS4838-470,1,OSM-r
RS4838-540,1,OSM-r
RS4838-600,1,OSM-r
RS4838-610,1,OSM-n
RS4838-630,1,OSM-r
RS4850-000,3,OSM-nr
RS4850-030,1,OSM-r
RS4852-190,1,OSM-r
RS4853-160,1,OSM-r
RS4853-250,2,OSM-r
RS4853-280,1,OSM-r
RS4853-320,1,OSM-r
RS4853-740,1,OSM-r
RS4855-710,1,OSM-r
RS4856-020,1,OSM-r
RS4858-000,9,OSM-nr
RS4858-342,2,OSM-r
RS4859-244,2,OSM-r
RS4859-420,7,OSM-nr
RS4859-440,3,OSM-nr
RS8824-300,1,OSM-r
