CRP,idx_confirm,idx_ref
RS2010-000,7,OSM-nr
RS2010-011,5,OSM-nr
RS2010-013,1,OSM-n
RS2010-110,1,OSM-n
RS2010-160,1,OSM-r
RS2010-200,1,OSM-r
RS2010-240,5,OSM-nr
RS2010-250,1,OSM-r
RS2010-260,2,OSM-n
RS2010-280,1,OSM-n
RS2010-290,4,OSM-n
RS2010-300,5,OSM-nr
RS2010-970,1,OSM-n
RS2010-975,1,OSM-n
RS2020-000,1,OSM-r
RS2020-001,5,OSM-nr
RS2020-020,2,OSM-r
RS2020-270,1,OSM-n
RS2020-300,1,OSM-r
RS2020-303,4,OSM-r
RS2020-320,2,OSM-nr
RS2020-475,1,OSM-r
RS2020-510,1,OSM-r
RS2020-970,1,OSM-n
RS2025-370,1,OSM-n
RS2025-410,1,OSM-n
RS2025-600,1,OSM-n
RS2025-765,1,OSM-n
RS2025-840,2,OSM-r
RS2030-000,1,OSM-n
RS2030-360,2,OSM-nr
RS2030-440,1,OSM-r
RS2032-440,1,OSM-r
RS2032-970,1,OSM-n
RS2110-000,3,OSM-nr
RS2110-001,4,OSM-r
RS2110-330,6,OSM-nr
RS2110-450,1,OSM-n
RS2120-000,1,OSM-n
RS2120-001,1,OSM-n
RS2120-030,6,OSM-nr
RS2120-090,1,OSM-n
RS2130-350,1,OSM-n
RS2130-360,1,OSM-r
RS2200-300,1,OSM-r
RS2200-550,1,OSM-n
RS2200-630,4,OSM-n
RS2200-970,1,OSM-n
RS2310-010,3,OSM-nr
RS2310-060,1,OSM-n
RS2310-070,1,OSM-n
RS2310-100,6,OSM-nr
RS2310-114,8,OSM-nr
RS2310-120,2,OSM-r
RS2310-200,7,OSM-nr
RS2310-205,3,OSM-nr
RS2310-240,1,OSM-n
RS2310-300,1,OSM-r
RS2310-430,7,OSM-nr
RS2310-530,1,OSM-r
RS2310-900,1,OSM-r
RS2320-000,1,OSM-n
RS2320-060,1,OSM-r
RS2320-160,2,OSM-r
RS2320-177,2,OSM-r
RS2320-700,1,OSM-n
RS2323-890,1,OSM-r
RS2340-180,4,OSM-r
RS2410-000,1,OSM-n
RS2410-310,1,OSM-r
RS2410-350,1,OSM-n
RS2412-240,3,OSM-nr
RS2412-520,1,OSM-r
RS2420-000,1,OSM-n
RS2420-030,1,OSM-n
RS2420-221,1,OSM-r
RS2425-240,1,OSM-r
