CRP,idx_confirm,idx_ref
RS8005-020,1,OSM-n
RS8005-030,1,OSM-n
RS8005-145,1,OSM-n
RS8005-150,9,OSM-r
RS8005-160,2,OSM-nr
RS8005-200,2,OSM-nr
RS8005-246,1,OSM-n
RS8005-970,1,OSM-n
RS8010-360,1,OSM-n
RS8010-750,2,OSM-nr
RS8015-370,1,OSM-n
RS8020-470,4,OSM-r
RS8025-460,1,OSM-r
RS8025-710,1,OSM-r
RS8025-790,1,OSM-r
RS8030-440,2,OSM-nr
RS8030-450,1,OSM-r
RS8035-020,1,OSM-n
RS8035-038,1,OSM-r
RS8035-060,1,OSM-r
RS8040-070,1,OSM-r
RS8045-220,1,OSM-r
RS8050-010,1,OSM-r
RS8050-090,1,OSM-r
RS8050-160,8,OSM-nr
RS8050-250,10,OSM-r
RS8050-260,7,OSM-r
RS8050-290,9,OSM-r
RS8050-310,2,OSM-r
RS8050-395,7,OSM-r
