CRP,idx_confirm,idx_ref
RS3301-970,1,OSM-n
RS3310-003,2,OSM-nr
RS3310-110,1,OSM-r
RS3310-220,1,OSM-n
RS3310-270,1,OSM-n
RS3320-001,2,OSM-r
RS3320-010,6,OSM-nr
RS3320-020,5,OSM-nr
RS3320-043,1,OSM-n
RS3330-010,1,OSM-r
RS3334-290,1,OSM-n
RS3334-340,1,OSM-r
RS3334-350,1,OSM-r
RS3334-365,2,OSM-r
RS3336-010,1,OSM-r
RS3336-240,1,OSM-n
RS3336-290,1,OSM-r
RS3340-240,2,OSM-nr
RS3351-000,1,OSM-r
RS3351-150,1,OSM-n
RS3410-040,1,OSM-r
RS3410-190,2,OSM-nr
RS3410-330,1,OSM-n
RS3410-340,2,OSM-r
RS3415-520,1,OSM-r
RS3415-640,1,OSM-r
RS3425-000,2,OSM-nr
RS3490-000,1,OSM-r
RS3490-180,4,OSM-w
RS3490-200,1,OSM-w
RS3490-220,1,OSM-w
RS3490-330,1,OSM-w
RS3490-720,1,OSM-r
RS3510-000,1,OSM-r
RS3510-060,1,OSM-r
RS3510-230,1,OSM-r
RS3510-250,1,OSM-n
RS3510-310,1,OSM-n
RS3510-320,1,OSM-r
RS3510-380,1,OSM-r
RS3511-970,1,OSM-n
RS3525-075,1,OSM-r
RS3525-360,1,OSM-n
RS3537-050,1,OSM-n
RS3540-290,1,OSM-r
RS3542-030,1,OSM-n
