CRP,idx_confirm,idx_ref
RS6010-000,1,OSM-r
RS6010-140,2,OSM-r
RS6010-150,4,OSM-r
RS6010-280,4,OSM-r
RS6010-300,7,OSM-nr
RS6010-310,1,OSM-r
RS6010-330,1,OSM-n
RS6010-340,1,OSM-r
RS6010-430,1,OSM-r
RS6010-440,2,OSM-r
RS6010-492,1,OSM-n
RS6010-500,1,OSM-r
RS6010-530,1,OSM-r
RS6010-610,4,OSM-r
RS6010-630,2,OSM-nr
RS6010-770,1,OSM-r
RS6015-000,2,OSM-r
RS6015-010,2,OSM-r
RS6015-140,2,OSM-nr
RS6015-145,1,OSM-n
RS6015-160,1,OSM-r
RS6015-170,1,OSM-r
RS6015-180,1,OSM-r
RS6015-290,1,OSM-r
RS6015-300,2,OSM-nr
RS6015-360,1,OSM-r
RS6015-420,1,OSM-n
RS6015-560,1,OSM-r
RS6020-000,2,OSM-nr
RS6020-010,1,OSM-r
RS6020-080,4,OSM-r
RS6020-220,4,OSM-r
RS6020-260,1,OSM-r
RS6020-360,1,OSM-r
RS6020-480,1,OSM-r
RS6020-700,1,OSM-r
RS6025-010,1,OSM-r
RS6025-220,1,OSM-r
RS6025-380,1,OSM-r
RS6030-000,1,OSM-r
RS6030-002,2,OSM-r
RS6030-003,1,OSM-r
RS6030-330,1,OSM-r
RS6030-720,1,OSM-r
RS6040-240,1,OSM-r
RS6040-290,1,OSM-r
RS6040-490,1,OSM-r
RS6040-500,1,OSM-r
RS6040-700,1,OSM-r
RS6045-020,1,OSM-r
RS6045-060,1,OSM-r
RS6045-080,1,OSM-r
RS6045-460,1,OSM-n
RS6045-480,1,OSM-r
RS6050-070,4,OSM-r
RS6050-080,1,OSM-r
RS6050-460,1,OSM-r
RS6050-480,1,OSM-r
RS6050-830,1,OSM-r
RS6055-080,1,OSM-r
RS6055-830,1,OSM-r
RS6060-140,1,OSM-r
RS6060-290,5,OSM-nr
RS6060-460,1,OSM-r
RS6065-000,4,OSM-r
RS6065-100,1,OSM-r
RS6065-240,1,OSM-r
RS6065-470,1,OSM-r
RS6065-620,2,OSM-nr
RS6065-710,1,OSM-r
RS6070-000,1,OSM-r
RS6070-005,1,OSM-n
RS6070-340,1,OSM-r
RS6070-400,1,OSM-r
RS6070-480,4,OSM-r
RS6070-560,1,OSM-r
RS6075-040,1,OSM-r
RS6075-060,1,OSM-r
RS6075-140,1,OSM-r
RS6075-178,1,OSM-r
RS6075-550,1,OSM-r
RS6075-650,2,OSM-r
RS6075-680,1,OSM-r
RS6077-080,1,OSM-r
RS6077-210,1,OSM-r
RS6077-686,1,OSM-r
RS6080-000,1,OSM-r
RS6080-150,1,OSM-r
RS6080-200,1,OSM-r
RS6080-690,1,OSM-r
RS6081-160,1,OSM-r
RS6085-000,3,OSM-nr
RS6085-010,1,OSM-r
RS6085-090,1,OSM-r
RS6085-200,2,OSM-r
RS6085-470,4,OSM-r
RS6085-510,1,OSM-r
RS6090-000,1,OSM-r
RS6090-580,1,OSM-r
RS6095-030,1,OSM-r
RS6115-970,1,OSM-r
RS6140-000,1,OSM-r
