CRP,idx_confirm,idx_ref
ZM9174-000,1,OSM-n
RS0001-970,1,OSM-r
RS0010-001,1,OSM-r
RS0010-040,1,OSM-r
RS0010-070,2,OSM-n
RS0010-080,1,OSM-r
RS0010-110,4,OSM-r
RS0010-120,1,OSM-r
RS0010-140,1,OSM-n
RS0010-150,4,OSM-r
RS0010-160,1,OSM-r
RS0010-170,1,OSM-r
RS0010-190,1,OSM-n
RS0010-191,7,OSM-nr
RS0010-220,1,OSM-n
RS0010-221,1,OSM-r
RS0010-230,1,OSM-r
RS0010-241,1,OSM-n
RS0010-250,1,OSM-n
RS0010-270,1,OSM-r
RS0010-272,2,OSM-nr
RS0010-273,5,OSM-nr
RS0010-280,2,OSM-r
RS0010-281,1,OSM-n
RS0010-282,3,OSM-nr
RS0010-283,2,OSM-r
RS0010-300,2,OSM-nr
RS0010-310,1,OSM-n
RS0010-312,5,OSM-nr
RS0010-320,3,OSM-nr
RS0010-330,2,OSM-r
RS0010-370,1,OSM-r
RS0010-390,4,OSM-r
RS0010-395,4,OSM-r
RS0010-420,4,OSM-r
RS0010-460,7,OSM-nr
RS0012-970,1,OSM-n
RS0013-900,1,OSM-r
RS0020-000,7,OSM-r
RS0020-001,1,OSM-r
RS0020-002,1,OSM-r
RS0020-003,3,OSM-nw
RS0020-005,7,OSM-nr
RS0020-007,10,OSM-nr
RS0020-008,5,OSM-nr
RS0020-015,7,OSM-nr
RS0020-020,1,OSM-r
RS0020-021,1,OSM-n
RS0020-024,1,OSM-n
RS0020-025,1,OSM-n
RS0020-060,1,OSM-n
RS0020-061,4,OSM-r
RS0020-070,2,OSM-nr
RS0020-080,1,OSM-r
RS0020-110,3,OSM-nr
RS0020-120,3,OSM-nr
RS0020-121,2,OSM-nr
RS0020-122,6,OSM-nr
RS0020-130,2,OSM-nr
RS0020-150,2,OSM-n
RS0020-171,1,OSM-r
RS0020-180,1,OSM-r
RS0020-971,1,OSM-n
RS0027-900,1,OSM-n
RS0030-001,4,OSM-r
RS0030-010,1,OSM-r
RS0030-030,1,OSM-r
RS0030-040,1,OSM-r
RS0030-041,2,OSM-n
RS0030-130,2,OSM-nr
RS0030-131,2,OSM-nr
RS0030-140,5,OSM-nr
RS0030-141,1,OSM-r
RS0030-142,7,OSM-nr
RS0035-001,3,OSM-nr
RS0035-030,1,OSM-r
RS0035-040,5,OSM-nr
RS0035-050,1,OSM-n
RS0035-051,2,OSM-nr
RS0035-052,4,OSM-r
RS0035-070,1,OSM-r
RS0035-072,4,OSM-n
RS0035-073,1,OSM-r
RS0035-075,1,OSM-r
RS0035-076,2,OSM-r
RS0035-077,1,OSM-r
RS0035-080,1,OSM-r
RS0035-090,2,OSM-nr
RS0035-110,1,OSM-r
RS0035-120,2,OSM-nr
RS0035-121,2,OSM-r
RS0035-140,1,OSM-n
RS0035-170,1,OSM-n
RS0035-190,3,OSM-nr
RS0035-191,7,OSM-nr
RS0035-903,1,OSM-r
RS0035-974,1,OSM-n
RS0040-000,9,OSM-nr
RS0040-001,2,OSM-r
RS0040-060,2,OSM-r
RS0040-100,2,OSM-n
RS0040-120,4,OSM-n
RS0040-130,6,OSM-nr
RS0040-150,1,OSM-r
RS0040-180,4,OSM-n
RS0040-190,4,OSM-n
RS0040-191,4,OSM-n
RS0040-192,1,OSM-n
RS0040-193,6,OSM-nr
RS0040-194,1,OSM-r
RS0040-290,1,OSM-r
RS0040-310,5,OSM-nr
RS0040-320,2,OSM-nr
RS0040-340,1,OSM-r
RS0040-370,1,OSM-n
RS0040-372,1,OSM-r
RS0040-373,1,OSM-r
RS0040-390,1,OSM-r
RS0050-000,4,OSM-n
RS0050-001,5,OSM-nr
RS0050-002,9,OSM-nr
RS0050-003,2,OSM-r
RS0050-004,1,OSM-n
RS0050-010,1,OSM-r
RS0050-030,1,OSM-r
RS0050-040,1,OSM-r
RS0050-080,1,OSM-r
RS0050-100,9,OSM-nr
RS0050-101,6,OSM-n
RS0050-102,5,OSM-n
RS0050-103,6,OSM-nr
RS0050-110,1,OSM-n
RS0050-161,3,OSM-nr
RS0050-170,5,OSM-nr
RS0050-190,1,OSM-r
RS0050-191,7,OSM-nr
RS0050-193,2,OSM-n
RS0050-200,1,OSM-r
RS0050-210,1,OSM-n
RS0050-230,8,OSM-nr
RS0050-310,3,OSM-nr
RS0050-320,5,OSM-nr
RS0050-321,6,OSM-nr
RS0050-340,5,OSM-nr
RS0050-360,1,OSM-r
RS0070-150,1,OSM-r
RS0090-040,1,OSM-r
RS0090-140,1,OSM-r
RS0090-260,1,OSM-r
RS0110-000,3,OSM-nr
RS0110-001,3,OSM-nr
RS0110-020,1,OSM-r
RS0110-150,6,OSM-nr
RS0110-160,1,OSM-r
RS0110-170,1,OSM-r
RS0110-230,1,OSM-r
RS0110-290,2,OSM-nr
RS0110-900,1,OSM-r
RS0110-903,1,OSM-r
RS0110-904,4,OSM-r
RS0110-906,1,OSM-r
RS0130-000,4,OSM-r
RS0130-001,1,OSM-n
RS0130-020,6,OSM-nr
RS0130-021,1,OSM-r
RS0130-050,2,OSM-nr
RS0130-051,1,OSM-r
RS0130-060,1,OSM-r
RS0130-100,1,OSM-n
RS0130-150,3,OSM-nr
RS0150-000,3,OSM-nr
RS0150-002,1,OSM-n
RS0150-004,2,OSM-nr
RS0150-005,1,OSM-n
RS0150-050,2,OSM-nr
RS0150-051,5,OSM-nr
RS0150-052,1,OSM-r
RS0150-053,1,OSM-r
RS0150-071,1,OSM-n
RS0150-090,1,OSM-r
RS0160-001,1,OSM-n
RS0160-002,2,OSM-nr
RS0160-006,2,OSM-r
RS0160-030,1,OSM-n
RS0160-070,1,OSM-r
RS0160-090,1,OSM-r
RS0160-091,7,OSM-nr
RS0160-130,1,OSM-r
RS0160-180,2,OSM-nr
RS0160-181,1,OSM-r
RS0200-001,9,OSM-nr
RS0200-040,1,OSM-r
RS0200-041,2,OSM-r
RS0200-050,2,OSM-r
RS0200-110,11,OSM-nr
RS0200-140,1,OSM-r
RS0200-200,2,OSM-r
RS0200-210,1,OSM-r
RS0200-230,3,OSM-nr
RS0200-280,1,OSM-r
RS0200-290,1,OSM-r
RS0200-310,5,OSM-r
RS0200-971,1,OSM-n
RS0220-000,3,OSM-nr
RS0220-002,4,OSM-r
RS0220-003,1,OSM-r
RS0220-004,3,OSM-nr
RS0220-007,2,OSM-nr
RS0220-010,1,OSM-n
RS0220-011,5,OSM-nr
RS0220-021,1,OSM-r
RS0220-040,1,OSM-r
RS0220-170,2,OSM-nr
RS0220-180,1,OSM-r
RS0220-210,1,OSM-n
RS0230-000,1,OSM-r
RS0230-001,1,OSM-r
RS0230-002,1,OSM-r
RS0230-010,1,OSM-r
RS0230-011,2,OSM-nr
RS0230-091,2,OSM-nr
RS0230-110,2,OSM-nr
RS0230-121,2,OSM-r
RS0230-123,4,OSM-r
RS0230-124,2,OSM-r
RS0230-160,1,OSM-r
RS0230-220,2,OSM-r
RS0230-240,1,OSM-r
RS0230-250,1,OSM-r
RS0240-003,1,OSM-r
RS0240-100,2,OSM-r
RS0240-110,1,OSM-r
RS0240-300,1,OSM-r
RS0240-470,4,OSM-r
RS0240-520,1,OSM-n
RS0240-540,2,OSM-r
RS0240-552,1,OSM-r
RS0240-591,1,OSM-r
RS0240-592,1,OSM-n
RS0240-640,1,OSM-r
RS0240-650,1,OSM-r
RS0245-000,2,OSM-n
RS0245-250,1,OSM-r
RS0250-000,2,OSM-r
RS0250-110,1,OSM-r
RS0250-180,1,OSM-r
RS0250-390,1,OSM-r
RS0250-430,1,OSM-r
RS0250-590,2,OSM-r
RS0250-680,2,OSM-r
RS0410-000,6,OSM-nr
RS0410-002,1,OSM-r
RS0410-004,6,OSM-nr
RS0410-005,1,OSM-n
RS0410-006,1,OSM-n
RS0410-007,2,OSM-n
RS0420-020,1,OSM-n
RS0420-041,1,OSM-n
RS0420-060,1,OSM-r
RS0420-090,1,OSM-n
RS0420-111,5,OSM-nr
RS0420-121,1,OSM-n
RS0420-140,1,OSM-n
RS0420-210,1,OSM-r
RS0430-000,1,OSM-r
RS0430-001,2,OSM-nr
RS0430-010,1,OSM-n
RS0430-060,1,OSM-r
RS0430-090,2,OSM-nr
RS0430-091,2,OSM-n
RS0430-100,4,OSM-n
RS0430-131,1,OSM-n
RS0430-150,1,OSM-n
RS0440-002,1,OSM-r
RS0440-010,1,OSM-r
RS0440-020,1,OSM-r
RS0440-030,1,OSM-r
RS0440-050,1,OSM-r
RS0440-150,2,OSM-nr
RS0440-190,1,OSM-r
RS0450-000,1,OSM-r
RS0450-001,2,OSM-r
RS0450-030,2,OSM-r
RS0450-040,2,OSM-n
RS0450-170,2,OSM-nr
RS0450-171,1,OSM-n
RS0460-000,1,OSM-n
RS0460-001,3,OSM-nr
RS0460-040,1,OSM-r
RS0460-160,1,OSM-r
RS0460-190,2,OSM-r
RS0460-200,2,OSM-n
RS0470-130,2,OSM-r
RS0470-140,1,OSM-r
RS0470-150,2,OSM-r
RS0470-260,1,OSM-r
RS0470-420,1,OSM-r
RS0480-000,5,OSM-nr
RS0480-001,1,OSM-n
RS0480-002,1,OSM-r
RS0480-003,2,OSM-nr
RS0510-000,7,OSM-nr
RS0510-001,2,OSM-r
RS0510-002,3,OSM-nr
RS0510-003,2,OSM-nr
RS0520-000,1,OSM-r
RS0520-002,3,OSM-nr
RS0520-003,1,OSM-r
RS0520-060,1,OSM-n
RS0520-100,2,OSM-r
RS0520-220,1,OSM-r
RS0520-260,1,OSM-r
RS0520-280,1,OSM-r
RS0520-360,1,OSM-r
RS0520-480,1,OSM-r
RS0520-900,1,OSM-r
RS0540-000,1,OSM-r
RS0540-008,1,OSM-r
RS0540-020,2,OSM-nr
RS0540-110,2,OSM-nr
RS0550-002,1,OSM-n
RS0550-003,1,OSM-n
RS0550-004,1,OSM-n
RS0550-005,1,OSM-n
RS0550-031,2,OSM-r
RS0550-060,2,OSM-r
RS0550-062,1,OSM-r
RS0550-070,1,OSM-r
RS0550-080,1,OSM-r
RS0550-110,1,OSM-n
RS0550-140,1,OSM-n
RS0550-142,7,OSM-nr
RS0550-150,1,OSM-r
RS0560-001,5,OSM-nr
RS0560-002,5,OSM-nr
RS0560-003,2,OSM-r
RS0560-004,2,OSM-nr
RS0560-005,1,OSM-r
RS0560-030,1,OSM-r
RS0570-000,2,OSM-r
RS0570-001,1,OSM-n
RS0570-010,2,OSM-n
RS0570-040,1,OSM-r
RS0570-041,2,OSM-r
RS0570-050,6,OSM-nr
RS0570-060,2,OSM-r
RS0570-140,1,OSM-r
RS0610-000,6,OSM-nr
RS0610-001,5,OSM-nr
RS0610-010,1,OSM-r
RS0610-240,1,OSM-r
RS0610-270,3,OSM-nr
RS0610-280,1,OSM-r
