CRP,idx_confirm,idx_ref
RS7000-410,1,OSM-r
RS7001-970,1,OSM-r
RS7010-000,13,OSM-nr
RS7010-001,14,OSM-nr
RS7010-002,5,OSM-nr
RS7010-003,5,OSM-nr
RS7010-004,6,OSM-r
RS7010-005,5,OSM-r
RS7010-010,6,OSM-r
RS7010-031,1,OSM-n
RS7010-032,8,OSM-r
RS7010-033,10,OSM-nr
RS7010-040,10,OSM-nr
RS7010-041,10,OSM-nr
RS7010-050,1,OSM-r
RS7010-070,3,OSM-nr
RS7010-080,10,OSM-nr
RS7010-081,4,OSM-r
RS7010-100,2,OSM-nr
RS7010-110,12,OSM-nr
RS7010-120,11,OSM-r
RS7010-130,5,OSM-r
RS7010-140,12,OSM-nr
RS7010-150,12,OSM-nr
RS7010-160,5,OSM-r
RS7010-170,8,OSM-nr
RS7010-180,5,OSM-nr
RS7010-190,2,OSM-r
RS7010-200,11,OSM-nr
RS7010-220,7,OSM-nr
RS7010-260,5,OSM-r
RS7010-270,1,OSM-n
RS7010-300,8,OSM-r
RS7010-310,18,OSM-nr
RS7010-360,7,OSM-r
RS7010-370,1,OSM-r
RS7010-400,5,OSM-r
RS7010-410,4,OSM-r
RS7010-420,10,OSM-nr
RS7010-421,11,OSM-nr
RS7010-422,5,OSM-nr
RS7010-423,10,OSM-nr
RS7010-430,2,OSM-n
RS7010-440,12,OSM-nr
RS7010-480,1,OSM-r
RS7010-490,15,OSM-nr
RS7010-491,15,OSM-nr
RS7010-492,10,OSM-nr
RS7010-493,5,OSM-nr
RS7010-510,8,OSM-nr
RS7010-530,8,OSM-nr
RS7010-570,5,OSM-nr
RS7010-580,2,OSM-nr
RS7010-970,1,OSM-r
RS7015-000,1,OSM-n
RS7015-002,2,OSM-n
RS7015-003,1,OSM-r
RS7015-004,1,OSM-r
RS7015-010,5,OSM-n
RS7015-015,6,OSM-nr
RS7015-030,12,OSM-nr
RS7015-040,10,OSM-nr
RS7015-070,7,OSM-nr
RS7015-090,2,OSM-nr
RS7015-110,10,OSM-nr
RS7015-121,8,OSM-nr
RS7015-140,11,OSM-nr
RS7015-150,12,OSM-nr
RS7015-180,7,OSM-r
RS7015-190,13,OSM-nr
RS7015-230,8,OSM-r
RS7015-240,6,OSM-r
RS7015-250,8,OSM-nr
RS7015-260,13,OSM-nr
RS7015-272,7,OSM-nr
RS7015-274,4,OSM-r
RS7015-290,7,OSM-r
RS7015-370,2,OSM-nr
RS7015-371,6,OSM-nr
RS7015-372,13,OSM-nr
RS7015-373,9,OSM-nr
RS7015-430,1,OSM-r
RS7015-440,11,OSM-nr
RS7015-450,10,OSM-nr
RS7015-480,10,OSM-nr
RS7015-511,2,OSM-nr
RS7015-512,11,OSM-nr
RS7015-513,11,OSM-nr
RS7015-530,6,OSM-nr
RS7015-540,9,OSM-nr
RS7015-550,7,OSM-nr
RS7015-560,6,OSM-r
RS7015-630,11,OSM-nr
RS7015-631,12,OSM-nr
RS7015-660,4,OSM-r
RS7015-661,6,OSM-r
RS7015-662,10,OSM-nr
RS7015-663,12,OSM-nr
RS7015-970,1,OSM-n
RS7020-000,1,OSM-n
RS7020-001,8,OSM-nr
RS7020-041,1,OSM-n
RS7020-050,5,OSM-r
RS7020-110,1,OSM-r
RS7020-130,1,OSM-n
RS7020-140,1,OSM-r
RS7020-230,2,OSM-r
RS7020-355,14,OSM-nr
RS7020-420,6,OSM-r
RS7020-440,4,OSM-r
RS7020-490,1,OSM-r
RS7020-540,1,OSM-r
RS7020-570,8,OSM-r
RS7020-620,1,OSM-r
RS7020-660,7,OSM-r
RS7020-670,1,OSM-n
RS7020-970,1,OSM-n
RS7030-010,1,OSM-r
RS7030-020,1,OSM-n
RS7030-060,1,OSM-r
RS7030-080,2,OSM-r
RS7030-110,1,OSM-r
RS7030-280,4,OSM-r
RS7030-350,6,OSM-nr
RS7030-370,1,OSM-r
RS7030-430,1,OSM-r
RS7030-440,2,OSM-nr
RS7030-480,1,OSM-r
RS7030-610,2,OSM-r
RS7030-620,1,OSM-r
RS7030-630,1,OSM-r
RS7032-000,2,OSM-r
RS7035-000,1,OSM-r
RS7035-030,1,OSM-r
RS7035-090,1,OSM-r
RS7035-250,1,OSM-n
RS7035-420,1,OSM-r
RS7035-510,1,OSM-r
RS7035-590,2,OSM-r
RS7035-660,1,OSM-n
RS7035-690,1,OSM-r
RS7037-098,1,OSM-r
RS7037-108,1,OSM-r
RS7043-000,1,OSM-n
RS7043-190,2,OSM-r
RS7043-340,4,OSM-n
RS7043-450,1,OSM-r
RS7043-470,5,OSM-r
RS7043-670,1,OSM-r
RS7043-680,1,OSM-r
RS7045-000,6,OSM-nr
RS7045-060,7,OSM-nr
RS7045-110,1,OSM-n
RS7045-120,2,OSM-nr
RS7045-450,15,OSM-nr
RS7045-510,3,OSM-nr
RS7045-859,5,OSM-r
RS7050-000,13,OSM-nr
RS7050-001,11,OSM-nr
