CRP,idx_confirm,idx_ref
RS3001-970,1,OSM-n
RS3010-000,1,OSM-r
RS3010-001,5,OSM-nr
RS3010-002,7,OSM-nr
RS3010-003,8,OSM-nr
RS3010-004,5,OSM-nr
RS3010-010,2,OSM-r
RS3010-030,2,OSM-nr
RS3010-040,2,OSM-r
RS3010-050,4,OSM-n
RS3010-060,1,OSM-n
RS3010-070,1,OSM-n
RS3010-080,1,OSM-r
RS3010-090,4,OSM-r
RS3010-170,1,OSM-n
RS3010-190,2,OSM-r
RS3010-200,5,OSM-nr
RS3010-210,3,OSM-nr
RS3010-220,2,OSM-nr
RS3020-080,7,OSM-nr
RS3020-190,1,OSM-n
RS3020-440,2,OSM-r
RS3020-450,2,OSM-nr
RS3020-690,6,OSM-nr
RS3020-770,1,OSM-n
RS3022-000,2,OSM-r
RS3022-718,1,OSM-r
RS3025-000,5,OSM-nr
RS3025-120,1,OSM-n
RS3025-630,1,OSM-r
RS3030-092,2,OSM-r
RS3030-220,1,OSM-n
RS3032-000,1,OSM-n
RS3032-060,1,OSM-r
RS3032-450,1,OSM-n
RS3035-270,1,OSM-n
RS3037-070,1,OSM-r
RS3040-290,2,OSM-nr
RS3040-380,1,OSM-n
RS3042-030,1,OSM-r
RS3042-160,1,OSM-n
RS3044-000,1,OSM-n
RS3048-240,1,OSM-r
RS3110-060,1,OSM-r
RS3110-080,1,OSM-r
RS3110-320,1,OSM-n
RS3110-351,1,OSM-n
RS3115-000,1,OSM-r
RS3120-000,1,OSM-r
RS3120-144,1,OSM-n
RS3120-620,1,OSM-n
RS3121-970,1,OSM-n
RS3125-340,3,OSM-nr
RS3410-002,1,OSM-r
RS4120-600,2,OSM-nr
