CRP,idx_confirm,idx_ref
SC8330-000,3,OSM-nr
SC8330-036,2,OSM-nr
SC8330-065,1,OSM-n
SC8330-075,4,OSM-r
SC8330-110,1,OSM-r
SC8330-112,1,OSM-r
SC8330-203,1,OSM-n
SC8330-334,1,OSM-n
SC8330-355,1,OSM-r
SC8330-484,1,OSM-r
SC8330-522,2,OSM-n
SC8330-524,6,OSM-nr
SC8330-526,2,OSM-nr
SC8330-530,2,OSM-r
SC8330-590,1,OSM-r
SC8330-635,1,OSM-n
SC8330-640,1,OSM-n
SC8330-663,2,OSM-r
SC8330-675,4,OSM-n
SC8330-696,2,OSM-n
SC8330-725,1,OSM-r
SC8330-774,1,OSM-n
SC8330-822,1,OSM-r
SC8331-005,4,OSM-r
SC8331-030,1,OSM-r
SC8331-150,4,OSM-r
SC8332-405,2,OSM-r
SC8332-425,1,OSM-r
SC8334-020,2,OSM-r
SC8336-200,2,OSM-r
SC8337-315,1,OSM-n
SC8337-335,1,OSM-r
SC8337-450,1,OSM-r
SC8337-480,1,OSM-n
SC8338-063,1,OSM-r
SC8338-065,2,OSM-r
SC8338-068,1,OSM-r
SC8338-220,1,OSM-r
SC8338-270,1,OSM-n
SC8338-635,2,OSM-r
SC8338-640,4,OSM-r
SC8338-900,1,OSM-r
SC8339-005,2,OSM-nr
SC8339-090,1,OSM-r
SC8339-125,3,OSM-nr
SC8339-130,2,OSM-r
SC8339-515,1,OSM-n
SC9330-075,1,OSM-r
