CRP,idx_confirm,idx_ref
SC9000-020,1,OSM-r
SC9010-000,2,OSM-r
SC9010-001,3,OSM-nr
SC9010-002,6,OSM-nr
SC9010-003,4,OSM-r
SC9010-016,1,OSM-r
SC9010-020,1,OSM-r
SC9010-030,2,OSM-nr
SC9010-050,2,OSM-r
SC9010-070,1,OSM-r
SC9010-101,1,OSM-n
SC9010-130,4,OSM-r
SC9010-150,2,OSM-n
SC9010-160,1,OSM-r
SC9010-170,1,OSM-r
SC9010-200,1,OSM-r
SC9010-201,1,OSM-r
SC9010-203,3,OSM-nr
SC9010-207,2,OSM-r
SC9010-250,1,OSM-r
SC9010-300,2,OSM-r
SC9010-330,4,OSM-r
SC9010-350,1,OSM-r
SC9010-360,1,OSM-r
SC9010-380,1,OSM-r
SC9010-400,1,OSM-r
SC9010-401,1,OSM-r
SC9010-500,2,OSM-nr
SC9010-580,1,OSM-r
SC9010-600,1,OSM-r
SC9010-640,1,OSM-r
SC9010-675,1,OSM-r
SC9010-900,2,OSM-r
SC9010-902,1,OSM-r
SC9010-904,1,OSM-r
SC9010-906,1,OSM-r
SC9010-908,1,OSM-r
SC9010-910,1,OSM-r
SC9010-911,1,OSM-r
SC9010-913,1,OSM-r
SC9010-971,2,OSM-r
SC9010-973,1,OSM-n
SC9010-974,1,OSM-n
SC9012-000,1,OSM-r
SC9012-001,2,OSM-r
SC9012-010,1,OSM-r
SC9012-060,1,OSM-r
SC9012-084,1,OSM-r
SC9012-130,2,OSM-r
SC9012-132,1,OSM-r
SC9012-180,1,OSM-r
SC9012-200,1,OSM-r
SC9012-201,1,OSM-r
SC9012-400,2,OSM-r
SC9012-401,4,OSM-r
SC9012-470,1,OSM-r
SC9012-473,1,OSM-r
SC9012-500,2,OSM-r
SC9012-900,1,OSM-r
SC9015-020,1,OSM-r
SC9015-100,1,OSM-r
SC9015-200,3,OSM-nr
SC9015-202,1,OSM-r
SC9015-300,1,OSM-n
SC9015-400,1,OSM-r
SC9015-972,1,OSM-r
SC9020-100,1,OSM-r
SC9020-400,1,OSM-n
SC9020-403,1,OSM-r
SC9020-430,1,OSM-r
SC9020-900,1,OSM-r
SC9021-001,1,OSM-r
SC9022-000,1,OSM-n
SC9022-001,7,OSM-nr
SC9023-000,1,OSM-r
SC9023-201,1,OSM-r
SC9023-600,1,OSM-n
SC9025-090,1,OSM-r
SC9025-330,1,OSM-r
SC9026-201,1,OSM-r
SC9027-386,1,OSM-r
SC9030-000,4,OSM-r
SC9030-001,1,OSM-r
SC9030-010,1,OSM-r
SC9030-016,2,OSM-r
SC9030-040,1,OSM-r
SC9030-100,4,OSM-r
SC9030-101,4,OSM-r
SC9030-140,1,OSM-r
SC9031-001,4,OSM-r
SC9031-400,1,OSM-r
SC9031-401,8,OSM-r
SC9032-000,1,OSM-r
SC9032-001,1,OSM-r
SC9032-510,1,OSM-r
SC9035-000,1,OSM-r
SC9035-041,1,OSM-r
SC9035-185,1,OSM-r
SC9035-190,1,OSM-n
SC9035-200,6,OSM-nr
SC9035-212,2,OSM-r
SC9035-220,1,OSM-r
SC9035-235,1,OSM-r
SC9035-290,1,OSM-r
SC9035-300,5,OSM-r
SC9035-340,1,OSM-r
SC9035-360,1,OSM-r
SC9035-401,4,OSM-r
SC9035-402,4,OSM-r
SC9035-550,1,OSM-r
SC9035-620,1,OSM-r
SC9036-000,4,OSM-r
SC9036-001,2,OSM-r
SC9036-002,1,OSM-r
SC9036-003,1,OSM-r
SC9036-004,1,OSM-r
SC9036-050,1,OSM-r
SC9036-130,1,OSM-n
SC9036-160,1,OSM-r
SC9036-170,1,OSM-r
SC9036-200,2,OSM-r
SC9036-256,1,OSM-r
SC9036-290,1,OSM-n
SC9036-300,2,OSM-nr
SC9036-400,1,OSM-r
SC9037-000,1,OSM-n
SC9037-003,1,OSM-n
SC9037-110,1,OSM-n
SC9037-240,1,OSM-r
SC9037-256,1,OSM-n
SC9037-380,1,OSM-r
SC9037-500,1,OSM-r
SC9037-501,1,OSM-r
SC9037-590,1,OSM-r
SC9037-690,1,OSM-r
SC9040-000,3,OSM-nr
SC9040-001,1,OSM-r
SC9040-002,3,OSM-nr
SC9040-003,5,OSM-r
SC9040-160,1,OSM-n
SC9040-210,1,OSM-n
SC9040-400,4,OSM-r
SC9041-001,1,OSM-r
SC9041-002,1,OSM-n
SC9041-003,1,OSM-n
SC9042-010,1,OSM-r
SC9042-300,1,OSM-r
SC9045-001,1,OSM-r
SC9045-130,1,OSM-r
SC9045-330,1,OSM-r
SC9046-000,10,OSM-nr
SC9046-001,8,OSM-nr
SC9046-130,2,OSM-r
SC9046-337,1,OSM-r
SC9050-000,1,OSM-r
SC9050-010,1,OSM-r
SC9050-040,1,OSM-r
SC9050-060,1,OSM-r
SC9050-101,1,OSM-n
SC9050-280,5,OSM-r
SC9051-000,1,OSM-r
SC9051-001,4,OSM-r
SC9052-000,6,OSM-nr
SC9052-001,2,OSM-r
SC9052-010,1,OSM-r
SC9052-381,2,OSM-r
SC9052-504,4,OSM-r
SC9052-600,2,OSM-nr
SC9053-000,1,OSM-n
SC9053-195,1,OSM-r
SC9053-200,4,OSM-r
SC9053-202,4,OSM-r
SC9053-330,1,OSM-r
SC9053-530,1,OSM-r
SC9053-560,2,OSM-nr
SC9055-000,1,OSM-n
SC9058-010,1,OSM-r
SC9060-000,1,OSM-n
SC9062-258,1,OSM-n
SC9065-000,4,OSM-r
SC9065-100,4,OSM-r
SC9065-101,3,OSM-nr
SC9065-300,1,OSM-r
SC9065-800,2,OSM-r
SC9066-010,2,OSM-r
SC9066-100,1,OSM-r
SC9066-301,2,OSM-nr
SC9066-350,1,OSM-r
SC9068-001,2,OSM-r
SC9068-110,1,OSM-r
SC9068-971,1,OSM-r
SC9069-000,1,OSM-r
SC9069-001,1,OSM-r
SC9069-002,1,OSM-r
SC9069-101,1,OSM-r
SC9069-400,1,OSM-r
SC9070-200,1,OSM-r
SC9070-205,2,OSM-nr
SC9070-700,1,OSM-r
SC9095-300,1,OSM-r
SC9095-610,1,OSM-r
SC9370-240,1,OSM-r
