CRP,idx_confirm,idx_ref
SC8812-160,1,OSM-r
SC9801-000,2,OSM-r
SC9801-020,6,OSM-nr
SC9801-023,2,OSM-n
SC9801-030,1,OSM-r
SC9801-041,1,OSM-n
SC9801-061,1,OSM-r
SC9801-106,1,OSM-n
SC9801-140,2,OSM-r
SC9801-141,1,OSM-r
SC9801-400,1,OSM-n
SC9801-405,1,OSM-r
SC9801-422,4,OSM-n
SC9801-501,1,OSM-n
SC9801-580,1,OSM-n
SC9801-970,3,OSM-nr
SC9801-974,1,OSM-n
SC9802-000,1,OSM-r
SC9802-001,2,OSM-nr
SC9802-002,1,OSM-n
SC9802-025,1,OSM-r
SC9802-110,3,OSM-nr
SC9802-112,1,OSM-r
SC9802-120,5,OSM-nr
SC9802-121,1,OSM-r
SC9802-130,4,OSM-r
SC9802-132,1,OSM-n
SC9802-133,1,OSM-n
SC9802-140,6,OSM-nr
SC9802-160,1,OSM-r
SC9802-162,1,OSM-r
SC9802-210,2,OSM-n
SC9802-211,1,OSM-r
SC9802-220,1,OSM-n
SC9802-265,1,OSM-r
SC9802-320,1,OSM-r
SC9802-411,1,OSM-r
SC9802-500,1,OSM-r
SC9802-501,1,OSM-r
SC9802-810,1,OSM-r
SC9803-000,2,OSM-n
SC9803-052,1,OSM-r
SC9803-310,1,OSM-r
SC9803-350,1,OSM-r
SC9803-361,1,OSM-r
SC9803-400,2,OSM-nr
SC9803-401,1,OSM-r
SC9803-402,1,OSM-r
SC9803-901,1,OSM-r
SC9804-000,1,OSM-r
SC9804-250,1,OSM-r
SC9804-430,1,OSM-r
SC9805-000,1,OSM-r
SC9805-070,1,OSM-r
SC9805-092,1,OSM-n
SC9805-184,1,OSM-r
SC9805-203,2,OSM-r
SC9805-462,1,OSM-n
SC9805-500,1,OSM-r
SC9806-150,1,OSM-r
SC9806-154,1,OSM-r
SC9808-664,10,OSM-nr
SC9808-666,5,OSM-n
SC9808-670,9,OSM-nr
SC9808-678,10,OSM-nr
SC9808-680,6,OSM-nr
SC9808-682,6,OSM-nr
SC9808-686,7,OSM-nr
SC9809-440,2,OSM-nr
SC9809-450,1,OSM-n
SC9809-500,2,OSM-nr
SC9809-506,2,OSM-r
SC9809-509,2,OSM-nr
SC9809-556,1,OSM-n
SC9809-620,3,OSM-nr
SC9809-621,8,OSM-nr
SC9809-690,1,OSM-n
SC9809-900,1,OSM-r
SC9809-901,1,OSM-r
SC9809-970,2,OSM-r
SC9810-822,1,OSM-r
SC9812-000,1,OSM-r
SC9812-110,2,OSM-nr
SC9812-111,2,OSM-r
SC9812-120,1,OSM-n
SC9812-121,1,OSM-r
SC9812-218,1,OSM-r
SC9812-222,2,OSM-nr
SC9812-505,1,OSM-n
SC9812-565,1,OSM-r
SC9812-572,1,OSM-r
SC9812-595,1,OSM-r
SC9812-640,1,OSM-n
SC9813-000,2,OSM-r
SC9813-110,8,OSM-nr
SC9813-140,2,OSM-r
SC9814-160,1,OSM-n
SC9814-650,2,OSM-nr
SC9815-290,2,OSM-r
SC9815-310,1,OSM-r
SC9815-435,1,OSM-r
SC9815-899,3,OSM-nr
SC9816-300,1,OSM-n
SC9816-973,1,OSM-r
SC9817-000,1,OSM-r
SC9890-450,1,OSM-n
