CRP,idx_confirm,idx_ref
SC8801-000,1,OSM-n
SC8801-010,1,OSM-n
SC8801-040,1,OSM-n
SC8801-045,2,OSM-nr
SC8801-100,2,OSM-nr
SC8802-000,1,OSM-n
SC8802-160,1,OSM-r
SC8803-200,1,OSM-r
SC8803-290,1,OSM-n
SC8803-470,1,OSM-n
SC8804-010,1,OSM-n
SC8804-342,1,OSM-n
SC8805-085,1,OSM-r
SC8806-000,2,OSM-r
SC8806-040,1,OSM-n
SC8806-050,11,OSM-nr
SC8806-056,5,OSM-r
SC8806-505,2,OSM-r
SC8807-260,1,OSM-r
SC8809-470,1,OSM-r
SC8811-570,1,OSM-r
SC8813-325,1,OSM-r
SC8813-600,1,OSM-r
SC8813-762,1,OSM-r
SC8813-970,1,OSM-r
SC8815-000,1,OSM-n
SC8815-030,1,OSM-r
SC8815-190,1,OSM-r
SC8815-350,1,OSM-n
