CRP,idx_confirm,idx_ref
PR0063-000,1,OSM-r
SC8010-001,5,OSM-r
SC8010-002,2,OSM-r
SC8010-030,1,OSM-r
SC8010-090,2,OSM-r
SC8010-100,3,OSM-nr
SC8010-120,1,OSM-r
SC8010-220,1,OSM-r
SC8010-230,4,OSM-r
SC8010-290,1,OSM-r
SC8010-300,1,OSM-r
SC8010-301,1,OSM-r
SC8010-320,1,OSM-n
SC8010-400,4,OSM-r
SC8010-420,1,OSM-r
SC8010-460,1,OSM-r
SC8010-540,5,OSM-nr
SC8010-560,1,OSM-r
SC8010-902,1,OSM-n
SC8010-906,1,OSM-r
SC8010-970,1,OSM-r
SC8010-975,1,OSM-r
SC8010-976,1,OSM-n
SC8015-000,1,OSM-r
SC8015-010,1,OSM-r
SC8015-020,2,OSM-r
SC8015-030,1,OSM-r
SC8015-080,3,OSM-nr
SC8015-100,1,OSM-r
SC8015-110,1,OSM-r
SC8015-130,5,OSM-nr
SC8015-170,1,OSM-r
SC8015-180,1,OSM-r
SC8015-190,1,OSM-r
SC8015-200,3,OSM-nr
SC8015-201,2,OSM-r
SC8015-203,1,OSM-r
SC8015-204,1,OSM-r
SC8015-231,1,OSM-n
SC8015-240,6,OSM-nr
SC8015-250,1,OSM-n
SC8015-300,5,OSM-nr
SC8015-420,6,OSM-nr
SC8015-460,2,OSM-nr
SC8015-530,2,OSM-r
SC8015-550,1,OSM-r
SC8015-600,5,OSM-nr
SC8015-601,1,OSM-r
SC8015-620,1,OSM-r
SC8015-700,2,OSM-r
SC8015-710,1,OSM-r
SC8015-902,1,OSM-r
SC8015-973,1,OSM-n
SC8015-975,1,OSM-r
SC8015-976,1,OSM-r
SC8020-000,1,OSM-r
SC8020-001,1,OSM-r
SC8020-010,2,OSM-r
SC8020-040,4,OSM-r
SC8020-060,1,OSM-r
SC8020-180,1,OSM-r
SC8020-200,4,OSM-r
SC8020-210,2,OSM-r
SC8020-300,1,OSM-r
SC8020-301,1,OSM-r
SC8020-302,1,OSM-r
SC8020-304,1,OSM-r
SC8020-460,1,OSM-r
SC8020-500,1,OSM-n
SC8020-600,1,OSM-r
SC8020-670,2,OSM-r
SC8020-700,1,OSM-r
SC8020-720,4,OSM-r
SC8025-140,1,OSM-r
SC8025-210,1,OSM-r
SC8025-219,1,OSM-n
SC8025-230,1,OSM-r
