CRP,idx_confirm,idx_ref
SC8130-000,1,OSM-r
SC8301-020,2,OSM-nr
SC8301-040,1,OSM-r
SC8301-205,1,OSM-r
SC8301-210,1,OSM-r
SC8301-303,1,OSM-r
SC8301-310,1,OSM-r
SC8301-320,3,OSM-nr
SC8301-360,1,OSM-r
SC8301-700,2,OSM-r
SC8301-701,1,OSM-r
SC8302-000,1,OSM-n
SC8302-090,1,OSM-r
SC8302-100,1,OSM-r
SC8302-101,1,OSM-r
SC8302-200,1,OSM-r
SC8302-201,1,OSM-r
SC8302-202,1,OSM-r
SC8302-203,1,OSM-r
SC8302-270,1,OSM-n
SC8302-400,1,OSM-r
SC8302-600,2,OSM-r
SC8303-000,4,OSM-r
SC8304-053,1,OSM-n
SC8304-101,1,OSM-r
SC8304-300,1,OSM-r
SC8304-400,1,OSM-n
SC8304-401,1,OSM-r
SC8306-001,1,OSM-r
SC8306-002,1,OSM-n
SC8306-405,2,OSM-nr
SC8306-600,1,OSM-r
SC8306-800,1,OSM-r
SC8306-806,2,OSM-n
SC8306-826,1,OSM-n
SC8307-300,1,OSM-r
SC8307-303,1,OSM-r
SC8307-770,1,OSM-r
SC8308-000,1,OSM-n
SC8308-151,1,OSM-r
SC8309-430,1,OSM-r
SC8310-001,1,OSM-r
SC8310-696,1,OSM-r
SC8311-460,1,OSM-n
SC8311-470,1,OSM-n
SC8311-481,1,OSM-r
SC8311-600,1,OSM-r
SC8311-710,1,OSM-r
SC8316-701,1,OSM-r
