CRP,idx_confirm,idx_ref
SC9251-000,4,OSM-r
SC9251-030,1,OSM-r
SC9251-040,1,OSM-r
SC9251-060,1,OSM-r
SC9251-090,1,OSM-r
SC9251-100,7,OSM-nr
SC9251-150,1,OSM-r
SC9251-155,1,OSM-r
SC9251-200,4,OSM-r
SC9251-380,2,OSM-nr
SC9251-400,5,OSM-nr
SC9251-470,2,OSM-nr
SC9251-520,1,OSM-r
SC9251-540,2,OSM-r
SC9251-590,1,OSM-r
SC9251-600,3,OSM-nr
SC9251-630,1,OSM-r
SC9251-640,5,OSM-nr
SC9251-680,1,OSM-r
SC9251-700,2,OSM-n
SC9251-701,3,OSM-nr
SC9251-970,1,OSM-r
SC9252-000,3,OSM-nr
SC9252-050,1,OSM-r
SC9252-060,2,OSM-nr
SC9252-070,3,OSM-nr
SC9252-101,1,OSM-r
SC9252-165,1,OSM-r
SC9252-280,3,OSM-nr
SC9252-370,1,OSM-r
SC9252-452,1,OSM-n
SC9252-480,2,OSM-r
SC9252-490,2,OSM-nr
SC9252-500,1,OSM-r
SC9252-510,1,OSM-n
SC9252-550,2,OSM-nr
SC9253-000,2,OSM-r
SC9253-030,2,OSM-nr
SC9253-100,4,OSM-r
SC9253-150,1,OSM-r
SC9253-535,1,OSM-n
SC9253-750,1,OSM-r
SC9253-752,1,OSM-r
SC9253-780,1,OSM-r
SC9253-800,1,OSM-n
SC9254-000,1,OSM-r
SC9254-100,4,OSM-r
SC9254-150,1,OSM-r
SC9254-160,7,OSM-r
SC9254-170,6,OSM-r
SC9254-172,5,OSM-r
SC9254-175,4,OSM-r
SC9254-180,5,OSM-r
SC9254-182,5,OSM-r
SC9254-183,4,OSM-r
SC9254-240,1,OSM-r
SC9254-292,6,OSM-r
SC9254-368,1,OSM-r
SC9254-430,1,OSM-r
SC9254-560,2,OSM-r
SC9254-600,7,OSM-nr
SC9254-610,5,OSM-r
SC9254-700,2,OSM-r
SC9254-790,1,OSM-r
SC9255-000,8,OSM-nr
SC9255-270,1,OSM-r
SC9255-272,2,OSM-r
SC9255-365,1,OSM-r
SC9255-370,3,OSM-nr
SC9255-380,1,OSM-r
SC9255-400,4,OSM-r
SC9255-570,1,OSM-r
SC9255-640,1,OSM-r
SC9255-703,2,OSM-nr
SC9255-720,1,OSM-n
SC9255-760,1,OSM-r
SC9256-000,4,OSM-r
SC9256-025,1,OSM-r
SC9256-030,1,OSM-n
SC9256-085,1,OSM-r
SC9256-280,2,OSM-r
SC9256-310,1,OSM-r
SC9256-370,5,OSM-nr
SC9256-450,4,OSM-r
SC9256-500,2,OSM-nr
SC9256-501,4,OSM-r
SC9256-502,1,OSM-r
SC9256-690,1,OSM-r
SC9256-800,1,OSM-r
SC9256-901,1,OSM-r
SC9257-000,1,OSM-r
SC9257-020,1,OSM-r
SC9257-550,5,OSM-r
SC9257-755,1,OSM-r
SC9258-000,2,OSM-r
SC9258-001,1,OSM-r
SC9258-110,1,OSM-r
SC9258-170,1,OSM-r
SC9258-210,1,OSM-r
SC9258-342,1,OSM-r
SC9258-470,1,OSM-r
SC9258-670,1,OSM-r
SC9259-000,3,OSM-nr
SC9259-001,1,OSM-r
SC9259-120,1,OSM-r
SC9259-160,2,OSM-nr
SC9259-200,4,OSM-r
SC9259-300,1,OSM-r
SC9259-340,2,OSM-r
SC9259-350,5,OSM-nr
SC9259-380,1,OSM-r
SC9259-440,2,OSM-r
SC9259-500,1,OSM-r
SC9259-560,1,OSM-r
SC9259-565,9,OSM-nr
SC9259-580,1,OSM-r
SC9259-590,4,OSM-r
SC9259-600,2,OSM-nr
SC9259-650,1,OSM-r
SC9259-700,5,OSM-nr
SC9259-720,1,OSM-r
SC9259-795,1,OSM-r
SC9259-800,1,OSM-r
SC9260-000,7,OSM-nr
SC9260-100,1,OSM-r
SC9260-170,1,OSM-r
SC9260-180,4,OSM-r
SC9260-220,4,OSM-r
SC9260-300,1,OSM-r
SC9260-410,1,OSM-r
SC9260-875,4,OSM-r
SC9261-700,2,OSM-r
SC9262-000,1,OSM-r
SC9265-000,1,OSM-r
SC9265-500,1,OSM-n
SC9265-700,1,OSM-r
SC9265-740,1,OSM-r
SC9266-240,1,OSM-r
SC9266-250,1,OSM-r
SC9266-270,1,OSM-r
SC9266-414,1,OSM-r
SC9266-518,1,OSM-r
SC9353-740,1,OSM-r
