CRP,idx_confirm,idx_ref
SC8900-000,1,OSM-r
SC9002-230,1,OSM-r
SC9200-000,4,OSM-r
SC9201-010,1,OSM-r
SC9201-060,2,OSM-nr
SC9201-080,1,OSM-n
SC9201-090,1,OSM-r
SC9201-100,2,OSM-r
SC9201-150,2,OSM-r
SC9201-160,1,OSM-r
SC9201-170,1,OSM-r
SC9201-205,1,OSM-r
SC9201-215,2,OSM-r
SC9201-220,1,OSM-n
SC9201-270,1,OSM-r
SC9201-299,4,OSM-r
SC9201-300,1,OSM-r
SC9201-330,3,OSM-nr
SC9201-340,1,OSM-r
SC9201-400,1,OSM-r
SC9201-420,3,OSM-nr
SC9201-440,1,OSM-r
SC9201-480,2,OSM-r
SC9201-500,1,OSM-n
SC9201-602,6,OSM-nr
SC9201-700,1,OSM-n
SC9201-970,1,OSM-r
SC9201-974,1,OSM-r
SC9202-000,7,OSM-nr
SC9202-002,2,OSM-nr
SC9202-005,1,OSM-r
SC9202-050,4,OSM-r
SC9202-073,1,OSM-r
SC9202-090,1,OSM-r
SC9202-100,5,OSM-r
SC9202-138,1,OSM-r
SC9202-145,2,OSM-r
SC9202-150,1,OSM-n
SC9202-160,5,OSM-r
SC9202-165,1,OSM-r
SC9202-170,5,OSM-r
SC9202-190,1,OSM-r
SC9202-200,1,OSM-r
SC9202-201,1,OSM-r
SC9202-203,1,OSM-r
SC9202-205,2,OSM-nr
SC9202-210,1,OSM-n
SC9202-250,5,OSM-nr
SC9202-253,1,OSM-r
SC9202-260,1,OSM-r
SC9202-280,1,OSM-r
SC9202-300,9,OSM-nr
SC9202-310,4,OSM-r
SC9202-400,3,OSM-nr
SC9202-412,1,OSM-r
SC9202-420,1,OSM-r
SC9202-422,5,OSM-nr
SC9202-423,1,OSM-r
SC9202-450,1,OSM-r
SC9202-480,1,OSM-r
SC9203-000,1,OSM-r
SC9203-001,2,OSM-r
SC9203-005,1,OSM-r
SC9203-070,1,OSM-n
SC9203-210,1,OSM-r
SC9203-240,1,OSM-r
SC9203-300,4,OSM-r
SC9203-301,2,OSM-nr
SC9203-305,2,OSM-r
SC9203-307,1,OSM-r
SC9203-400,5,OSM-nr
SC9203-404,3,OSM-nr
SC9203-420,1,OSM-r
SC9203-460,1,OSM-r
SC9203-470,4,OSM-r
SC9203-495,1,OSM-r
SC9203-500,2,OSM-r
SC9203-530,1,OSM-r
SC9203-560,1,OSM-n
SC9203-590,1,OSM-r
SC9204-000,4,OSM-r
SC9204-001,4,OSM-r
SC9204-002,7,OSM-nr
SC9204-003,4,OSM-r
SC9204-004,2,OSM-nr
SC9204-005,1,OSM-n
SC9204-010,1,OSM-r
SC9204-040,1,OSM-r
SC9204-041,1,OSM-n
SC9204-050,2,OSM-r
SC9204-060,4,OSM-r
SC9204-100,1,OSM-r
SC9204-110,4,OSM-r
SC9204-145,4,OSM-r
SC9204-250,2,OSM-r
SC9204-251,2,OSM-r
SC9204-322,2,OSM-r
SC9204-324,1,OSM-r
SC9204-328,2,OSM-r
SC9204-360,1,OSM-r
SC9204-361,1,OSM-r
SC9204-415,1,OSM-r
SC9204-420,1,OSM-r
SC9204-600,1,OSM-r
SC9205-000,1,OSM-r
SC9205-070,1,OSM-r
SC9205-100,2,OSM-nr
SC9205-101,3,OSM-nr
SC9205-103,1,OSM-r
SC9205-300,4,OSM-r
SC9205-310,5,OSM-nr
SC9206-001,1,OSM-r
SC9206-101,1,OSM-r
SC9206-200,1,OSM-r
SC9206-410,1,OSM-r
SC9206-720,4,OSM-n
SC9207-101,2,OSM-nr
SC9207-180,1,OSM-r
SC9207-462,1,OSM-n
SC9207-470,1,OSM-n
SC9207-532,1,OSM-r
SC9208-300,2,OSM-r
SC9208-301,1,OSM-r
SC9208-390,1,OSM-r
SC9208-545,1,OSM-r
SC9208-690,1,OSM-r
SC9208-750,2,OSM-nr
SC9208-751,1,OSM-n
SC9209-015,1,OSM-r
SC9209-105,1,OSM-r
SC9209-275,1,OSM-r
SC9209-405,1,OSM-r
SC9209-435,1,OSM-n
SC9209-674,1,OSM-r
SC9209-680,2,OSM-r
SC9210-050,1,OSM-r
SC9210-060,1,OSM-n
SC9210-085,1,OSM-n
SC9210-173,1,OSM-r
SC9210-200,1,OSM-n
SC9210-658,1,OSM-n
SC9210-970,1,OSM-r
SC9211-000,4,OSM-r
SC9211-135,1,OSM-r
SC9211-270,1,OSM-r
SC9211-300,6,OSM-r
SC9211-301,4,OSM-r
SC9211-305,5,OSM-r
SC9211-307,2,OSM-r
SC9211-313,8,OSM-rw
SC9211-320,4,OSM-r
SC9211-380,1,OSM-r
SC9211-425,1,OSM-r
SC9211-440,1,OSM-r
SC9211-451,1,OSM-r
SC9211-460,6,OSM-r
SC9211-575,2,OSM-r
SC9211-580,2,OSM-r
SC9211-710,1,OSM-r
SC9211-715,1,OSM-r
SC9212-000,4,OSM-r
SC9212-010,1,OSM-r
SC9212-100,2,OSM-r
SC9212-120,1,OSM-r
SC9212-215,1,OSM-r
SC9212-300,1,OSM-r
SC9212-325,2,OSM-r
SC9212-330,1,OSM-r
SC9212-400,1,OSM-n
SC9213-000,1,OSM-r
SC9213-200,1,OSM-r
SC9213-300,2,OSM-r
SC9213-401,1,OSM-n
SC9213-430,1,OSM-r
SC9214-000,2,OSM-r
SC9214-110,1,OSM-r
SC9214-145,1,OSM-r
SC9214-150,2,OSM-r
SC9214-153,2,OSM-r
SC9214-220,1,OSM-r
SC9214-260,2,OSM-r
SC9214-350,1,OSM-r
SC9214-360,2,OSM-nr
SC9214-400,2,OSM-r
SC9214-700,1,OSM-r
SC9215-000,1,OSM-r
SC9215-110,1,OSM-r
SC9215-115,1,OSM-r
SC9215-425,1,OSM-r
SC9216-100,1,OSM-n
SC9216-120,1,OSM-n
SC9216-200,2,OSM-nr
SC9216-201,8,OSM-nr
SC9216-222,1,OSM-r
SC9216-280,1,OSM-n
SC9216-400,4,OSM-r
SC9216-401,1,OSM-r
SC9216-500,1,OSM-r
SC9216-501,1,OSM-n
SC9216-670,2,OSM-r
SC9217-000,1,OSM-n
SC9217-100,1,OSM-r
SC9217-401,1,OSM-r
SC9218-000,2,OSM-nr
SC9218-015,1,OSM-n
SC9218-035,6,OSM-nr
SC9218-055,4,OSM-r
SC9218-060,1,OSM-r
SC9218-100,4,OSM-r
SC9218-105,3,OSM-nr
SC9218-110,1,OSM-n
SC9218-111,1,OSM-r
SC9218-112,1,OSM-r
SC9218-153,1,OSM-r
SC9218-180,1,OSM-r
SC9218-185,1,OSM-n
SC9218-280,1,OSM-r
SC9218-325,1,OSM-n
SC9218-500,5,OSM-nr
SC9218-501,2,OSM-n
SC9218-550,1,OSM-r
SC9218-580,2,OSM-nr
SC9218-691,1,OSM-r
SC9219-030,1,OSM-r
SC9219-200,2,OSM-r
SC9219-500,1,OSM-r
SC9219-501,2,OSM-nr
SC9219-507,1,OSM-r
SC9219-510,1,OSM-r
SC9219-520,1,OSM-r
SC9219-580,1,OSM-r
SC9219-600,4,OSM-r
SC9219-635,1,OSM-r
SC9219-655,1,OSM-r
SC9219-710,5,OSM-nr
SC9219-720,1,OSM-r
SC9219-730,6,OSM-nr
SC9219-750,1,OSM-r
SC9219-900,1,OSM-r
SC9219-902,1,OSM-r
SC9220-001,5,OSM-nr
SC9220-050,1,OSM-r
SC9220-055,2,OSM-r
SC9220-101,1,OSM-r
SC9220-110,1,OSM-n
SC9220-120,1,OSM-r
SC9220-150,1,OSM-r
SC9220-618,1,OSM-n
SC9220-740,1,OSM-r
SC9221-000,2,OSM-r
SC9221-006,3,OSM-nr
SC9221-007,2,OSM-nr
SC9221-008,1,OSM-r
SC9221-010,2,OSM-r
SC9221-011,1,OSM-r
SC9221-020,2,OSM-r
SC9221-027,1,OSM-r
SC9221-030,1,OSM-r
SC9221-060,1,OSM-r
SC9221-155,2,OSM-r
SC9221-195,1,OSM-r
SC9221-301,4,OSM-r
SC9221-500,1,OSM-r
SC9221-543,1,OSM-n
SC9221-597,1,OSM-n
SC9221-632,1,OSM-n
SC9221-703,1,OSM-r
SC9221-750,1,OSM-r
SC9221-970,1,OSM-n
SC9222-365,1,OSM-r
SC9222-401,6,OSM-nr
SC9222-450,1,OSM-r
SC9222-500,1,OSM-r
SC9222-510,1,OSM-r
SC9222-540,1,OSM-r
SC9222-550,1,OSM-r
SC9222-590,2,OSM-n
SC9223-000,2,OSM-r
SC9223-002,2,OSM-nr
SC9223-004,1,OSM-r
SC9223-005,4,OSM-r
SC9223-070,3,OSM-nr
SC9223-085,1,OSM-r
SC9223-100,5,OSM-r
SC9223-198,1,OSM-r
SC9223-200,1,OSM-r
SC9223-210,1,OSM-r
SC9223-270,1,OSM-r
SC9223-395,1,OSM-r
SC9223-510,1,OSM-r
SC9223-600,2,OSM-nr
SC9224-021,1,OSM-r
SC9224-151,1,OSM-n
SC9224-280,1,OSM-r
SC9224-353,1,OSM-r
SC9224-470,1,OSM-r
SC9224-477,1,OSM-n
SC9225-001,1,OSM-n
SC9226-000,7,OSM-nr
SC9226-001,7,OSM-nr
SC9226-002,1,OSM-r
SC9226-030,1,OSM-n
SC9226-260,2,OSM-n
SC9226-270,1,OSM-r
SC9226-400,1,OSM-n
SC9226-410,1,OSM-n
SC9226-435,1,OSM-r
SC9226-440,2,OSM-r
SC9226-530,1,OSM-r
SC9226-600,5,OSM-nr
SC9226-634,1,OSM-r
SC9226-970,1,OSM-n
SC9227-000,1,OSM-r
SC9227-004,1,OSM-r
SC9227-015,4,OSM-r
SC9227-045,1,OSM-r
SC9227-075,2,OSM-r
SC9227-260,1,OSM-r
SC9227-300,1,OSM-n
SC9227-365,2,OSM-r
SC9227-440,5,OSM-nr
SC9227-445,1,OSM-n
SC9227-447,4,OSM-r
SC9227-473,3,OSM-nr
SC9227-565,4,OSM-n
SC9227-610,1,OSM-r
SC9227-645,1,OSM-r
SC9227-680,2,OSM-r
SC9227-690,1,OSM-r
SC9228-001,1,OSM-n
SC9228-070,1,OSM-n
SC9228-160,1,OSM-r
SC9228-310,3,OSM-nr
SC9228-440,1,OSM-r
SC9228-460,1,OSM-r
SC9228-560,1,OSM-r
SC9228-600,4,OSM-r
SC9228-700,1,OSM-r
SC9228-750,1,OSM-r
SC9228-770,1,OSM-r
SC9228-793,1,OSM-r
SC9228-800,5,OSM-nr
SC9229-201,1,OSM-r
SC9229-340,1,OSM-r
SC9230-040,1,OSM-r
SC9230-200,1,OSM-r
SC9230-214,1,OSM-r
SC9230-325,1,OSM-r
SC9230-610,1,OSM-r
SC9230-620,1,OSM-r
SC9230-629,1,OSM-r
SC9230-640,1,OSM-r
SC9230-700,2,OSM-r
SC9230-743,1,OSM-r
SC9230-765,1,OSM-r
SC9230-850,1,OSM-r
SC9231-530,1,OSM-r
SC9231-595,2,OSM-r
SC9231-750,2,OSM-r
SC9231-795,1,OSM-r
SC9232-010,1,OSM-n
SC9232-020,1,OSM-n
SC9232-030,2,OSM-r
SC9232-302,2,OSM-r
SC9232-485,4,OSM-r
SC9233-500,1,OSM-n
SC9233-530,1,OSM-n
SC9233-550,1,OSM-r
SC9234-100,1,OSM-r
SC9235-160,1,OSM-r
SC9235-260,1,OSM-r
SC9235-300,1,OSM-r
SC9235-562,1,OSM-r
SC9237-000,1,OSM-r
SC9237-001,4,OSM-r
SC9237-100,1,OSM-r
SC9237-200,2,OSM-n
SC9237-210,1,OSM-r
SC9237-370,1,OSM-r
SC9237-385,1,OSM-r
SC9237-410,2,OSM-r
SC9237-505,1,OSM-r
SC9237-645,1,OSM-r
SC9237-680,1,OSM-r
SC9237-700,1,OSM-r
SC9239-000,1,OSM-n
SC9239-100,5,OSM-r
SC9239-120,1,OSM-r
SC9239-195,1,OSM-n
SC9239-200,2,OSM-r
SC9239-233,1,OSM-r
SC9239-270,4,OSM-r
SC9239-300,5,OSM-nr
