CRP,idx_confirm,idx_ref
SC8370-003,1,OSM-r
SC8370-019,4,OSM-r
SC8370-023,3,OSM-r
SC8370-025,4,OSM-r
SC8370-029,2,OSM-r
SC8370-041,4,OSM-r
SC8370-047,1,OSM-r
SC8370-053,1,OSM-r
SC8370-060,4,OSM-r
SC8370-064,2,OSM-r
SC8370-074,8,OSM-r
SC8370-076,1,OSM-r
SC8370-082,2,OSM-r
SC8370-104,1,OSM-n
SC8370-232,1,OSM-r
SC8370-438,11,OSM-r
SC8370-444,4,OSM-r
SC8370-446,2,OSM-r
SC8370-700,1,OSM-r
SC8370-750,1,OSM-r
SC8370-904,1,OSM-r
SC8371-563,1,OSM-n
SC8372-548,2,OSM-r
SC8375-000,5,OSM-r
SC8375-603,1,OSM-n
